id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,无法登陆，提示停止运行,"1.用手机号注册，输入验证码
2.点击下一步登陆，提示错误：很抱歉，小白用车已停止运行。
3.华为c8815，安卓4.0",审核通过,5,2015-09-01 20:25:53
2,无法登陆，提供出错，重装也无用,"1.用手机号注册，输入验证码
2.点击下一步登陆，提示错误：很抱歉，小白用车已停止运行。",审核通过,5,2015-09-01 20:35:21
3,注册在提高验证码后不能进行,"1.下载app
2.注册时输入手机号码，获取验证码
3.输入验证码，按下一步，立即出现app已经停止运行，从而不能注册
4.多次操作都是上述情况重复",审核通过,20,2015-09-01 20:36:17
4,"用qq登陆，输入验证码,提示出错","1.用qq登陆，输入验证码
2.点击下一步登陆，提示错误：很抱歉，小白用车已停止运行。
3.华为c8815，安卓4.0",审核通过,5,2015-09-01 20:42:54
5,"用qq登陆，输入验证码,提示出错","1.用qq登陆，输入验证码
2.点击下一步登陆，提示错误：很抱歉，小白用车已停止运行。
3.华为c8815，安卓4.0",审核不通过,5,2015-09-01 20:43:02
6,无法进入首页，显示停止运行,安装后登录qq准备进入首页却显示已停止运行，只能按确认停止后退到登陆页面,审核通过,6,2015-09-01 20:44:01
7,.无法使用app，无法使用,1.无法使用app，用qq账户认证，提交验证码后，弹出错误提示,审核不通过,3,2015-09-01 20:48:19
8,我用手机注册时出现了闪退现象,我用手机注册时出现了闪退现象，当我填好填好验证码，进行下一步时突然黑一下屏闪到登陆界面。无法注册！同样用其他方式登陆也一样，我用的是红米note增强版，wife 10m,审核通过,17,2015-09-01 20:50:53
9,闪退，登录不了。。。。。。。。,登陆时，界面进不去。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,审核通过,16,2015-09-01 20:51:19
10,无法正常使用app，无论使用手机还是qq登陆,"1.使用qq登陆app，输入验证码后提交。
2.提交之后弹出错误提示，停止运行app，点击确认退出",审核不通过,3,2015-09-01 20:55:34
11,无法使用app，连登陆都不行,"1.使用qq登陆app，输入验证码后提交。
2.提交之后弹出错误提示，停止运行app，点击确认退出",审核通过,3,2015-09-01 21:00:23
12,用微博账号无法登陆 只停留在授权界面,用微博账号无法登陆 只停留在授权界面就不动了  网络正常的 多次尝试没有用 应该是bug,审核通过,11,2015-09-01 21:04:21
13,无法正常使用app，自动退出,"1.使用手机注册app，登陆app，输入验证码后提交。
2.提交之后弹出错误提示，停止运行app，点击确认退出",审核通过,3,2015-09-01 21:05:35
14,无法正常使用app，自动退出,"1.使用手机注册app，登陆app，输入验证码后提交。
2.提交之后弹出错误提示，停止运行app，点击确认退出",审核通过,3,2015-09-01 21:05:38
15,注册时，出现app程序停止运行提示，无法进行下步操作。,下载app安装，通过手机号码和短信验证码注册，输入短信验证码注册时出现app程序停止运行提示，程序运行终止。,审核通过,20,2015-09-01 21:07:10
16,无法正常运行app，重复操作均退出,"1.使用qq登陆app，输入验证码后提交。
2.提交之后弹出错误提示，停止运行app，点击确认退出",审核通过,3,2015-09-01 21:10:41
17,无法注册小白用车，出现闪退，退到登录界面,使用手机号码注册，收到验证码后，输入验证码，点击下一步，同样先是选择品牌画面一闪，然后黑屏，然后回到注册界面。,审核通过,20,2015-09-01 21:13:32
18,使用第三方登录无效，包括微信 qq 微博,点击登录，使用第三方登录，不管选择哪一个，都是出现授权画面后，选择品牌快速的闪了一下，然后黑屏一闪，又回到刚才的登录界面。闪得太快，黑屏没截到。,审核通过,19,2015-09-01 21:13:32
19,软件无法注册 显示停止运行,"本人手机 魅蓝note电信版
软件安装完成后，开始注册，填写手机号码后，点击获取验证码，验证码填写完毕，点击下一步，到选择品牌页面，直接停止运行，显示“很抱歉‘小白用车’已停止运行”",审核通过,20,2015-09-01 21:14:29
20,无法正常运行app，闪退,"1.使用qq登陆app，输入验证码后提交。
2.提交之后弹出错误提示，停止运行app，点击确认退出",审核通过,3,2015-09-01 21:15:42
