id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,打开软件惦记我查看我的个人信息信息如图所示性别为男点话题找一个话题进入话题详细页评论其他人的回复显示只限男生评论但是资料显示为男生啊,打开软件惦记我查看我的个人信息信息如图所示性别为男点话题找一个话题进入话题详细页评论其他人的回复显示只限男生评论但是资料显示为男生啊手机红米2系统安卓444,审核通过,17,2016-01-07 21:12:38
2,检索信息时文本框不能输入,使用检索信息时姓名等文本框都不能输入关键字,审核通过,19,2016-01-07 21:18:12
3,话题详情的支持和反对按钮不能用,进入app点击话题点击huhu发布的话题点击支持或反对按钮均无反应,审核通过,17,2016-01-07 21:30:37
4,设置评论限制的话题不能评论,进入app点击话题点击huhu发布的话题再点击下方huhu的评论提示只限男生评论但是测试账号设置的性别就是男生,审核通过,17,2016-01-07 21:30:37
5,检索对象信息页面无内容,进入app点击点击测试进入检索对象信息页面信息均为空点击横线无法调出输入法,审核通过,19,2016-01-07 21:30:37
6,打开APP自动有账号登录,下载APP打开查看我显示账号100011用户名空手,审核通过,1,2016-01-07 21:35:08
7,在APP中我的消息中显示该账号已在其他设备上登录,打开APP登录点击我在我的页面中点击我的消息显示该账号已在其他设备上登录,审核通过,1,2016-01-07 21:35:08
8,打开软件点击消息界面显示该账号已在其他设备登录,打开软件点击消息界面显示该账号已在其他设备登录自己没有登录,审核通过,1,2016-01-07 21:36:43
9,打开软件点击个人信息已经自动生成且绑定手机号码无法修改,打开软件点击个人信息已经自动生成且绑定手机号码无法修改,审核通过,10,2016-01-07 21:36:43
10,打开app点首页点击测试进入页面之后什么都不能输入,打开app点首页点击测试进入页面之后什么都不能输入,审核通过,21,2016-01-07 21:37:13
11,打开app首页是可以左右滑动的但是滑动很不流畅要左右滑动好几下才行,打开app首页是可以左右滑动的但是滑动很不流畅要左右滑动好几下才行,审核通过,9,2016-01-07 21:37:13
12,打开app打开右上角消息图标点开之后就会提示该账号已经在其他设备登陆但是我并没有做过任何登陆,打开app打开右上角消息图标点开之后就会提示该账号已经在其他设备登陆但是我并没有做过任何登陆,审核通过,7,2016-01-07 21:37:13
13,打开app我的没有做登陆也有账号信息和个人信息什么内容都不是空的这个是怎么回事,打开app我的没有做登陆也有账号信息和个人信息什么内容都不是空的这个是怎么回事,审核通过,7,2016-01-07 21:37:13
14,我使用的是红米1S电信版点击我的里面设置进入推荐Vmeet唯觅里推荐给微信好友出现闪退其他3个功能键均能正常使用,我使用的是红米1S电信版点击我的里面设置进入推荐Vmeet唯觅里推荐给微信好友出现闪退其他3个功能键均能正常使用,审核通过,4,2016-01-07 21:39:55
