id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,点击对某一个人进行评论评论成功却没有看到评论的内容,点击对某一个人进行评论评论成功却没有看到评论的内容,审核通过,2,2015-12-16 17:11:03
2,如图功能性BUG当我们输入的手机号为假时发送消息的那个按钮也被激活了并且可以按下并且还提示我图中输入的手机号已经使用一个符号的手机号这是程序设计的一个BUG应该改成输入框中输入手机号为真时或更明细一些的判断如输入的手机号位数为11位且号码的前三位为131或133或135139这样才为一个合格的程序,如图功能性BUG当我们输入的手机号为假时发送消息的那个按钮也被激活了并且可以按下并且还提示我图中输入的手机号已经使用一个符号的手机号这是程序设计的一个BUG应该改成输入框中输入手机号为真时或更明细一些的判断如输入的手机号位数为11位且号码的前三位为131或133或135139这样才为一个合格的程序,审核通过,21,2015-12-16 17:53:56
3,点击跟读练习后显示网络检查,点击跟读练习后显示网络检查无法连接读取音频文件无法播放和跟读无法评分手机荣耀3c网络wifi,审核通过,17,2015-12-16 17:57:09
4,手机注册成功显示注册失败,注册成功进入选择身份即小学生等的页面但页面底部显示注册失败软件卡死需要重新开,审核通过,20,2015-12-16 18:00:42
5,无法正常播放题目录音,点击播放录音显示检查网络一直进行加载状态无法播放红米notemiui7,审核通过,11,2015-12-16 18:00:42
6,点击跟读练习后一直加载跟读练习失败,点击跟读练习后一直加载最后提示请检查网络经查网络并无问题手机型号VIVOX5V宽带电信50M宽带,审核通过,17,2015-12-16 18:22:31
7,我设置关于我们最下方公司版权时间为20132014该更新了,我设置关于我们最下方公司版权时间为20132014该更新了,审核通过,24,2015-12-16 18:36:58
8,进入app首页点击我学习数据报告进入数据报告页面右上角有分享但是点击分享没有任何反应分享功能不能使用,进入app首页点击我学习数据报告进入数据报告页面右上角有分享但是点击分享没有任何反应分享功能不能使用,审核通过,6,2015-12-16 18:43:42
9,第三方登录时手机上没有登录qq但是自动获取了用户的qq安全性差,1打开app点击下方的qq2观察界面实际结果自动关联了用户qq此时用户在手机上未登录qq期望结果用户未登录不该调取用户qq,审核通过,23,2015-12-16 18:48:54
10,点击跟读练习时无法连接网络,打开软件注册登录点击首页三个圆圈中真题预测和真题库点击一个类别点击题目点击跟读练习点击播放显示无网络手机型号华为G716L070系统安卓422网络环境wifi,审核通过,17,2015-12-16 19:31:58
11,进入跟读页面显示检查网络无法跟读,按照步骤进入跟读页面页面显示检查网络但网络没问题点击播放和录音一直加载无法跟读,审核通过,17,2015-12-16 19:59:30
12,点击录音后一直加载无法录音无法打分,按照步骤进入跟读页面点击打分显示还没有录音但录音一直加载无法进行更无法打分,审核通过,12,2015-12-16 19:59:30
13,手机注册完之后app会bug弹出窗口说stop了,手机注册完之后app会bug弹出窗口说stop了安卓442手机注册点注册弹出stop窗口没有跳转到注册成功的页面停留在注册页面之后点登陆可以进入app,审核通过,20,2015-12-16 20:37:46
14,登录界面登录按钮的文字显示不全,登录界面登录按钮的文字显示不全,审核通过,23,2015-12-16 20:53:58
15,登录界面选择其他方式登录中的微信无反应未安装微信情况下,登录界面选择其他方式登录中的微信无反应未安装微信情况下,审核通过,14,2015-12-16 20:53:58
16,注册界面获取验证码按钮文字显示不全,注册界面获取验证码按钮文字显示不全,审核通过,20,2015-12-16 20:53:58
17,在我的界面里个人名字后的性别图标和一个什么小花与帖子的文字覆盖,在我的界面里个人名字后的性别图标和一个什么小花与帖子的文字覆盖,审核通过,18,2015-12-16 20:53:58
18,在学习数据报告里学习建议怎么不向上些很不容易发现且中间有一大片空白,在学习数据报告里学习建议怎么不向上些很不容易发现且中间有一大片空白,审核通过,6,2015-12-16 20:53:58
19,在学习数据报告里点击分享无反应,在学习数据报告里点击分享按钮无反应,审核通过,6,2015-12-16 20:53:58
20,点击跟读练习点击开始提示检查网络但手机有wifi连接,点击跟读练习点击开始提示检查网络但手机有wifi连接,审核通过,17,2015-12-16 20:53:58
21,点击跟读练习点击录音一直缓冲无录音提示,点击跟读练习点击录音一直缓冲无录音提示,审核通过,12,2015-12-16 20:53:58
22,首页点击真题库点击分享无任何反应,首页点击真题库然后点击右上角分享无任何反应,审核通过,19,2015-12-16 20:53:58
23,写分享点击一次录音或相机则输入内容时内容输入框被覆盖无法显示,写分享点击一次录音或相机则输入内容时内容输入框被覆盖无法显示,审核通过,22,2015-12-16 20:53:58
24,写分享完成后点击发布显示失败,写分享完成后点击发布显示失败,审核通过,3,2015-12-16 20:53:58
