id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,点击发现中顶部的第一张大图，进入的页面是404。,点击发现中顶部的第一张大图，进入的页面是404，每次都是。,审核不通过,6,2016-05-25 03:49:58
2,第一次更换头像用相册更换失败。,第一次更换头像用相册更换失败，后面的几次成功。,审核不通过,29,2016-05-25 03:50:09
3,在发表随笔时选择图片用相册不能够进行剪裁。,在发表随笔时选择图片用相册不能够进行剪裁，但是上传头像选相册就可以剪裁。,审核不通过,2,2016-05-25 03:50:11
4,在写随笔时上传图片选拍照，拍照时返回会提示失败。,在写随笔时上传图片选拍照，拍照时返回会提示失败，但根本就没有拍照何来失败。,审核不通过,29,2016-05-25 03:50:14
5,搜索出来的结果如果产品和酒中没有，认为应该加个提示。,搜索出来的结果如果产品和酒中没有，认为应该加个提示。,审核不通过,14,2016-05-25 03:50:20
6,自己发表的评论在消息中却成了别人评论自己的。,自己发表的评论在消息中却成了别人评论自己的。,审核不通过,27,2016-05-25 03:50:26
7,有消息的时候点击软件左上角的按钮，会直接进入消息。,有消息的时候点击软件左上角的按钮，会直接进入消息，觉得正常来说应该是进入个人中心可以自己选择消息才对。,审核不通过,4,2016-05-25 03:50:30
8,在报名提交定单时会出现一个圈转很长时间。,在报名提交定单时会出现一个圈转很长时间，大约一两分钟，不过会一次比一次快。,审核不通过,22,2016-05-25 03:50:35
9,报名提交定单后，申请界面没有消失，而且填写的各种资料也还在。,报名提交定单后，申请界面没有消失，而且填写的各种资料也还在。,审核不通过,22,2016-05-25 03:50:38
10,前两次进行报名提交申请时，会提示系统繁忙。,前两次进行报名提交申请时，会提示系统繁忙，退出当前报名进入别的报名就不提示了。,审核不通过,22,2016-05-25 03:50:42
11,第一次进入一个内容评论只能发表一条内容，其余的都不会立即在当前页面显示。,第一次进入一个内容评论只能发表一条内容，其余的都不会立即在当前页面显示。,审核不通过,27,2016-05-25 03:50:46
12,qq授权登录后在首页看到头像是已获取的，但进入个人中心，头像不是qq头像。,qq授权登录后在首页看到头像是已获取的，但进入个人中心，头像不是qq头像。,审核不通过,24,2016-05-25 03:50:49
13,登录时使用ｑｑ授权登录返回，只是返回它就提示登录失败。,登录时使用ｑｑ授权登录返回，只是返回它就提示登录失败，因图片超大不能上传。,审核不通过,11,2016-05-25 03:50:52
14,qq授权登录时，会转圈几秒授权界面才出来。,qq授权登录时，会转圈几秒授权界面才出来，图片超过一mb所以不能上传。,审核不通过,28,2016-05-25 03:50:56
15,发现中顶部的图片不显示。,发现中顶部的图片不显示，五分钟后都不显示。,审核不通过,6,2016-05-25 03:50:59
16,软件首页的一个活动广告没有排好。,软件首页的一个活动广告没有排好，有两个字被挡住了一大半。,审核不通过,20,2016-05-25 03:51:02
17,有一次进软件就卡到了一个截图那样的界面。,有一次进软件就卡到了一个截图那样的界面，长久无反应。,审核不通过,33,2016-05-25 03:51:08
18,第一次进入软件发现中的内容所有都不显示。,第一次进入软件发现中的内容所有都不显示，等很久都不显示。,审核不通过,6,2016-05-25 03:51:11
19,活动界面中顶部有一片空白。,活动界面中顶部有一片空白，觉得是没有排好。,审核不通过,31,2016-05-25 03:51:14
20,报名提交订单后，不会退出填写资料界面，而且填写的资料还在。,报名提交订单后，不会退出填写资料界面，而且填写的资料还在。,审核不通过,22,2016-05-25 03:51:30
21,报名提交订单会出现一个圈转很长时间。,报名提交订单会出现一个圈转很长时间，大约一分钟左右，才能提交成功。,审核不通过,22,2016-05-25 03:51:47
22,在约会中点击第一个内容报名，每次都提示系统繁忙。,在约会中点击第一个内容报名，每次都提示系统繁忙，其余的都不会。,审核不通过,22,2016-05-25 03:51:50
23,明明是自己发表的评论却在评论我的中看到。,明明是自己发表的评论却在评论我的中看到，大大的错误。,审核不通过,27,2016-05-25 03:51:53
24,有消息时，点击软件左上角的按钮会进入消息。,有消息时，点击软件左上角的按钮会进入消息，觉得还是进入个人中心比较正常。,审核不通过,4,2016-05-25 03:51:56
