id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,软件无法打开软件无法打开,"1.微任务打开软件
2.出现“东西说”已停止运行。",待审核,9,2016-08-04 14:30:44
2,注册界面《说说用户协议》无法打开。,在注册界面点击《说说用户协议》，无反应。,审核不通过,3,2016-08-05 09:32:28
3,在编辑资料页点个人头像，选择相机拍照，在拍照页不拍照并返回程序，会出现拍照失败提示。,在编辑资料页点个人头像，选择相机拍照，在拍照页不拍照并返回程序，会出现拍照失败提示。,审核不通过,8,2016-08-05 09:35:15
4,编辑个人资料，多次点击保存后，提示request timeout 请求超时 和一串,1微信登录到我 2点击头像进入个人页 3点击编辑资料4多次点击保存 提示request timeout 请求超时 和一串错误提示信息,审核不通过,8,2016-08-05 09:38:23
5,语音相关功能无法使用,1课程-右下角的+ 2点击热门课程 3点击“问好”下面的“听” 4点击好播放按钮（无声），点击下面的录音，按住录音后下面出现小一点的播放按钮，播放无效。  另一个例子 ： 我-申请成为老师-自我介绍-点击录音，录音无效,审核不通过,13,2016-08-05 09:39:01
6,编辑任一文本款保存无效,1登录到我 2点击头像进入个人页 3点击编辑资料 4点击昵称一下任意项目修改，点击保存，无效 5修改昵称和性别 点击保存无效,审核不通过,8,2016-08-05 09:39:26
7,第三方微信登录不上，点击微信登录没反应。,第三方微信登录不上，点击微信登录没反应。小米手机3.,审核不通过,10,2016-08-05 09:39:37
8,注册页面的用户协议，有下划线，明显属于可以点击查看内容的。但是点击无效。没有反应。,注册页面的用户协议，有下划线，明显属于可以点击查看内容的。但是点击无效。没有反应。,审核不通过,3,2016-08-05 09:39:49
9,在我的版块，我的客服，建议反馈功能里，在输入反馈的时候，字体是白色的，但是在发送出去后，是黑色的。,在我的版块，我的客服，建议反馈功能里，在输入反馈的时候，字体是白色的，但是在发送出去后，是黑色的。,审核不通过,11,2016-08-05 09:40:22
10,1 注册界面→说说用户协议，点击无效，无法跳转协议详情页面。,1 注册界面→说说用户协议，点击无效，无法跳转协议详情页面。,审核不通过,3,2016-08-05 09:40:34
11,打开app后在注册界面点击“说说用户协议”，点击无反应,打开app后在注册界面点击“说说用户协议”，点击无反应,审核不通过,3,2016-08-05 09:43:35
12,注册时，点击说说用户协议，未能看查，无反应。,打开软件－注册－点击说说用户协议，未能看查。华为4x，安卓4.4.2，wifi网络,审核不通过,3,2016-08-05 09:45:04
