id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,广告样式1~5，或者一建推送都显示成功，但是通知栏里没有任何通知信息,广告样式1~5，或者一建推送都显示成功，但是通知栏里没有任何通知信息,审核通过,15,2015-05-14 10:52:28
2,广告推送成功，但是在通知栏里面收不到通知,广告推送成功，但是在通知栏里面收不到通知，和前面的是一个道理的,审核不通过,3,2015-05-14 10:52:28
3,广告推送成功，但是在通知栏里面收不到通知,广告推送成功，但是在通知栏里面收不到通知，收不到通知无法体验跳转,审核不通过,3,2015-05-14 10:52:28
4,"广告4,5的显示格式和图形显示不一样","推送的1,2,3和显示的一样，推送4,5的显示也是和1,2一样，没有特别的样式",审核不通过,15,2015-05-14 10:52:49
5,"4,5号消息的显示和1,2一样，没有显示更高级格式","4,5号消息的显示和1,2一样，没有显示更高级格式，点进去之后显示云推送的首页",审核不通过,12,2015-05-14 10:52:49
6,无法展开，每次点击就弹出“完成动作的方式”,点击推送的消息，弹出“完成动作的方式”，要我选择一种浏览器打开,审核不通过,6,2015-05-14 11:14:09
7,广告4和广告5不能展开，样式跟广告1差不多,按照上面的步骤点击了，成功推送到了通知栏，但是样式4和样式5不能展开，点击的话会在浏览器中打开。,审核不通过,14,2015-05-14 11:19:55
8,无法展开4和5，无论什么方法都不行。,无论用什么方法，都无法展开4好5。如果点击的话，会在浏览器中打开。,审核不通过,14,2015-05-14 11:19:55
9,4只显示一条推送广告，并且只能用浏览器打开，5的话，是有一个下载和详情的页面,4只显示一条推送广告，并且只能用浏览器打开，5的话，是有一个下载和详情的页面，并且也不能收拢，只能通过浏览器打开,审核不通过,14,2015-05-14 11:55:11
10,没有收到高级样式4和5消息,按照操作步骤，显示广告样式推送成功但是没有收到任何推送消息,审核通过,4,2015-05-14 12:26:26
11,手机通知栏没有正常收到广告消息,依次点击广告样式1-5，显示广告消息推送成功，但是手机通知栏并没有正常显示5种样式的广告消息,审核通过,4,2015-05-14 12:26:26
12,点击无账号绑定，无反应,启动app，点击无账号绑定，日志中无任何反应,审核通过,13,2015-05-14 12:52:28
13,未接到广告信息。无反应,点击广告样式，提示未找到绑定关系，无推送信息,审核不通过,2,2015-05-14 12:52:28
14,未找到绑定关系，重新绑定，无推送,点击广告样式4和5，提示未找到绑定关系，重新绑定，无推送,审核不通过,2,2015-05-14 12:52:28
15,点击广告样式4和5，提示未找到绑定关系，重新绑定，无推送,点击广告样式4和5，提示未找到绑定关系，重新绑定，无推送,审核不通过,2,2015-05-14 12:52:28
16,广告样式4不可展开收拢，点击后直接跳转网页，且通知栏广告样式4消失,一键推送5条广告后，通知栏分别收到5条推送广告，点击广告样式4后，未显示展开收拢效果，而是直接跳转网页，且通知栏广告样式4消失,审核不通过,8,2015-05-14 13:07:10
17,点击广告样式4、5，无展开收拢效果，直接跳转网页，且通知栏广告推送4、5消失,前一步点击了广告样式4，这次点击广告样式5，同样无展开收拢效果，而是直接跳转网页，且通知栏广告推送4、5消失,审核不通过,8,2015-05-14 13:07:10
18,手机可以正常完成任务 但是现实界面似乎不正常 会通过微任务上传截图,手机可以正常完成任务 但是现实界面似乎不正常 会通过微任务上传截图,审核不通过,6,2015-05-14 13:59:50
