id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,界面有返回选项有关闭选项功能有,步骤登录app点击登录进入用户登录页面输入账户名密码登录击主页面看撩妹进入界面观察上面菜单栏选项期望结果界面有返回选项有关闭选项功能有结果界面有返回选项有关闭选项功能有,审核通过,17,2016-04-05 17:29:15
2,右上角图片分享功能实现,步骤登录app点击登录进入用户登录页面输入账户名密码登录击主页面看撩妹进入界面观察右上角图片分享功能实现期望结果右上角图片分享功能进入分享界面结果右上角图片分享功能实现,审核通过,17,2016-04-05 17:29:24
3,首页放眼看世界出境游下盐湖城点击加入购物车跳转行页面下点击加入购物跳转,首页放眼看世界出境游下盐湖城点击加入购物车跳转行页面下点击加入购物跳转,审核通过,3,2016-04-05 17:29:49
4,要求体验app去旅游看到体验app叫,要求体验app去旅游看到体验app叫,审核不通过,7,2016-04-05 17:44:46
5,点击推荐景点购买希望界面购买订单界面界面点击推荐景点画面下单话需要点击,点击推荐景点购买希望界面购买订单界面界面点击推荐景点画面下单话需要点击,审核通过,2,2016-04-05 17:45:10
6,安装时候看到版本设置看到,安装时候看到版本设置看到,审核不通过,12,2016-04-05 17:47:11
7,上方有希望点击查看来点击无反应需要点击签到点击出来,上方有希望点击查看来点击无反应需要点击签到点击出来,审核通过,15,2016-04-05 17:47:42
8,行程显示有信息点击看显示晓得啥意思,行程显示有信息点击看显示晓得啥意思,审核通过,21,2016-04-05 17:48:22
9,上方希望点击签到里程点击前面里程数没有变化,上方希望点击签到里程点击前面里程数没有变化,审核通过,15,2016-04-05 17:48:32
10,设置头像点击头像没反应换头像,设置头像点击头像没反应换头像,审核通过,8,2016-04-05 17:48:49
11,发现里面文章阅读点击阅读看到阅读数还是300,发现里面文章阅读点击阅读看到阅读数还是300,审核通过,12,2016-04-05 17:49:06
12,发现里面文章显示赞点击点赞里面退出看到点赞,发现里面文章显示赞点击点赞里面退出看到点赞,审核通过,4,2016-04-05 17:49:14
13,登陆时候点击登陆按钮没有反应,登陆喊验证手机号修改密码回到登陆界面登陆键没有反应手机星s3,审核通过,13,2016-04-05 17:50:17
14,首页提示酒店红包点击进入界面点击领取无响应,首页提示酒店红包点击进入领取界面点击领取无响应,审核通过,10,2016-04-05 17:50:37
15,注册时候信号出现手机网络情况,注册时候信号出现手机网络情况,审核通过,19,2016-04-05 17:50:48
16,登陆时候出现系统请再试,登陆时候出现系统请再试,审核通过,13,2016-04-05 17:50:54
17,发现有意思婚纱照文章有进入文章浏览点赞返回,发现有意思婚纱照文章有进入文章浏览点赞返回,审核通过,4,2016-04-05 17:51:01
18,进行注册提示网络,电信版wifi注册输入手机号码过程提示亲手机网络喔下按钮灰色可点击导致注册,审核通过,19,2016-04-05 17:51:07
19,网络注册提示网络输入手机号点击,入主界面2点击3点击登录4点击注册提示网络6输入手机号点击,审核通过,19,2016-04-05 17:51:12
20,开始定位点击主界面图片页面没有内容登陆情况注网络刷新注册进去淘宝登陆注册手机号注册提示,注册成功主界面点击图片查看信息3点击特价机票界面有返回按钮界面拉动没有显示刷新字样退进入登陆点击有信息,审核通过,13,2016-04-05 17:53:27
21,进入点击领里程会员升级规则累积淘程同界面下使用淘里程有情况圈内数字不居中,进入点击领里程会员升级规则累积淘程同界面下使用淘里程有情况进入圈内数字不居中,审核通过,22,2016-04-05 17:53:58
22,进入选择领里程兑好券下面礼卷界面有问题请见图片箭头所指处钱数后面酒店春促特价居中,进入选择领里程兑好券下面礼卷界面有问题请见图片箭头所指处,审核通过,22,2016-04-05 17:54:11
23,进入选择领里程下拉兑好货里面商品图片白字字靠挡价格标签上面开抢字不居中,进入选择领里程下拉兑好货里面商品图片白字字靠挡价格标签上面开抢字不居中,审核通过,22,2016-04-05 17:56:26
24,进入选择领里程下拉去抢购后面时间居中,进入选择领里程下拉去抢购后面时间居中,审核通过,22,2016-04-05 17:56:47
25,进入主页点击搜索后面二维码扫描进入退到主页因白屏截图无意思故提交反应bug截图,进入主页点击搜索后面二维码扫描进入退到主页因白屏截图无意思故提交反应bug截图,审核通过,9,2016-04-05 17:56:56
