id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,在该app注册登陆界面点击忘记密码，再跳转页面不需输入旧密码，只需手机接受验证码就可以完成密码更改……原来的双重验证，现在单一验证就可以。,在该app注册登陆界面点击忘记密码，再跳转页面不需输入旧密码，只需手机接受验证码就可以完成密码更改……原来的双重验证，现在单一验证就可以。,审核不通过,25,2016-06-17 22:31:54
2,点击app后点击左上方三条横线，再点击个人头像，跳转页面点击所属学校，除了他提示的学校外，任何学校都搜索不到，例如北京大学。,点击app后点击左上方三条横线，再点击个人头像，跳转页面点击所属学校，除了他提示的学校外，任何学校都搜索不到，例如北京大学。,审核不通过,16,2016-06-17 22:32:14
3,打开app，在注册登录界面使用微信登录，页面中间一直转着红色圆圈，并未拉起微信登陆界面。,打开app，在注册登录界面使用微信登录，页面中间一直转着红色圆圈，并未拉起微信登陆界面。,审核不通过,21,2016-06-17 22:35:39
4,点击app后其主页显示的地图，未显示任何内容，也不能进行操作，不能查看附件的求助信息。,点击app后其主页显示的地图，未显示任何内容，也不能进行操作，不能查看附件的求助信息。,审核不通过,12,2016-06-17 22:38:50
5,点击app后点击左上方三条横线，再点击最下方设置，然后点击关于点帮帮，跳转页面点击分享给好友，再点击微信分享，提示不支持该app，微信分享失败。,点击app后点击左上方三条横线，再点击最下方设置，然后点击关于点帮帮，跳转页面点击分享给好友，再点击微信分享，提示不支持该app，微信分享失败。,审核不通过,4,2016-06-17 22:40:03
6,点击app后点击左上方三条横线，再点击我的动态，跳转页面显示网络或服务器错误。,点击app后点击左上方三条横线，再点击我的动态，跳转页面显示网络或服务器错误。,审核不通过,26,2016-06-17 22:40:46
7,所属学校没有我自己的学校！,所属学校没有我自己的学校！手机型号魅蓝2。,审核不通过,16,2016-06-17 22:49:59
8,不知道在哪里发帖子。啊啊啊,在主页的【动态】，别人的帖子可以回帖。，但是找不到发帖的地方。华为荣耀4x安卓5.02,审核不通过,26,2016-06-17 22:52:51
9,修改密码后程序没有退出登录,"1.登录程序
2.点击右侧菜单栏进入设置
3.选择密码修改
4.修改密码完成后查看",审核不通过,25,2016-06-17 23:02:47
10,进入app后进行手机注册时点击下方的店帮帮用户协议发现没有响应。,1.打开该app.2.进入apphou 进行手机注册时点击下方的店帮帮用户协议发现没有响应。,审核不通过,20,2016-06-17 23:07:26
11,点击主界面左上角，菜单里点击头像进入个人信息板块，最下方的手机号码这个功能，点击没反应。也没有显示之前注册的手机号码。,点击主界面左上角，菜单里点击头像进入个人信息板块，最下方的手机号码这个功能，点击没反应。也没有显示之前注册的手机号码。,审核不通过,22,2016-06-17 23:10:11
12,1注册登陆后，设置所属学校 2输入北京物资学院，然后删除，删除一个字，输入退回一次，再次选中才能继续删除，输入法为讯飞输入法6.13127,1注册登陆后，设置所属学校 2输入北京物资学院，然后删除，删除一个字，输入退回一次，再次选中才能继续删除，输入法为讯飞输入法6.13127,审核不通过,17,2016-06-17 23:12:11
13,"1首页点击消息 2点击添加好友 3输入自己注册的手机号，点击搜索 4点击搜索结果 5点击右上角三个点，添加好友,输入验证信息，发送，提示发送验证信息失败","1首页点击消息 2点击添加好友 3输入自己注册的手机号，点击搜索 4点击搜索结果 5点击右上角三个点，添加好友,输入验证信息，发送，提示发送验证信息失败",审核不通过,0,2016-06-17 23:18:23
14,1注册登陆后，设置所属学校为武汉大学 2首页显示向你求助9人，经检验，只要选择是武汉大学的新账户都会显示9人,1注册登陆后，设置所属学校为武汉大学 2首页显示向你求助9人，经检验，只要选择是武汉大学的新账户都会显示9人,审核不通过,17,2016-06-17 23:19:02
15,关于点帮帮页面，点击底部用户协议无效果。,打开软件－左上角菜单－设置－关于点帮帮－点击底部用户协议无效果。华为4x，安卓4.4.，wifi网络,审核不通过,11,2016-06-17 23:34:16
16,注册并登录，我选择的是华中科技大学，点击界面右上角的羽毛标志，发布消息，点击求助类型，会提示“数据初始化失败”，无法发布信息。但是选择“武汉大学”后发布消息就没问题。,注册并登录，我选择的是华中科技大学，点击界面右上角的羽毛标志，发布消息，点击求助类型，会提示“数据初始化失败”，无法发布信息。但是选择“武汉大学”后发布消息就没问题。,审核不通过,5,2016-06-17 23:40:50
17,第三方账号登录失败！,在登陆界面点击微信，界面一直在转，没有出现微信登陆界面！,审核不通过,21,2016-06-17 23:43:19
18,发布不求助信息时，点击求助类型，提示数据初始化失败。,打开软件－点击右上角发布－点击求助类型，提示数据初始化失败。华为4x，安卓4.4.，wifi网络,审核不通过,5,2016-06-17 23:50:12
19,登录后选择学校信息、上传个人头像并保存，退出登录，重新登录，学校信息及个人头像消失。,打开软件登录后－左上角菜单－个人头像－选择学校信息、上传个人头像并保存－返回到设置－退出登录－重新登录。学校信息及个人头像消失。华为4x，安卓4.4.，wifi网络,审核不通过,9,2016-06-17 23:53:39
20,在未设置个人学校的情况下，进入学生身份认证，白屏3秒后返回主页。,在未设置个人学校的情况下－左上角菜单－设置－学生身份认证。白屏3秒后返回主页。华为4x，安卓4.4.，wifi网络,审核不通过,16,2016-06-17 23:58:07
21,个人信息的手机号不能填写，点击没反应,"１，打开软件，进入点帮帮
２，登录并打开右侧菜单
３，点击头像进入个人信息编辑页面",审核不通过,22,2016-06-18 00:05:35
22,个人信息界面中点击手机号后背景颜色变了一下就没有其他反应了。,"1.打开软件，点击左上角的图标进入；
2.点击用户头像进入个人信息界面；
3.个人信息界面中点击手机号后背景颜色变了一下就没有其他反应了。",审核不通过,22,2016-06-18 00:11:19
23,动态界面中未点击查看每个动态详情之前可以点击下方的点赞爱心图标，但是点击进入查看详情后发现没有点赞爱心图标可以点赞了。,"1.打开软件，点击动态；
2.动态界面中未点击查看每个动态详情之前可以点击下方的点赞爱心图标，但是点击进入查看详情后发现没有点赞爱心图标可以点赞了。",审核不通过,7,2016-06-18 00:12:20
24,关于点帮帮界面下方的“用户协议”点击后没有反应。,1.打开软件，点击左上角图标按键进入； 2.点击设置； 3.点击关于点帮帮； 4.关于点帮帮界面下方的“用户协议”点击后没有反应。,审核不通过,24,2016-06-18 00:13:44
25,4 首页左上角”三横“→头像→所属学校，界面顶部搜索输入框，每输入一个文字后，输入法就闪退，要输入多个文字时，需要多次点击输入框调出输入法。,4 首页左上角”三横“→头像→所属学校，界面顶部搜索输入框，每输入一个文字后，输入法就闪退，要输入多个文字时，需要多次点击输入框调出输入法。,审核不通过,16,2016-06-18 00:14:59
26,8 首页左上角”三横“→头像→手机号，点击后没有反应，无法编辑。,8 首页左上角”三横“→头像→手机号，点击后没有反应，无法编辑。,审核不通过,22,2016-06-18 00:21:21
27,11 首页左上角”三横“→设置→关于点帮帮→底部用户协议，点击无效。,11 首页左上角”三横“→设置→关于点帮帮→底部用户协议，点击无效。,审核不通过,11,2016-06-18 00:22:14
28,13 排行榜→点击任意一用户→右上角”三点“→添加好友，短暂白屏后，又返回排行榜界面，没有任何提示，也不知道是否已成功添加好友。,13 排行榜→点击任意一用户→右上角”三点“→添加好友，短暂白屏后，又返回排行榜界面，没有任何提示，也不知道是否已成功添加好友。,审核不通过,6,2016-06-18 00:22:51
29,个人信息，手机号无反应,进入主界面点击左上角菜单项（三横），进入后点击个人头像进入个人信息编辑界面，点击手机号后无任何反应。,审核不通过,22,2016-06-18 00:23:13
30,点击版本更新，提示信息弹出后一直不消失,设置 - 关于点棒棒 - 点击版本更新 - 弹出提示“已经是最近版本”，该提示不会自动消失，屏幕也一直处于灰色状态,审核不通过,2,2016-06-18 00:24:32
31,发布动态时，提示没有事件选择,首页 选择动态分页 - 点击右下角按钮添加动态 - 页面显示 没有事件选择，无法提交动态,审核不通过,26,2016-06-18 00:25:04
32,第三封账号登录图标透明,进入app登录页面，可以看到下方有“使用第三方账号登录”选择，但是图标透明，影响视觉。,审核不通过,19,2016-06-18 00:25:34
33,个人信息页面不能输入手机阿訇,如图，点击在主页面左上角图标，进入”介绍一下自己“页面，点击头像，输入相应信息，但是在手机号一栏却无法输入信息。,审核不通过,22,2016-06-18 00:25:54
34,微信登录时，个人信息中手机号，无法输入,"1、用微信登录app，点击头像进行个人信息设置
2、点击手机号已选项时，页面没有任何反应",审核不通过,22,2016-06-18 00:26:42
35,实际验证码为5位，而验证码输入框能输入6位，设置错误,"1.打开软件
2.点击忘记密码或者注册，输入手机号获取验证码
3.在验证码输入框中输入密码
4.观察可输入位数与实际验证码位数（位数不一致，存在缺陷）",审核不通过,10,2016-06-18 00:28:30
36,无法查看关于点帮帮中的用户协议,"1.打开软件 2.输入信息登录 3.点击左上角的菜单键 4.点击设置 5.点击关于点帮帮 6.点击页面下方的用户协议
7.观察显示（无响应，无跳转）",审核不通过,24,2016-06-18 00:28:59
37,有时候手机号无法显示在个人信息页面中,"1.打开软件 2.输入信息登录 3.点击左上角的菜单键 4.点击个人头像
5.观察页面中手机号的显示",审核不通过,22,2016-06-18 00:29:13
38,图片添加满9张后，仍然显示添加图片按钮，点击提示：最多只能选择9张图片,"手机型号：
小米-mi note lte-android6.0.1 
1、	微信登录授权成功
2、	点击 求助消息 图标-》添加图片按钮，添加9张图片-》点击 完成
3、	将 图片拖至最后，页面仍然显示添加图片按钮+，点击提示：最多只能选择9张图片",审核不通过,15,2016-06-18 00:30:34
39,登录后选择所属学校后，后面登录依旧弹出所属学校窗口，需要再次选择学校。,登录后选择所属学校后，后面登录依旧弹出所属学校窗口，需要再次选择学校。,审核不通过,16,2016-06-18 00:33:04
40,进入某一用户介绍详情页右上角红心点赞无反应，数量无变化,进入某一用户介绍详情页右上角红心点赞无反应，数量无变化,审核不通过,7,2016-06-18 00:33:35
41,修改头像在裁剪页面取消修改，返回到个人信息页头像显示系统默认头像了,"1、在主页点击左上角图标，点击头像
2、在个人信息页面点击头像，在相册中选择一张照片，裁剪后点击保存
3、再次点击头像，在相册中选择一张照片，进入裁剪页面，不点击保存直接返回",审核不通过,9,2016-06-18 00:37:31
42,登录成功选择所属学校，输入学校后删除不能连续删除已输入的字符,1、在登录界面输入账号与密码，点击登录，进入选择学校页面 2、输入学校名名称后点击删除，每删除一个字符，键盘就自动隐藏，再删除一个字符时键盘再弹开后又隐藏，不能连续删除,审核不通过,17,2016-06-18 00:37:43
43,用微信登陆的时候，屏幕中间一直转圈登录不上后app闪退。,用微信登陆的时候，屏幕中间一直转圈登录不上后app闪退。,审核不通过,21,2016-06-18 00:38:00
44,进入app后点击消息发现提示尚未链接而我的网络良好，消息则没有连接上。,1.打开该app.2.进入app后点击消息发现提示尚未链接而我的网络良好，消息则没有连接上。,审核不通过,20,2016-06-18 00:38:43
45,意见反馈页面空白，无法输入信息。,打开软件－左上角菜单－设置－关于点帮帮－意见反馈－页面空白，无法输入信息。华为4x，安卓4.4.，wifi网络,审核通过,18,2016-06-20 10:00:10
46,在关于点帮帮页面，通过qq分享软件，分享失败。,打开软件－左上角菜单－设置－关于点帮帮－推荐给好友－qq－提示分享失败。华为4x，安卓4.4.，wifi网络,审核通过,4,2016-06-20 10:00:10
47,注册时不填写个人信息，直接登录后修改完个人信息，返回其它界面，再进入个人信息，发现除头像外，其它为空。,注册－不填个人信息－登录－左上角菜单－个人头像－完成所有信息输入－点返回－再次进入个人信息－里面所有资料为空。华为4x，安卓4.4.，wifi网络,审核通过,14,2016-06-20 10:00:10
48,找回密时，填写未注册的号码，仍然能接收短信。,找回密时，填写未注册的号码，仍然能接收短信。华为4x，安卓4.4.，wifi网络,审核通过,20,2016-06-20 10:00:10
49,注册时，点击“点帮帮用户协议”无法查看。,注册时，点击“点帮帮用户协议”无法查看。华为4x，安卓4.4.，wifi网络,审核通过,24,2016-06-20 10:00:10
