id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,登录界面账号处光标一直不动,1.打开软件；2.点击立即体验，进入登录界面；3.点击账号处光标一直不动,审核不通过,19,2016-05-19 07:39:28
2,登录界面点击别处光标仍在账号处,1.打开软件；2.点击立即体验，进入登录界面；3.点击别处光标仍在账号处,审核不通过,6,2016-05-19 07:39:42
3,登录界面点击密码处无法显示光标,1.打开软件；2.点击立即体验，进入登录界面；3.点击密码处无法显示光标,审核不通过,6,2016-05-19 07:42:23
4,登录界面输入账号后无法显示,1.打开软件；2.点击立即体验，进入登录界面；3.输入账号后无法显示,审核不通过,4,2016-05-19 07:42:27
5,登录界面输入密码后无法显示,1.打开软件；2.点击立即体验，进入登录界面；3.输入密码后无法显示,审核不通过,13,2016-05-19 07:42:30
6,登录界面密码处可输入超过15位密码,1.打开软件；2.点击立即体验，进入登录界面；3.密码处可输入超过15位密码,审核通过,13,2016-05-19 07:42:44
7,注册界面账号处光标一直不动,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，账号处光标一直不动,审核通过,19,2016-05-19 07:44:15
8,注册界面点击别处光标仍在账号处,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，点击别处光标仍在账号处,审核通过,6,2016-05-19 07:44:24
9,注册界面点击验证码处无法显示光标,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，点击验证码处无法显示光标,审核不通过,6,2016-05-19 07:44:42
10,注册界面点击密码处无法显示光标,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，点击密码处无法显示光标,审核不通过,6,2016-05-19 07:44:45
11,注册界面输入账号后无法显示,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，输入账号后无法显示,审核不通过,4,2016-05-19 07:44:48
12,注册界面输入验证码后无法显示,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，输入验证码后无法显示,审核不通过,4,2016-05-19 07:44:51
13,注册界面输入密码后无法显示,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，输入密码后无法显示,审核通过,4,2016-05-19 07:44:59
14,注册界面输入正确账号，点击注册显示验证码错误，应显示请输入验证码,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，输入正确账号，点击注册显示验证码错误，应显示请输入验证码,审核通过,4,2016-05-19 07:45:10
15,注册界面密码处可输入超过15位密码,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，密码处可输入超过15位密码,审核不通过,13,2016-05-19 07:45:19
16,注册界面无法获得验证码,1.打开软件；2.点击立即体验，进入登录界面；3.点击注册账号，输入正确账号后，点击立即获取，无法获得,审核通过,4,2016-05-19 07:45:30
