id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,bug等级：p2。首页广告页面不能从最后一张滑至第一张。,"1.安装并打开app。
2.在首页滑动首页上的5个广告图片，向左滑动至最后一张广告图片后继续滑动，无法返回至第一个广告图片。",审核不通过,9,2016-05-28 16:25:36
2,bug等级：p0。点击广告图片，进入商品详情后点击”点击查看图文详情“，提示非法操作。,"1.安装并打开app.
2.点击首页广告”不花钱夺宝“，点击”点击查看图文详情“，提示非法操作。",审核通过,7,2016-05-28 16:26:06
3,bug等级：p0。点击首页中的查看全部，app崩溃。,"1.安装并打开app。
2.点击最新揭晓旁边的”显示全部“，app崩溃。",审核通过,13,2016-05-28 16:26:10
4,bug等级：p1.在首页点击最热，最快，最新标签时，页面全幅，但上方的广告栏会闪现。,"1.安装并打开app。
2.在首页点击最热，最快，最新标签时，页面全幅，但上方的广告栏会闪现。",审核通过,9,2016-05-28 16:26:38
5,bug等级：p1。点击首页中的”召唤美食，1元就到碗里来“，页面跳转至小米note搜索页面。,"1.安装并打开app。
2.点击首页中的”召唤美食，1元就到碗里来“广告页，页面跳转至小米note搜索页面。",审核通过,10,2016-05-28 16:26:53
6,bug等级：p2。昵称要求字符为至少2个字符。可以为1个字符。,"1.安装并打开app。
2.点击注册，输入手机号，昵称、密码。昵称要求为至少2个字符，但可以设置为1个字符，与描述不符。",审核通过,14,2016-05-28 16:27:05
7,bug等级：p1。收货信息管理中，填写好省份、城市、地区时，输入光标不会跳转至详细地址。,"1.安装并打开app。
2.注册并登陆。
3.点击个人头衔，点击收货信息管理，添加收货地址，添加实物收货地址。
4.收货信息管理中，填写好省份、城市、地区时，输入光标不会跳转至详细地址。",审核通过,14,2016-05-28 16:27:13
8,bug等级：p0。登陆后点击商品详情页面中的商品图片，进入到”夺宝给你带来好运气“页面。,"1.安装并打开app。
2.注册并登陆。
3.选择首页中nikond7100单反机进入商品详情，点击商品详情页面中的商品图片，进入到”夺宝给你带来好运气“页面",审核通过,13,2016-05-28 16:27:22
9,bug等级：p0。切换程序后app崩溃。,"1.安装并打开app。
2.注册并登陆app。
3.点击nikond7100单反机进入商品详情，点击商品图片后，切换程序。
4.切换回app，点击返回，app崩溃。",审核通过,13,2016-05-28 16:27:27
10,bug等级：p0.添加进购物车的退出后再次登陆被清空。,1.安装并打开app。 2.注册并登陆app。3.添加物品进购物车，后退出app。4.再次登录时，购物车被清空。,审核通过,14,2016-05-28 16:27:34
11,bug等级：p0。点击微信支付无响应。,1.安装并打开app。 2.注册并登陆app。3.添加物品进购物车，点击结算。4.选择微信支付，无响应。,审核通过,8,2016-05-28 16:27:40
12,查看夺宝记录，切换到产品页面时会出现闪退现象,查看夺宝记录，切换到产品页面时会出现闪退现象,审核通过,13,2016-05-28 16:27:52
13,首页滚屏第一张链接图片显示不出来，点击查看详情提示非法操作,首页滚屏第一张链接图片显示不出来，点击查看详情提示非法操作,审核通过,3,2016-05-28 16:28:01
14,夺宝号无法查看，直接退出到主页面,1.打开app 2.首页滚动栏任选一图点击 3. 查看夺宝号，只接退出到app主页面，无法查看,审核通过,0,2016-05-28 16:28:13
15,商品详情页面左下角购物车，直接退出到app主页面，无法查看,1.打开app 2.首页滚动栏任选一图点击 3.商品详情页面 点击左下角购物车，直接退出到app主页面，无法查看,审核通过,0,2016-05-28 16:28:45
