id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,无法正常打开软件显示白屏,无法正常打开软件显示白屏酷派9150安卓41wifi,审核通过,3,2015-12-01 21:28:07
2,根本无法打开app看截图打开之后先出了一个logo页面然后就是白屏一只都白屏任何页面都没有也不知道是不是手机不兼容导致的,根本无法打开app看截图打开之后先出了一个logo页面然后就是白屏一只都白屏任何页面都没有也不知道是不是手机不兼容导致的,审核通过,9,2015-12-01 21:50:59
3,软件进入子菜单后点击返回键直接退出软件,小米2S电信版wifi软件进入子菜单后点击返回键直接退出软件而不是退会到主界面,审核通过,18,2015-12-01 21:56:09
4,点击我的进入明星榜菜单软件左上角返回键点击没有反应,小米2S电信版wifi点击我的进入明星榜菜单软件左上角返回键点击没有反应,审核通过,18,2015-12-01 21:56:09
5,安装完成后无法进入app,安装完成后无法进入app直接显示白屏没有动静三星S3安卓43系统,审核通过,14,2015-12-01 21:56:47
6,移动端测试软件运行后无法正常工作显示为白屏,移动端测试软件运行后无法正常工作显示为白屏,审核通过,12,2015-12-01 21:57:46
7,打不开系统空白一片,打不开系统空白一片,审核通过,7,2015-12-01 22:00:31
8,打开页面后面直接跳白屏,手机小米2S系统安卓系统网络环境WIFI打开页面后直接白屏具体重现步骤如下1下载成功APP后安装成功2打开APP出现logo后直接跳转到白屏,审核通过,5,2015-12-01 22:01:34
9,软件安装后打不开无法使用,软件安装后打不开点击软件进不去始终显示全屏白板,审核通过,7,2015-12-01 22:09:12
10,打开APP后跳转不了页面直接空白,打开APP后跳转不了页面直接空白无法正常显示,审核通过,5,2015-12-01 22:12:52
11,打开软件后就只出现一个欢迎界面然后就卡在跳转白屏界面那里,打开软件后就只出现一个欢迎界面然后就卡在跳转白屏界面那里反复测试四次都是这样跳转不过来手机是红米手机,审核通过,8,2015-12-01 22:21:57
12,经过多次尝试咨询图片无法加载,在软件测试过程中小米2S在多次加载过程中发现咨询图片无法加载退出后也是无法加载出图片,审核通过,15,2015-12-01 22:31:02
13,进入圈子点发表动态写完后点击发表提示发表成功但是界面上并没有显示相应的帖子下拉刷新后也没有出现发表的动态重复操作依然如此,进入圈子点发表动态写完后点击发表提示发表成功但是界面上并没有显示相应的帖子下拉刷新后也没有出现发表的动态重复操作依然如此手机红米2系统版本Android444,审核通过,13,2015-12-01 22:36:33
14,安装成功后打开应用出现白屏无法进入页面,安装成功后打开应用出现白屏无法进入页面,审核通过,8,2015-12-01 23:04:37
15,压根就登陆不进去输入手机号有异常,压根就登陆不进去输入手机号后点击根本就进不去我用20MWIFi不行换成联通4G也不行点击发验证码的按钮根本没有用我用的是红米note联通4GMIUI7系统,审核通过,17,2015-12-01 23:06:30
16,注册页面输入手机号后点击收取验证码无法获取短信无法继续进行测试,注册页面输入手机号后点击收取验证码无法获取短信无法继续进行测试,审核通过,17,2015-12-01 23:08:56
17,打开APP出现图片之后一直白屏,打开APP开始出现一张图片首图之后一直是白屏无法进行测试手机为红米notewife网络,审核通过,8,2015-12-01 23:21:22
18,打开程序是白屏没有任何显示,打开程序屏幕出现小鱼的欢迎页面然后自动跳到白屏没有显示可以按返回键退出,审核通过,11,2015-12-01 23:24:05
19,打开程序包小米note出现程序白屏现象一直没有响应,打开程序包小米note出现程序白屏现象一直没有响应无法进行测试,审核通过,1,2015-12-01 23:27:02
20,手机不能正常打开APP,1百度微任务下载安装后点击打开2显示鱼形图标接着变成白屏3手机重启现象依旧4卸载重装依然存在后面的题无法测试,审核通过,14,2015-12-01 23:42:38
21,安装完软件打开后始终白屏无法使用软件,安装完软件打开后始终白屏无法使用软件SonyXL39hAndroid422wifi,审核通过,3,2015-12-01 23:58:21
22,圈子中图片头像多次刷新无法加载,机型小米2S在软件测试过程中发现咨讯以及圈子图片经过多次加载无法出现图片通过断网换WiFi以及流量测试后也发现无法加载出图片,审核通过,15,2015-12-02 00:00:39
23,从微任务打开程序白屏无法继续,从微任务打开程序就一直白屏无法继续多次重试还是一样酷派5891手机百度云系统,审核通过,11,2015-12-02 00:18:39
24,无法获取手机验证码无法注测登录,无法获取手机验证码无法注测登录未能执行测试任务,审核通过,17,2015-12-02 00:19:38
25,软件打不开手机型号SMG9006V,打开软件能看得到引导页面随后便打不开屏幕为白色,审核通过,7,2015-12-02 00:34:49
26,偶尔出现页面空白现象,点击抢票后再点击上方活动标签页面会变成空白往上往下拨动时也会出现这个现象,审核通过,5,2015-12-02 00:46:31
27,圈子里发布动态发布不显示,圈子里发布动态显示发布成但下方不显示无论是下拉刷新还是去其他页面再回来,审核通过,2,2015-12-02 00:46:31
28,下拉操作很卡无法完成刷新,下拉操作很卡无法完成刷新新发布的动态刷新不出来无法查看这程序是真卡啊,审核通过,13,2015-12-02 01:20:49
29,登入后直接白屏没有任何反应,wifi环境安卓41打开软件直接白屏无法运作,审核通过,18,2015-12-02 06:30:56
30,页面的图标把活动公告征集等字都遮盖了如果没有测试提示根本猜不出什么字,1安装软件2注册账号3进入软件4抢票活动征集公告四个词都被图标遮盖了请参见截图谢谢红米2手机MIUI7系统超大字号设置,审核通过,0,2015-12-02 07:31:45
31,打开软件界面白屏一直白屏下去没反应,打开软件界面白屏一直白屏下去没反应从新打开还是这样,审核通过,18,2015-12-02 08:26:58
32,下载完成之后打不开软件只是白屏,从微任务接受任务下载完成之后打不开软件只是白屏,审核通过,7,2015-12-02 08:52:09
33,不是提BUG只是提建议,进入二级菜单后查看详细文章点击返回即退出程序此时应该返回上级才符合用户预期直接退出程序有些奇怪,审核通过,15,2015-12-02 08:58:37
34,进入圈子发布动态成功但是不显示,进入圈子发布动态显示发布成功等待了8分钟后刷新还是没有显示出来我发的动态,审核通过,2,2015-12-02 09:04:56
35,无法进入首页又看到开头的画面但随后一片空白,从微任务里点击打开可以打开APP进入片头然后就是一片空白多次打开都是这样,审核通过,5,2015-12-02 09:09:01
36,新用户引导的图片适配出问题下方的导航标记被遮盖,首次打开app出现的新用户引导图片底部的导航标记被遮盖魅族MX4,审核通过,16,2015-12-02 09:12:52
37,点击资讯按钮显示资讯内容下拉刷新时出现灰色框,安装打开app手机注册主页面点击资讯右侧下拉资讯内容出现灰色框且下拉反应慢或无反应华为手机畅玩,审核通过,10,2015-12-02 09:56:19
38,进入圈子发布动态显示这个是错误,安装打开app注册点击圈子显示这个是错误前两个图片不显示,审核通过,2,2015-12-02 09:56:20
39,进入圈子发布动态相关内容不显示上下拉动不刷新,安装打开app进入圈子发布动态相关内容不显示上下拉动不刷新,审核通过,2,2015-12-02 09:56:20
40,资讯中的选项的图片无显示,登录app进入主页选择资讯检查资讯页面中的列表如图所示资讯中的选项左边无图片显示均为空白,审核通过,10,2015-12-02 09:56:47
41,从资讯的详细页面中点击手机的返回按钮会退出app,登录app进入主页选择资讯并点击其中第一个选项进入详细页面此时若点击手机上的返回按钮则会让app退出而不是返回到上一个页面,审核通过,10,2015-12-02 09:56:47
42,圈子中发布动态提示成功但无法刷新也无法找到对应的动态,登录app进入主页选择圈子点击右上角按钮并书写内容来发布一条动态此时会有提示说发布成功但检查圈子中动态列表时找不到刚才发的动态而且向下拉也无法刷新,审核通过,2,2015-12-02 09:56:47
43,默认用户名不应该显示为null,登录app选择我的检查用户的显示此时显示为null而null是偏计算机领域的描述建议设置为另外一种默认名比如未命名用户或者在注册登录时要求用户输入用户名,审核通过,16,2015-12-02 09:56:48
44,打开该应用无法进入应用界面一直卡在一个白色的页面导致无法继续测试,小米2411打开该应用无法进入应用界面一直卡在一个白色的页面导致无法继续测试,审核通过,8,2015-12-02 10:13:03
45,有BUG发布的圈子不能显示出来,有BUG发布的圈子不能显示出来而且软件的交互性做的太差注册验证吗没有倒计时按手机的返回键不是退到前一页而是直接退出软件很不好,审核通过,2,2015-12-02 10:14:33
46,打开软件显示LOGO后未能正常打开软件,打开软件显示LOGO后未能正常打开软件显示白屏三星S3,审核通过,3,2015-12-02 10:16:33
47,在圈子发表动态无法显示也无法进行刷新,我的手机是荣耀6PLUS网络环境是WIFI我进入圈子发表了动态但是无法在圈子界面显示也无法下拉进行刷新所以我认为是个BUG,审核通过,13,2015-12-02 10:17:55
48,打开软件软件一直白屏等待五分钟后还是白屏,打开软件软件一直白屏等待五分钟后还是白屏,审核通过,3,2015-12-02 10:22:36
49,手机魅族mx3在注册页面不能获得验证码无法正常登录无法完成操作,手机魅族mx3在注册页面不能获得验证码无法正常登录无法完成操作,审核通过,17,2015-12-02 10:23:51
50,验证码无法获取不好意思验证码无法获取不好意思,验证码无法获取不好意思验证码无法获取不好意思,审核通过,17,2015-12-02 10:24:00
51,打开软件一片白屏什么显示都没有,打开软件一片白屏什么显示都没有也没有什么提示手机型号是夏新N828,审核通过,18,2015-12-02 10:57:14
52,华为手机打不开打开变成白屏,手机型号华为Y511U00安卓版本422安装本程序完成点击只显示首页小鱼图片接下来就是白屏试用多次仍如此,审核通过,7,2015-12-02 11:25:14
53,不能进入app刚出现通星粉界面然后就出现白屏,打开app出现白屏无法进入应用反复多次都是这种情况,审核通过,8,2015-12-02 11:28:20
54,下载安装完成后无法正常打开APP,下载安装完成后无法正常打开APP下载安装完成后无法正常打开APP,审核通过,14,2015-12-02 11:29:06
55,软件无法正常打开,软件打开后显示启动界面之后便一直处于白屏状态不能正常加载内容手机SAMSUNGs4i9500安卓422wifi网络,审核通过,3,2015-12-02 11:31:14
56,注册时获取验证码按钮点过之后没有变为不可用依然可点,在安装后首次启动APP显示注册界面输入手机号手点获取验证码按钮界面无任何提示按钮没有变为不可用依然可点一度以为该按钮功能失效点了好几下过了半分钟收到验证码短信一条注册成功此处点按获取验证码按钮后或是给出提示或是将该按钮置灰为不可用状态或是进行下次可点击的倒计时总之不能无任何提示此处应属设计缺陷手机环境小米2S联通非定制机MIUIv7开发版Androidv5022G运行内存测试时至少还有40内存可用3GWIFI10M或100M光纤接入,审核通过,4,2015-12-02 11:34:12
57,欢迎屏4幅全屏图左右两侧都有白边,首次启动APP后会见到4张欢迎图片但在我的手机上4张图片左右两侧都有白边无法确定是设计的白色边框还是图片比例不合适总之这个白边看起来就像是不应该出现的,审核通过,16,2015-12-02 11:34:12
58,任意界面按手机返回键无提示退出,在APP任意屏按手机返回键界面无任何提示直接退出到桌面按操作习惯返回键应该是返回上一层次界面比如在首页进入某一模块又点了某一链接进入内容页面正常返回键应该是先退回到模块界面再按退回到首页再按会提示再按一次退出等类似消息不应该是直接退到桌面此处用户体验非常差,审核通过,15,2015-12-02 11:34:12
59,很大的屏就显示一个4行的文本框版面太空了,APP首页点圈子点右上角铅笔图标转到发布界面该界面只有一个4行的文本框而下边还有很多空间可利用可以将文本框高度加大另外该页面没有可滚动的必要但却在右侧显示出了滾动条手机环境小米2S联通非定制机MIUIv7开发版Androidv5022G运行内存测试时至少还有40内存可用3GWIFI10M或100M光纤接入未安装任何第三方安全类APP未启用Root,审核通过,6,2015-12-02 11:34:12
60,我的,APP首页点我的图标进入模块点用户头像进入个人信息页点头像在弹出菜单中任选照片库相机均可正确拍照或选择照片后框选合适位置并应用弹出对话框头像上传成功确定关闭后发现选择照片库相机的菜单仍然是展开状态BUG点1关闭菜音界面中头像并未刷新和更换BUG点2后退到我的页面用户头像并未更新重启APP后发现头像依显未显示头像修改功能失效手机环境小米2S联通非定制机MIUIv7开发版Androidv5022G运行内存测试时至少还有40内,审核通过,6,2015-12-02 11:34:12
61,我的,APP首页点我的图标进入模块点用户头像进入个人信息界面点性别弹出菜单选择女之前是男弹出对话框修改性别成功确定后菜单依然是展开状态关闭菜单发现界面性别显示还是男离开该页重新进入依然是男重启APP后生效手机环境小米2S联通非定制机MIUIv7开发版Androidv5022G运行内存测试时至少还有40内存可用3GWIFI10M或100M光纤接入未安装任何第三方安全类APP未启用Root,审核通过,6,2015-12-02 11:34:12
62,华为P8手机android501无法正常登陆,手机类型华为P8系统android501网络wifi4G1找开app进入开启旅程输入手机号码点击获取验证码无任何提示100复现2大约一分钟后收到一条短信验证码4位如附件在验证码栏输入4位验证码点击登陆无任务提示无法登陆100复现,审核通过,17,2015-12-02 11:42:46
63,无法获取短信验证吗获取验证码按钮也无倒计时功能,点击获取验证码后没反应无法获取短信验证吗获取验证码按钮也无倒计时功能,审核通过,4,2015-12-02 11:46:55
64,点击我的点击我的头像进入个人信息页点击头像选择的两种方式均不能改变现有的头像,点击我的点击我的头像进入个人信息页点击头像选择的两种方式均不能改变现有的头像,审核通过,6,2015-12-02 11:51:20
65,发表动态下拉刷新没有显示,打开APP进入圈子功能点击右上角笔画发表文字发表后进入圈子下啦刷新没有显示,审核通过,13,2015-12-02 12:07:44
66,点击资讯按钮显示资讯内容不全不能显示图片下拉不可以刷新,点击资讯按钮显示资讯内容不全不能显示图片下拉不可以刷新,审核通过,10,2015-12-02 12:10:00
67,无法测试注册无法进行获取验证码无反应,小米4电信版wifi无法测试注册无法进行获取验证码无反应多次重试依然如此,审核通过,4,2015-12-02 12:18:36
68,打开以后一直白屏看任务截图时间,打开以后一直白屏看任务截图时间3分钟了还是进不去界面,审核通过,9,2015-12-02 12:40:17
69,资讯里的新闻图片不显示菜单标题没有背景图案功能区域模糊,资讯里的新闻图片不显示菜单标题没有背景图案功能区域模糊斐讯e653lw,审核通过,10,2015-12-02 12:50:14
70,无法注册打开APP输入手机号码点击获取验证码点两次都没得反应第三次应用就白屏了,无法注册打开APP输入手机号码点击获取验证码点两次都没得反应第三次应用就白屏了,审核通过,4,2015-12-02 12:51:43
