id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,app的注册功能不能用,进入app，点击注册，填入信息后，点击确定无反应。,审核通过,50,2016-01-06 10:51:44
2,app的设置功能不能用,"进入app，点击右上三个点，出现setting,点击无反应，
在注册页面同样的情况，也是无反应。",审核通过,29,2016-01-06 10:51:58
3,界面设置偏右，不太美观,"进入app，登录界面，横线设置偏右，在注册界面，同样的情况。
不美观",审核通过,47,2016-01-06 10:52:04
4,"①点击seting，设置不了，不跳转
②点击注册，填写完信息，不跳转","①点击seting，设置不了，不跳转
②点击注册，填写完信息，不跳转",审核通过,46,2016-01-06 10:52:11
5,"进入软件登录主界面，右上角settings,点击无反映","进入软件登录主界面，右上角settings,点击无反映",审核通过,6,2016-01-06 10:52:20
6,软件登录界面，点击注册帐号，资料填写完毕，点击确定，无反应，注册不了,软件登录界面，点击注册帐号，资料填写完毕，点击确定，无反应，注册不了,审核通过,28,2016-01-06 10:52:25
7,网上点餐首页，不输入任何信息点击登陆按钮，没有任何反应也没有任何提示,网上点餐首页，不输入任何信息点击登陆按钮，没有任何反应也没有任何提示,审核通过,4,2016-01-06 10:52:31
8,网上点餐首页，右上角图标选择settings，没有任何反应,网上点餐首页，右上角图标选择settings，没有任何反应,审核通过,3,2016-01-06 10:52:34
9,点击注册按钮，跳转到注册页面，输入任何信息或者什么都不输入，点击确定按钮，没有任何反应也没有任何提示,点击注册按钮，跳转到注册页面，输入任何信息或者什么都不输入，点击确定按钮，没有任何反应也没有任何提示,审核通过,14,2016-01-06 10:52:46
10,点击注册按钮，跳转到注册页面，按照一般的习惯，性别一般是选择的，这里却是手动输入的,点击注册按钮，跳转到注册页面，按照一般的习惯，性别一般是选择的，这里却是手动输入的,审核通过,1,2016-01-06 10:52:56
11,点击注册按钮，跳转到注册页面，右上角图标选择settings，没有任何反应,点击注册按钮，跳转到注册页面，右上角图标选择settings，没有任何反应,审核通过,3,2016-01-06 10:53:02
12,登陆功能无法正常使用,"进入app,输入账号密码,点登陆,仍停在原界面,也无任何提示",审核通过,26,2016-01-06 10:53:16
13,注册功能无法正常使用,"进入app,点注册,填完表单,点确定,仍停在原界面,无任何反应,无任何提示",审核通过,50,2016-01-06 10:53:20
14,设置功能无法正常使用,"进入app,点右上角图标或按安卓系统菜单键,出来set,再点击时无任何反应,无法调出设置界面",审核通过,29,2016-01-06 10:53:24
15,"点右上角“setting""无任何反应","点右上角“setting""无任何反应，该设置应无效，请检查",审核通过,29,2016-01-06 10:53:28
16,点注册，信息填入后，无法正常注册,点注册，信息填入后，无法正常注册，无任何提示或反应。,审核通过,50,2016-01-06 10:53:31
17,将账号信息输入，无法登录,将账号信息输入，无法登录，无任何提示，账号错误或请注册等提示信息。,审核通过,37,2016-01-06 10:53:34
18,打开软件，是登录界面，在右上角有settings按钮，点击无任何反映提示,打开软件，是登录界面，在右上角有settings按钮，点击无任何反映提示,审核通过,6,2016-01-06 10:53:39
