id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,APP中发表图片时自动启用摄像头失败发表图片居然不能从相册提取,打开APP登陆首页点中间的加号发表图片启动摄像头失败不能从相册直接提取图片,审核通过,13,2016-03-02 00:28:09
2,在设置中点击我要评分无法评分,在设置中点击我要评分无法评分建议修复此功能,审核通过,0,2016-03-02 00:34:35
3,个人签名无法修改为无签名,个人签名无法修改为无签名填写过个性签名后清空签名保存之后再点进个人资料后签名重新出现,审核通过,15,2016-03-02 00:34:35
4,用QQ登录后我的界面显示的账号和点进个人资料的账号不一样,用QQ登录后我的界面显示的账号和点进个人资料的账号不一样,审核通过,15,2016-03-02 00:34:35
5,添加关注后当在我的关注里取消关注时返回我的关注依然显示在关注,添加关注后当在我的关注里取消关注时返回我的关注依然显示在关注需返回我的界面再点关注才会消失,审核通过,3,2016-03-02 00:34:35
6,QQ能够登陆但是微信登陆不成功提示网络失败,QQ成功登陆微信登陆不成功提示网络繁忙登陆失败网络是连接的没有问题,审核通过,12,2016-03-02 09:34:30
7,安装运行登陆忘记密码手机和验证码输入框里文字提示不完全,安装运行登陆忘记密码手机和验证码输入框里文字提示不完全,审核通过,17,2016-03-02 10:03:54
8,安装运行登陆随便选一个贴子回复之后我的回复下面的点赞数为0点击后回到贴子详情,安装运行登陆随便选一个贴子回复之后我的回复下面的点赞数为0点击后回到贴子详情,审核通过,18,2016-03-02 10:03:54
9,安装运行登陆我的设置给我评分点击没有任务反应,安装运行登陆我的设置给我评分点击没有任务反应,审核通过,0,2016-03-02 10:03:54
10,我的粉丝内容列表点赞失效,注册登录后首页底部我的粉丝点击求见团队点击图片或视频下面的大拇指图标没有反应,审核通过,7,2016-03-02 10:31:27
11,我的粉丝内容列表分享失效,首页底部我的粉丝点击求见团队点击图片或视频下面的分享图标没有反应,审核通过,7,2016-03-02 10:31:27
12,我的粉丝内容列表回复无法直接启动只出现启动提示,首页底部我的粉丝点击求见团队点击图片或视频下面的回复图标只出现启动提示没有进入回复页面我的手机无法快速截图只能通过别的手机拍照才能抓到页面的提示,审核通过,7,2016-03-02 10:31:27
13,点赞的次数可以为无限次且不能取消赞,在首页里的热门最新附近点赞可以无限次增加且不能取消赞,审核通过,19,2016-03-02 10:40:22
14,不能为自己点赞且分享的时候只能进入评论页面才能分享,在点进我的发布后不能为自己点赞点击分享后进入评论回复页面再点击分享才能分享到朋友圈,审核通过,1,2016-03-02 10:40:22
15,在回复文字的时候这个符号不能输入,在回复文字的时候这个符号不能输入其的特俗符号可以输入,审核通过,16,2016-03-02 10:40:22
16,用qq登陆必须得退出手机登陆的账号不方便,手机登陆了可以再绑定qq或者qq登陆了可以再要求绑定手机号这样子更好,审核通过,12,2016-03-02 10:45:28
17,点击分享按钮然后点击底部按钮取消之分享次数依然增长,环境红米手机2MIUI762254G3GWiFi打开app首页选择一个图片视频或者直播话题点击赞按钮右边的分享按钮不要点击qq微信之类的进行分享直接点击底部取消按钮程序返回之后分享次数增长没有进行事实上分享分享次数依然增长,审核通过,1,2016-03-02 10:56:37
18,手机号码注册显示账号已注册但是页面一直跳转不到主页需要退出重新登陆,手机号码注册显示账号已注册但是页面一直跳转不到主页需要退出重新登陆,审核通过,6,2016-03-02 11:21:02
19,qq登录自动出来界面点击后希望直接进入主页但是出现的却是输入账号密码界面难道又要再次输入,qq登录自动出来界面点击后希望直接进入主页但是出现的却是输入账号密码界面难道又要再次输入,审核通过,17,2016-03-02 11:21:03
20,并未定位发布的时候就显示了地理位置的,并未定位发布的时候就显示了地理位置的,审核通过,18,2016-03-02 11:21:03
