id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,软件容易假死无法操作,在测试软件当中容易突整个界面变白假死点不动等待一会儿软件界面恢复正常可以正常操作,审核通过,5,2016-02-03 22:44:48
2,app稳定性欠佳容易停止工作,在测试当中出现软件已停止的对话框等一会对话框消失软件恢复正常,审核通过,18,2016-02-03 22:44:48
3,下载APP注册之后在首页找到课程点击推荐课程第三项标题雅思真题考官模式问答系列第一集视频打开是黑屏没有任何画面出来,下载APP注册之后在首页找到课程点击推荐课程第三项标题雅思真题考官模式问答系列第一集视频打开是黑屏没有任何画面出来,审核通过,8,2016-02-03 23:00:39
4,下载APP注册之后在首页找到课程点击推荐课程点击第一项标题视频名师1v1雅思零基础直达7分图片网右拖动详情显示是空白,下载APP注册之后在首页找到课程点击推荐课程点击第一项标题视频名师1v1雅思零基础直达7分图片网右拖动详情显示是空白,审核通过,8,2016-02-03 23:00:39
5,下载APP注册之后在首页找到课程点击录播课点击左边第3选项标题雅思真题考官模式问答系列第三集点击进去是黑屏,下载APP注册之后在首页找到课程点击录播课点击左边第3选项标题雅思真题考官模式问答系列第三集点击进去是黑屏,审核通过,8,2016-02-03 23:00:39
6,下载APP注册之后在首页找到课程点击录播课点击左边第4选项标题芳芳老师写作课堂点击进去是黑屏,下载APP注册之后在首页找到课程点击录播课点击左边第4选项标题芳芳老师写作课堂点击进去是黑屏,审核通过,8,2016-02-03 23:00:39
7,一点击百度微任务二点击移动项目测试三点击下载安装打开滔滔雅思口语测试四点击首页点击注册五输入手机号码点击获取验证码显示号格式有误前面加86再次输入手机号码显示显示号格式有误前面加上86手机号码点击获取验证码显示显示号格式有误,一点击百度微任务二点击移动项目测试三点击下载安装打开滔滔雅思口语测试四点击首页点击注册五输入手机号码点击获取验证码显示号格式有误前面加86再次输入手机号码显示显示号格式有误前面加上86手机号码点击获取验证码显示显示号格式有误,审核通过,9,2016-02-04 00:39:29
8,点击头像时出现不能打开网页的提示,点击头像时出现不能打开网页的提示上传头像正常,审核通过,15,2016-02-04 08:53:37
9,添加计划时页面打不开,添加计划时页面打不开点击制定计划跳转到找不到页面,审核通过,2,2016-02-04 08:53:37
10,我的学习页内容链接无效,进入到个人信息下我的学习页网络内容链接无效,审核通过,10,2016-02-04 09:20:51
11,我的学习下面显示找不到网页,进入首页后点击头像进入个人下面的我的学习栏目显示找不到网页,审核通过,13,2016-02-04 09:44:30
12,点击用户回答后显示找不到网页出现链接,点击练习点击用户回答后显示找不到网页出现链接,审核通过,13,2016-02-04 09:44:30
13,查看别人的回答显示找不到网页,在练习精彩回答界面点击查看别人的回答显示找不到网页,审核通过,13,2016-02-04 09:44:30
14,点击右上角消息后小红点消失的时机不对,1打开主界面右上角消息2点击通知3点击系统默认的两个通知查看查看后通知标签页的数字没有消失重新退出主界面然后再点击消息后发现数字消失,审核通过,0,2016-02-04 09:56:04
15,登录注册时移动联通号码没有问题电信号码输入显示手机格式不对电信用户无法注册,登录注册时移动联通号码没有问题电信号码输入显示手机格式不对电信用户无法注册,审核通过,9,2016-02-04 10:49:28
16,登陆软件点击左上角人头像进入个人中心点击头像上传头像图片成功后没显示新头像出来已经上传图片,登陆软件点击左上角人头像进入个人中心点击头像上传头像图片成功后没显示新头像出来已经上传图片,审核通过,6,2016-02-04 11:12:44
17,今日练习课程交流均无法正常显示,严格按照要求提示测试各项目今日练习课程交流均无法正常显示,审核通过,17,2016-02-04 11:19:24
18,我的设置意见反馈下方邮箱无法主动识别品牌邮箱随便填了一个7584568624475555668522com也可以成功发送,我的设置意见反馈下方邮箱无法主动识别品牌邮箱随便填了一个7584568624475555668522com也可以成功发送,审核通过,4,2016-02-04 11:45:33
