id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,打开之后出现首页之后闪退显示网络错误但是网络根本没有错误应该是不兼容,打开之后出现首页之后闪退显示网络错误但是网络根本没有错误应该是不兼容,审核通过,18,2015-11-26 19:50:07
2,打开应用之后反映一会之后显示网路连接错误然后软件崩溃我的手机是华为mate,打开应用之后反映一会之后显示网路连接错误然后软件崩溃我的手机是华为mate,审核通过,23,2015-11-26 20:13:39
3,在无线网情况下APP进不去多次尝试都进不去,在无线网情况下APP进不去多次尝试都进不去,审核通过,4,2015-11-26 20:14:28
4,安装之后打开时显示网络错误闪退,安装成功之后打开显示网络错误闪退PS我的网络正常,审核通过,24,2015-11-26 20:19:29
5,多次打开因无网络失败,多次打开弹出无法找到网络打开失败的错误提示检查自己手机网络已经打开,审核通过,0,2015-11-26 20:19:45
6,无法打开页面自动退出到打开页面,正常打开APP无法正常进入测试页面一直在旋转30秒后自动对出APP手机MX4网络WIFI,审核通过,11,2015-11-26 20:24:20
7,不能打开提示网络有问题,安装后不能打开尝试数次打开后加载一会就退出了提示网络错误,审核通过,12,2015-11-26 20:25:12
8,安装软件后点击无法打开,安装软件后点击无法打开提示网络错误无法使用,审核通过,16,2015-11-26 20:31:05
9,无法进入APP明明有网络却提示网络错误连接无线不行不用无线也不行,无法进入APP明明有网络而且可以使用却提示网络错误连接无线不行不用无线也不行,审核通过,23,2015-11-26 20:31:18
10,安装完成后打开软件界面停留在加载页面约10s后自动退出提示网络错误,安装完成后打开软件界面停留在加载页面约10s后自动退出提示网络错误SonyXL39hAndroid42wifi,审核通过,11,2015-11-26 20:34:51
11,家用网络畅通但软件无法联网,本人手机魅蓝note1电信版安卓版本444网络环境50M电信光纤网络畅通软件安装正常但是点击百度微任务里的打开按钮打开软件时软件无法正常打开显示网络错误请查看网络后重试软件本身无法联网无法打开,审核通过,16,2015-11-26 20:48:24
12,打开进不了APP显示网络错误,下载APP安装进入打开进不了APP显示网络错误网络确定是没有问题的,审核通过,4,2015-11-26 20:50:06
13,安装后无法进入APP自动退出,安装后连续多次登入在登录界面卡顿后退出报网络错误世纪WIFI和移动数据都开着,审核通过,17,2015-11-26 20:50:14
14,进去APP载入界面就一直加载不进去,进去APP载入界面就一直加载不进去进去APP载入界面就一直加载不进去,审核通过,2,2015-11-26 20:58:50
15,开启APP后无法进入软件闪退,开启APP后无法进入软件闪退华为P6安卓44wifi,审核通过,25,2015-11-26 20:59:13
16,网络正常加载不了提示网络有问题红米2电信版,网络正常加载不了提示网络有问题红米2电信版,审核通过,8,2015-11-26 21:04:10
17,根本一直进不去什么APP啊,点击以后就一直旋转然后就说网络不行问题是我开别的都没问题,审核通过,4,2015-11-26 21:05:33
18,显示无网络接通无法打开主页,显示无网络接通无法打开主页,审核通过,24,2015-11-26 21:06:40
