id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,注册时发送手机验证码收到验证码时点击手机桌面键看短信此时软件应该是后台运行记好验证码后返回软件这时软件正在重新打开需要重新进入注册页面也就是刚才软件关闭了软件正常使用时也存在这个问题,注册时发送手机验证码收到验证码时点击手机桌面键看短信此时软件应该是后台运行记好验证码后返回软件这时软件正在重新打开需要重新进入注册页面也就是刚才软件关闭了软件正常使用时也存在这个问题,审核通过,8,2016-03-07 20:33:27
2,填写开户信息点击QQ号码和电子邮箱时键盘弹出又自动隐藏无法输入信息,打开app点击开户选择第一个万致进行开户点击立即开户点击QQ号码或者电子邮箱进行填写,审核通过,23,2016-03-07 20:41:13
3,手机注册成功后登录后弹出很抱歉程序出现异常即将退出,手机注册成功后登录后弹出很抱歉程序出现异常即将退出,审核通过,16,2016-03-07 21:11:55
4,安装运行APP游客登陆选择开户我要开户页面的黄金点差最少头寸文字显示不完全,安装运行APP游客登陆选择开户我要开户页面的黄金点差最少头寸文字显示不完全,审核通过,23,2016-03-07 22:06:31
5,安装运行APP游客登陆选择历史选择牛人中的历史记录进入后每件商品下面四个数字显示不完全,安装运行APP游客登陆选择历史选择牛人中的历史记录进入后每件商品下面四个数字显示不完全,审核通过,6,2016-03-07 22:06:31
6,APP提示更新后下载更新安装包后无法正常安装,我使用的是红米1S电信版打开APP软件提示更新下载更新安装包后无法正常安装,审核通过,18,2016-03-07 22:09:59
7,立即开户中照片上传功能有BUG,点击开户任意进入可开户的产品点击下方立即开户在下方上传照片上传相册照片上传拍照后照片点击确定发现照片全部消失,审核通过,2,2016-03-07 22:11:14
8,手机界面显示错误,在登录界面输入错误的登录密码点击会员登录点击游客登录循环点击多次手机卡顿一段时间后软件以游客身份登录此时下方才显示登录失败手机号或者密码错误,审核通过,4,2016-03-07 22:11:14
9,微信分享功能无效,点击任意模块进行微信分享点击微信按钮没有任何跳转,审核通过,7,2016-03-07 22:11:14
10,在一些的情况下点击交易会偶现页面混乱,点击开户然后点击交易此时出现交易的页面保留开户时的界面点击资讯还是保留开户界面但是上方栏目栏变了,审核通过,23,2016-03-07 22:11:14
11,1点击首页右下角我的进入个人中心2点击关于大帮汇3点击隐私条款可以看到第11点和第12点之间明显间隔大了多了两个空行排版不整齐,1点击首页右下角我的进入个人中心2点击关于大帮汇3点击隐私条款可以看到第11点和第12点之间明显间隔大了多了两个空行排版不整齐,审核通过,22,2016-03-07 22:12:31
12,在直播交易模块点击栏目中的条目无响应,在直播交易模块点击栏目中的条目无响应下拉栏目刷新信息但点击相关栏目无响应,审核通过,20,2016-03-07 22:21:05
13,开户点击其中一个的开户详情后横屏系统跳出到开户界面,开户点击其中一个的开户详情后横屏系统跳出到开户界面不能正常使用横屏功能,审核通过,23,2016-03-07 22:37:04
14,设置微信分享提示受限不能分享,设置微信分享提示受限不能分享微信分享功能不能正常实现,审核通过,7,2016-03-07 22:37:04
