id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,打开黑闪退完成测试,打开黑闪退完成测试重启手机存在,审核通过,16,2015-11-25 20:04:42
2,登录显示网络通信失败,换要求输入用户名及密码点击登录显示网络通信失败,审核通过,17,2015-11-25 20:42:50
3,输入帐号密码提示网络通讯失败登录,启动软件输入帐号密码提示网络通讯失败登录进行操作,审核通过,10,2015-11-25 20:59:23
4,使用帐号密码点击登录进入应用崩溃,使用帐号密码点击登录进入应用崩溃,审核通过,7,2015-11-25 21:11:50
5,使用账户密码登陆后白屏,使用账户密码登陆后app显示白屏进入界面,审核通过,11,2015-11-25 21:16:08
6,登录系统无提示信息,登录系统无提示尝试密码登录继续测试请检查密码,审核通过,15,2015-11-25 21:36:18
7,登陆时闪退崩溃进入app,登陆时闪退崩溃进入,审核通过,12,2015-11-25 21:36:25
8,登陆时闪退崩溃进入app,登陆时闪退崩溃进入,审核不通过,12,2015-11-25 21:36:34
9,登录系统进入系统,点击进入软件输入用户名密码登录系统,审核通过,15,2015-11-25 21:39:20
10,打开app输入用户名密码登录,打开app输入用户名密码用户提示通讯失败,审核通过,17,2015-11-25 21:40:39
11,输入账号密码登录,输入账号密码登录4g网络下均登录,审核通过,14,2015-11-25 21:45:26
12,输入账号密码登录,输入账号密码登录4g网络下均登录,审核不通过,14,2015-11-25 21:45:42
13,使用测试账号登录系统,使用测试账号登录系统打开app输入测试账号密码点击登录提示网络通信失败切换wifi联通结果,审核通过,14,2015-11-25 21:51:06
14,登陆账户显示网络通信失败,给出密码进行软件登陆过程给出账号登陆检查账号显示网络通信失败,审核通过,13,2015-11-25 21:54:45
15,登录提示网络通信失败,输入提供用户名密码登录提示网络通信,审核通过,14,2015-11-25 22:06:16
16,使用给帐号登录登录显示通信失败,使用给帐号登录登录显示通信失败,审核通过,10,2015-11-25 22:11:06
17,输入用户名及密码登入,输入用户名及密码登入提示网络通讯失败,审核通过,9,2015-11-25 22:12:16
18,登录提示网络通信失败联网,手机小米2s电信版网络wifi问题账号密码输对情况登录提示网络通信失败软件联网,审核不通过,8,2015-11-25 22:16:51
19,登陆时闪退崩溃进入app,登陆时闪退崩溃进入为p6,审核不通过,12,2015-11-25 22:17:33
20,输入账号密码登陆屏死机输入出现通信网络失败,打开app输入用户名密码用户密码123456点击登陆白屏死机打开app输入用户名密码用户码rfdyii点击登陆出现通信网络失败,审核不通过,17,2015-11-25 22:20:36
21,显示网络通信失败登录进行测试,显示网络通信失败登录进行测试手机型号mx4系统,审核不通过,15,2015-11-25 22:24:54
22,没有更新情况登录提示网络通信失败,a789系统更新情况移动wifi下进行登录提示网络通信失败进行接下来测试,审核不通过,5,2015-11-25 22:27:45
23,打开账号密码登录,打开账号密码登录进去app弹出对话框网络通信失败,审核不通过,0,2015-11-25 22:34:56
24,任务二点击移动项目测试测试下载输入账户名密码登录登录,任务二点击移动项目测试测试下载输入账户名密码登录登录,审核不通过,3,2015-11-25 22:36:10
25,任务二点击移动项目测试测试下载输入账户名密码登录登录,任务二点击移动项目测试测试下载输入账户名密码登录登录,审核不通过,3,2015-11-25 22:36:11
26,使用帐号登陆出现闪退现象使用用户出现网络通信失败,使用帐号登陆出现闪退现象使用用户出现网络通信失败,审核不通过,10,2015-11-25 22:47:54
27,登入显示网络通信失败,输入用户名密码用户登入显示网络通信失败,审核不通过,9,2015-11-25 22:51:35
28,获取通讯失败登陆手机wifi环境小米4,获取通讯失败登陆手机wifi环境小米尝试登陆失败,审核通过,12,2015-11-25 23:04:36
29,获取通讯失败登陆手机wifi环境小米4,获取通讯失败登陆手机wifi环境小米尝试登陆失败,审核不通过,12,2015-11-25 23:04:50
30,账号密码登陆,账号密码登陆登陆半天动静输入问题,审核不通过,13,2015-11-25 23:09:38
31,输入用户密码应用登录提示网络通信失败手机应用头条打开使用wifi网络,点击应用进入登录界面输入用户名密码,审核不通过,7,2015-11-25 23:24:01
32,账户密码登录,账户密码登录账户密码登录,审核不通过,3,2015-11-25 23:27:45
33,点击登陆输入密码有如图提示点程序会退出屏显示密码不为空,点击登陆输入密码有如图提示点程序会退出屏显示密码不为空,审核不通过,17,2015-11-25 23:30:07
34,使用帐号登陆进白屏回到介绍特性页面登陆往复,使用帐号登陆进白屏回到介绍特性页面登陆往复,审核通过,2,2015-11-25 23:42:05
35,输入账号切换网络wifi数据信号登录,环境红米手机数据信号任务打开app输入账号密码提示网络通信失败,审核不通过,14,2015-11-25 23:43:23
36,登入显示网络通信错误,登入显示网络通信错误登入显示网络通信错误登入显示网络通信错误,审核不通过,9,2015-11-25 23:53:58
37,使用帐号登陆不进提示网络通信失败猜测密码错误,使用帐号登陆不进提示网络通信失败猜测密码错误,审核不通过,2,2015-11-25 23:55:15
38,登录显示网络通讯失败,安装账户名密码登录显示网络通讯失败,审核不通过,13,2015-11-26 00:12:22
39,网络通讯失败进入系统打开app网络,网络通讯失败进入系统打开app网络,审核不通过,15,2015-11-26 00:26:04
40,网络通讯失败进入系统进行测试,网络通讯失败进入系统进行测试,审核不通过,15,2015-11-26 00:26:05
41,帐号登录闪退网络通信失败,帐号登录闪退网络通信失败,审核不通过,10,2015-11-26 00:55:28
42,登陆提示网络通讯失败,登陆提示网络通讯失败进入闪退进去进入填写好账号密码点登录提示网络通讯失败机子重启不行重装不行,审核不通过,13,2015-11-26 01:04:05
43,系统登录继续,系统登录失败提示网络通信电信宽带手机型号vivox5v,审核不通过,15,2015-11-26 05:59:41
44,输入用户密码点击登陆显示显示白屏退出返回任务界面,输入用户密码点击登陆显示显示白屏退出返回任务界面,审核通过,17,2015-11-26 06:39:29
45,4g网络使用提示网络通信失败,安装软件进入登陆页面输入提供账号密码登录提示网络通信失败登陆关闭wifi打开4g网络提示详见截图,审核不通过,14,2015-11-26 07:39:58
46,帐户密码登陆,帐户密码登陆帐户密码登陆,审核不通过,12,2015-11-26 08:13:48
47,登陆提示网络通讯失败,启动app输入帐号密码登陆提示网络通讯失败进行操作网络密码尝试,审核不通过,13,2015-11-26 08:20:49
48,wangzqcloudcccom登录,测试方提供用户密码登录软件w大写,审核不通过,8,2015-11-26 08:31:01
49,下载登陆输入账号密码提示网络通讯失败登陆,下载登陆输入账号密码提示网络通讯失败登陆,审核不通过,13,2015-11-26 08:40:37
50,下载登陆输入账号密码提示网络通讯失败登陆,下载登陆输入账号密码提示网络通讯失败登陆,审核不通过,13,2015-11-26 08:40:38
51,输入账号密码登录提示网络通信失败登录,微任务打开软件输入密码账号登录提示网络通信失败,审核不通过,14,2015-11-26 08:51:12
52,输入密码账号登录登录提示网络通信失败,微任务打开软件输入密码账号登录登录提示网络通信失败,审核不通过,14,2015-11-26 08:51:13
53,用户,下载安装用户登陆失败提示网络通信失败,审核不通过,6,2015-11-26 08:55:20
54,网络进入app,输入用户名密码用户网络进入app显示网络通信失败,审核不通过,17,2015-11-26 09:02:44
55,测试步骤输入账号密码登陆提示网络通信失败网络测试过提示登陆,测试步骤输入账号密码登陆提示网络通信失败网络测试过提示登陆,审核不通过,14,2015-11-26 09:04:48
56,打开登录登录后白屏退出,打开登录登录后白屏退出试进入稳定版,审核不通过,16,2015-11-26 09:07:25
57,登录上提示网络通信失败,打开app输入指定用户名密码登录上提示网络通信失败手机3,审核不通过,17,2015-11-26 09:11:17
58,输入完提供用户名密码点击登录界面白屏无反应进入app继续下面测试,输入完提供用户名密码点击登录界面白屏无反应进入app继续下面测试机型系统50,审核不通过,15,2015-11-26 09:20:01
59,打开此测试步骤,安装软件打开卡登陆账号后灰屏,审核不通过,16,2015-11-26 09:25:12
60,登录app给帐号不行,登录app给帐号行wangzq1帐号登录时候出点白屏跳出进入帐号提示出现通信错误登录测试手机红米手机,审核通过,10,2015-11-26 09:31:32
61,使用用户登陆提示网络通信失败使用帐号登陆出现白进入进入软件界面左滑登陆登陆无效,使用用户登陆提示网络通信失败使用帐号登陆出现白进入进入软件界面左滑登陆登陆无效,审核通过,11,2015-11-26 09:39:02
62,登入提示网络通信失败,登入提示网络通信失败提示网络通信失败,审核不通过,9,2015-11-26 09:46:42
63,输入用户密码登录账号,登录页面输入用户名密码点击登录预期结果登录结果登录失败,审核不通过,14,2015-11-26 09:55:34
64,登录界面输入用户名密码登录显示网络通信失败,登录界面输入用户名密码登录显示网络通信失败,审核不通过,17,2015-11-26 10:14:44
65,进入app后登陆白屏,进入选择登陆输入用户名密码登陆白屏,审核通过,17,2015-11-26 10:15:48
66,进入软件提示网络通信失败,进入软件提示网络通信失败找进入使用电信网络,审核通过,11,2015-11-26 10:18:11
67,进入软件提示网络通信失败,进入软件提示网络通信失败找进入使用电信网络,审核不通过,11,2015-11-26 10:18:20
68,键入帐号密码登录后白屏变成黑屏退出,键入帐号密码登录后白屏变成黑屏退出号华为g750t01,审核通过,8,2015-11-26 10:19:50
69,账号密码错误试不行提示通信错误,账号密码错误试不行提示通信错误,审核不通过,16,2015-11-26 10:28:59
70,登陆提示网络通信失败,登陆界面使用给出用户名密码登录提示网络通信失败登陆界面胡乱输入存在用户名密码提示登陆,审核通过,6,2015-11-26 10:34:10
71,登陆上知道原因提示通信失败,用户名密码输入情况登陆客户端显示通信失败关掉wifi后失败,审核不通过,17,2015-11-26 10:36:35
72,输入用户名密码登陆,输入用户名密码提示网络通信失败登陆,审核不通过,17,2015-11-26 10:40:57
73,帐号登录提示网络通迅失败,帐号登录提示网络通迅失败wifi和3g网不行,审核不通过,10,2015-11-26 10:50:29
74,使用用户登录无线网移动网络提示网络通信失败,使用用户登录无线网移动网络提示网络通信失败,审核不通过,1,2015-11-26 10:53:35
75,测试密码账户登录,提供账户密码wifi移动数据情况进行登录失败,审核通过,3,2015-11-26 11:19:07
76,测试密码账户登录,提供账户密码wifi移动数据情况进行登录失败,审核不通过,3,2015-11-26 11:19:18
77,登陆登陆登陆,登陆登陆登陆登陆,审核不通过,13,2015-11-26 11:38:42
78,使用帐号用户登陆系统显示网络通信失败网络没问题微任务上传应用操作,使用帐号用户登陆系统显示网络通信失败网络没问题微任务上传应用操作,审核不通过,7,2015-11-26 11:39:36
79,使用帐号用户登陆系统显示网络通信失败网络没问题微任务上传应用操作,使用帐号用户登陆系统显示网络通信失败网络没问题微任务上传应用操作,审核不通过,7,2015-11-26 11:39:37
80,提供账号密码登入,提供账号密码输入点击登入登入,审核不通过,9,2015-11-26 11:40:14
81,登录失败提示网络通信失败,打开app74输入提供账号密码点击登录提示网络通信失败手机wifi下网络通畅详见截图,审核不通过,14,2015-11-26 11:55:08
82,登录网络通信失败,打开app进入登录页面输入任务要求帐号密码进行登录提示网络通信失败wifi手机网络进行测试失败,审核不通过,15,2015-11-26 12:08:00
83,完成登录显示网络通信错误,完成登录显示网络通信错误,审核不通过,9,2015-11-26 12:18:47
84,打开软件无奔溃用提供账户密码登陆时候网络wifi4g3g网络通信失败时间段试手机为网络制式移动,打开软件无奔溃用提供账户密码登陆时候网络wifi4g3g网络通信失败时间段试手机为网络制式移动,审核不通过,16,2015-11-26 12:20:45
85,使用电信版要求输入账户名密码登录系统提示网络通信失败输,使用电信版要求输入账户名密码登录系统提示网络通信失败输,审核不通过,15,2015-11-26 12:25:25
86,登录退出,测试账号登录出现屏然后退出测试手机为华,审核通过,5,2015-11-26 12:27:05
87,登录白屏退出,登录白屏退出测试情况,审核通过,5,2015-11-26 12:44:33
88,登陆提示通讯失败,安装app启动输入帐号密码登陆提示网络通讯失败尝试无效,审核不通过,13,2015-11-26 12:50:46
89,登陆提示网络通信失败,登陆使用wifi网络移动网络提示网络通信失败,审核不通过,1,2015-11-26 12:51:25
90,安装用户名密码登录登录上去,安装用户名密码登录登录上去提示网络通讯失败知道事网络没有问题,审核不通过,6,2015-11-26 13:00:08
91,打开app输入用户名密码登陆软件退出,使用帐号软件首页进入软件退出用户提示网络通信失败,审核不通过,11,2015-11-26 13:05:18
92,登陆显示网络通信失败知道服务器问题,登陆显示网络通信失败知道服务器问题手机网络机型荣安卓444系统,审核不通过,17,2015-11-26 13:05:47
93,登录跳出,步骤,审核不通过,4,2015-11-26 13:21:52
