id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,首页头像运动计划运动目标目标跳绳滑动到自定义不能自定义点击自定义无反应,首页头像运动计划运动目标目标跳绳滑动到自定义不能自定义点击自定义无反应,审核通过,4,2016-02-19 16:04:49
2,首页健康汇进入一个帖子想复制粘贴一段文字无法完成,首页健康汇进入一个帖子想复制粘贴一段文字无法完成,审核通过,8,2016-02-19 16:04:49
3,退出当前账号再重新登录后个性签名被清空,先将个性签名设置为我的测试然后在账户管理中退出当前账号再重新登录会发现签名被清空变成默认的签名了,审核通过,7,2016-02-19 16:25:41
4,计步步数会出现回退现象,快速摇动手机步数自动增加当增加了30步左右的时候此时从手机后台中直接结束加加软件再重新进入软件会发现步数出现了回退,审核通过,10,2016-02-19 16:25:41
5,分享至QQ好友出现文件为空提示,点击首页右上角分享按钮分享至qq好友会提示文件为空无法分享成功,审核通过,5,2016-02-19 16:25:41
6,分享至QQ空间分享有页面一直反复加载无法成功分享,分享至QQ空间分享有页面一直反复加载无法成功分享,审核通过,5,2016-02-19 16:25:41
7,点击首页右上角分享qqqq空间和健康汇分享正常微信和朋友圈点击无反应,点击首页右上角分享qqqq空间和健康汇分享正常微信和朋友圈点击无反应手机安装有qq和微信,审核通过,5,2016-02-19 16:27:22
8,打开APP登陆时当登陆密码错误时一直显示登陆中并没有跳转到其他页面点返回也没用一直在登陆中,打开APP登陆时当登陆密码错误时一直显示登陆中并没有跳转到其他页面点返回也没用一直在登陆中,审核通过,13,2016-02-19 17:03:31
9,进入运动记录后点击分享提示加加运动已停止,进入运动记录后点击分享提示加加运动已停止,审核通过,6,2016-02-19 17:03:31
10,进入APP进入健康汇后分享时提示分享失败,进入APP进入健康汇后分享时提示分享失败,审核通过,5,2016-02-19 17:03:31
11,摇动手机步数自动增加,摇动手机步数自动增加实际上没有跑只是摇动手机步数在不停的增加,审核通过,10,2016-02-19 17:03:47
12,选跳绳功能后不出现自动计数情况,选跳绳功能后不出现自动计数情况酷派9150安卓41,审核通过,10,2016-02-19 17:28:06
