id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,1登陆首页，点击下方校园表白，毫无内容，白屏,1登陆首页，点击下方校园表白，毫无内容，白屏,审核通过,20,2016-05-14 12:17:47
2,"1首页点击校园活动
2一直显示若数据未加载请刷新","1首页点击校园活动
2一直显示若数据未加载请刷新",审核通过,0,2016-05-14 12:18:42
3,重置密码页面中点击获取验证码后不会进入倒计时,"1、打开软件
2、点击进入登录页面
3、进入重置密码
4、输入手机号，点击获取验证码，不会进入倒计时",审核通过,23,2016-05-14 12:18:56
4,重置密码中能对未注册的手机号进行获取验证码操作,"1、打开软件
2、点击进入登录页面
3、进入重置密码
4、输入未注册的手机号，点击获取验证码
5、仍能收到短信",审核通过,23,2016-05-14 12:19:06
5,个人资料页面更换头像，选择一张非图片文件出现软件停止运行,"1、打开软件
2、登录成功
3、点击头像进入个人资料页面
4、点击头像，选择一张非图片文件
5、出现软件停止运行",审核通过,26,2016-05-14 12:19:13
6,个人资料中未对输入的年龄、性别进行有效性校验,"1、打开软件，登录成功
2、点击进入个人资料
3、年龄、性别中随意输入，点击修改资料
4、仍能修改成功",审核通过,5,2016-05-14 12:19:41
7,校园通知中通知未按照时间降序进行排列,"1、打开软件，登录成功
2、点击校园通知
3、查看，未按照时间降序排列",审核通过,16,2016-05-14 12:19:45
8,个人记事中点击已经存在的记事查看，存在多余提示,"1、打开软件，登录成功
2、带你及进入个人记事
3、点击已经存在的记事，进入查看
4、多提提示：请稍后",审核通过,11,2016-05-14 12:19:48
9,无网络进入个人记事 ，恢复网络后加载失败,"1、打开软件，登录成功 
2、关闭网络，点击进入个人记事 
3、恢复网络后，下拉刷新，不能加载出已有内容",审核通过,11,2016-05-14 12:19:56
10,个人记事中无网络保存提示错误,"1、打开软件，登录成功
2、点击个人记事
3、点击新建，输入成功后，关闭网络
4、点击保存，提示：更新失败
5、应该提示：网络异常",审核通过,11,2016-05-14 12:19:59
11,无网络进入失误招领未弹出网络异常提示,"1、打开软件、登录成功
2、关闭网络，点击失误招领
3、无任何提示（带你及进入校园风光等有提示）",审核通过,16,2016-05-14 12:20:03
12,无网络进入校友通知直接提示：无通知,"1、打开软件、登录成功
2、关闭网络，点击校友通知
3、提示：无通知",审核通过,16,2016-05-14 12:20:10
13,无网络进入校友活动，提示：若数据未加载请刷新，且一直转圈,"1、打开软件、登录成功
2、关闭网络，点击校友活动
3、提示：若数据未加载请刷新，且一直转圈",审核通过,0,2016-05-14 12:20:13
