id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,直接闪退，无法进入体验。可能是机型不兼容。,直接闪退，无法进入体验。可能是机型不兼容。,审核通过,1,2015-12-14 21:11:16
2,安装完成后无法打开app，两种途径都不能打开！,安装完成后无法打开app，两种途径都不能打开！酷派9150，安卓4.1,审核通过,15,2015-12-14 21:36:55
3,小米2s无法运行软件,"小米2s 安卓4.4.4
软件奔溃，无法运行。",审核通过,14,2015-12-14 21:41:16
4,无法打开软件？？？？？？？？,"打开都是黑屏，手机要扣电池重启，手机是三星note3 n9008s,安卓4.3",审核通过,21,2015-12-14 21:44:29
5,打开app停止运行停止运行停止运行,打开app停止运行停止运行停止运行停止运行停止运行停止运行,审核通过,4,2015-12-14 21:47:57
6,安装过程正常，启动后闪退,"安装过程正常，启动后闪退
安装过程正常，启动后闪退",审核通过,5,2015-12-14 21:50:00
7,安装完成后，app打开就是黑屏闪了一下，然后就没有然后了，。。。截图也是截不到，只能发个截图表示已安装了,安装完成后，app打开就是黑屏闪了一下，然后就没有然后了，。。。截图也是截不到，只能发个截图表示已安装了,审核通过,17,2015-12-14 21:53:29
8,打开软件的时候出现闪退,打开软件的时候出现闪退，显示已停止，连续出现几次,审核通过,8,2015-12-14 21:59:26
9,闪退闪退闪退闪退闪退,无法进入软件，点击后直接闪退回到移动测试界面。手机：荣耀3c ，网络：wifi,审核通过,12,2015-12-14 22:00:10
10,无法打开应用，从微任务点击打开app按钮，显示错误信息，无法进入主界面,无法打开应用，从微任务点击打开app按钮，显示错误信息，无法进入主界面.安卓4.4.2，原生系统,审核通过,2,2015-12-14 22:00:12
11,安装后，打开程序后闪退，并弹出错误框,魅族mx3两次安装，多次打开程序后闪退，并弹出错误框,审核通过,15,2015-12-14 22:00:13
12,安装后根本无法打开该app,正常安装后，点击进入黑屏后就退出了，尝试多次都无法使用，测试手机：红米note2,审核通过,21,2015-12-14 22:00:43
13,无法打开应用，应用闪退,无论从众测客户端打开，还是手机直接打开，应用均无法打开，闪退。,审核通过,2,2015-12-14 22:01:10
14,程序闪退：在微任务下载安装好以后，点打开，手机转为黑屏，随后转回微任务界面。,程序闪退：在微任务下载安装好以后，点打开，手机转为黑屏，随后转回微任务界面。手机进程里没有app历史运行记录。,审核通过,20,2015-12-14 22:04:34
15,反复多次测试包括重启手机，都是能够安装，无法打开，有闪退现象。,反复多次测试包括重启手机，都是能够安装，无法打开，有闪退现象。测试环境，红米手机，wi-fi网络。,审核通过,10,2015-12-14 22:05:33
16,安装完成后无法打开app，提示停止运行,安装完成后无法打开app，提示停止运行，华为p6，安卓4.4,审核通过,4,2015-12-14 22:07:57
17,闪退，无法使用。闪退，无法使用。,打开软件，闪退，无法使用。测试手机华为荣耀7,审核通过,7,2015-12-14 22:09:05
18,在微任务领取任务后，点打开后打不开雅思君app,"在微任务领取任务后，点打开后页面闪一下又跳回到微任务app界面，打不开雅思君app，但手机打开的程序列表里面有。
小米手机3",审核通过,16,2015-12-14 22:15:37
19,软件安装后 无法正常运行,"本人手机魅蓝note1电信版 安卓版本4.4.4 网络环境50m电信光纤 网络畅通
软件安装完成后 点击微任务中的打开按钮 转到软件 但是软件闪退 无法打开 提示 很抱歉，“雅思君”已停止运行",审核通过,13,2015-12-14 22:20:37
20,黑屏，不能打开软件，尝试两次都不行,黑屏，不能打开软件，尝试两次都不行，全是黑屏，不能正常进入软件界面，无法继续测试，请检查。,审核通过,21,2015-12-14 22:24:03
21,app 无法打开 点击app后 又跳回手机桌面,app 无法打开 点击app后 又跳回手机桌面,审核通过,16,2015-12-14 22:27:00
22,应用闪退，无法进入应用,下载安装后点击应用图标，屏幕一黑瞬间闪退，无法进入应用。华为荣耀4x电信版,审核通过,2,2015-12-14 22:27:36
23,打开程序闪一下就退出了,打开程序闪一下就退出了，不论百度微任务还是直接打开,审核通过,19,2015-12-14 22:27:57
24,打不开软件，闪退，无任何提示。,点击软件无反应，打不开软件，闪退，无任何提示。,审核通过,18,2015-12-14 22:29:37
25,"能正常安装，安装后点击图标，手机黑一下，然后又返回手机界面，没有打开程序，应该发生了闪退。重复几次都是如此。如截图所示
手机 红米2 系统4.4.4","能正常安装，安装后点击图标，手机黑一下，然后又返回手机界面，没有打开程序，应该发生了闪退。重复几次都是如此。如截图所示
手机 红米2 系统4.4.4",审核通过,20,2015-12-14 22:35:55
26,软件闪退，无法登入完成测试,软件闪退，无法登入完成测试，点击软件直接黑屏闪退,审核通过,10,2015-12-14 22:39:09
27,无法正常使用，程序崩溃退出,"无法正常使用，程序崩溃退出
手机型号索尼z2
版本：安卓5.1.1",审核通过,15,2015-12-14 22:40:21
28,华为c8818无法进入软件，先黑屏后退出,无法进入软件，先黑屏后自动退出，手机是华为c8818，android4.4.4,审核通过,6,2015-12-14 22:42:06
29,无法登入软件，黑屏后，就闪退，无法打开，尝试多次不行,打开软件后，只有输入手机号码选项，输入后无法操作，进入不了首页,审核通过,21,2015-12-14 22:42:28
30,"闪退,点击闪退,不能进入应用","点击应用后,闪退,在红米手机上.点击闪退,不能进入应用",审核通过,2,2015-12-14 22:43:25
31,第一次打开程序异常自动退出，第二次打开程序停止运行,第一次打开程序异常自动退出，第二次打开程序停止运行，bug日志已截图上传,审核通过,15,2015-12-14 22:43:38
32,"点击打开软件,软件提示""很抱歉,雅思君已停止运行""","点击打开软件,软件提示""很抱歉,雅思君已停止运行""",审核通过,4,2015-12-14 22:43:58
33,下载安装后无法正常打开，出现闪退,下载安装后无法正常打开，出现闪退，无法检测各功能,审核通过,8,2015-12-14 22:45:24
34,完全无法打开app界面,微任务端安装后打开，打开过程中经历多次以黑底亮屏暗屏过程后回到微任务，无法打开app，红米note，miui7,审核通过,5,2015-12-14 22:49:05
35,闪退，无法打开软件，一直闪退。,闪退，无法打开软件，一直闪退。手机红米note，网络wifi，手机系统安卓。,审核通过,7,2015-12-14 22:49:24
36,软件无法登录，出现闪退,在微任务下载软件，之后安装，点击打开，自动退出，没有任何软件登录页面，直接退出来。下面有手机截图。,审核通过,19,2015-12-14 22:51:54
37,无法正常登陆，显示雅思君已停止.........,无法正常登陆，显示雅思君已停止.........,审核通过,11,2015-12-14 22:55:00
38,安装软件成功，打开软件出现闪退,安装软件成功，打开软件出现闪退，无法打开页面。,审核通过,8,2015-12-14 22:56:55
39,闪退！根本没有办法运行！无论是从微任务客户端打开还是点击图标直接打开都一直是闪退！整个手机屏幕黑一下，然后就自动退出了！,"一直在闪退！屏幕黑一下就没有了，费了老大劲才截到黑屏的图片！开始以为是手机上的猎豹清理大师等安全清理类app对待测试app运行产生干扰，于是先卸载这些可能干扰其他app运行的安全清理类软件，保险起见再将手机重启，然后再重新测试，但问题依旧没有改善！
测试用的手机是三星i739，运行的是百度云os v6正式版。手机上其他app主要有：高德地图 滴滴出行 jj斗地主 流量宝 qq 免费wifi电话 截图工具 二维码扫描 pp助手 一淘 2345影视大全 掌悦ireader 直播吧 军棋 悦动浏览器 讯飞手机输入法 无线鼠标 soundwire es文件浏览器 百度地图等。",审核通过,17,2015-12-14 23:03:01
40,软件无法打开，黑屏，然后闪退,点击打开，先黑屏，然后闪退。从百度打开，还有直接从自己手机打开，都是先黑屏，后闪退,审核通过,21,2015-12-14 23:08:33
