id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,打开软件看到首页上的京东金融的图标显示不完全,点击打开软件看到首页上的京东金融的图标显示不完全,审核通过,17,2015-12-17 21:16:11
2,网络实名卡无法绑定手机和注册登录,机型小米2S在测试中发现小米2S使用的网络卡170号段无法注册软件这个是一个需要注意的问题现在用网络卡越来越多,审核通过,12,2015-12-17 21:21:28
3,点击我的进入我的界面点击设置点击关于我们点击分众专享微信公众号点击前往微信无反应无任何提示未安装微信情况下,点击我的进入我的界面点击设置点击关于我们点击分众专享微信公众号点击前往微信无反应无任何提示未安装微信情况下,审核通过,15,2015-12-17 21:36:13
4,选择定位城市进入选择城市界面搜索框内容显示不全,选择定位城市进入选择城市界面搜索框内容显示不全,审核通过,9,2015-12-17 21:36:13
5,下载注册后金元没给再下载显示手机归属和APP地址不一样,最主要我注册的时候用的卡就是本地卡地址也是这现在下载不了应用之前下载注册的也没返还金元,审核通过,18,2015-12-17 22:12:40
6,下载APP失败显示手机号码和APP不在一个星球,下载APP失败显示手机号码和APP不在一个星球红米NOTEWIFI江西联通,审核通过,14,2015-12-17 22:49:01
7,无法下载app显示下载错误,用手机注册后登陆成功后点击下载app显示下载错误无法下载,审核通过,16,2015-12-17 22:58:18
8,使用微信登陆一直加载提示网络繁忙登陆失败,打开应用使用微信登陆一直在加载提示网络繁忙登陆失败,审核通过,10,2015-12-17 23:10:35
9,微信确认登录后界面卡在登录页登录失败不跳转,进入APP点击我的点击请登录点击微信快捷登录微信端确认登录回到登录界面页面不跳转且返回我的界面后仍然显示未登录操作三次后成功一次退出登录再次操作继续失败多次尝试后找到原因了只要从微信端返回时会弹出正在登陆中的对话框就能登陆成功否则失败个人感觉应该是因为微信占内存过大把APP的activity给kill掉了,审核通过,10,2015-12-17 23:12:51
10,无法获取奖励测试APP未主动打开下载试玩应用,限时赚钱京东金融去参与下载安装直接返回应用详情页面无奖励也无任务提示右下角黄色的进度条变为重新下载其他的没有变化也没有得到金元奖励,审核通过,18,2015-12-17 23:12:51
11,打开APP点击微信登录点击限时赚钱在行输入手机号得验证码填写验证码显示手机归属地和APP不在一个星球,打开APP登录点击限时赚钱点击在行输入手机号得验证码填写验证码显示手机归属地和APP不在一个星球,审核通过,14,2015-12-17 23:51:02
12,首页点左上角城市进入选择城市页面这个页面中搜索输入框太小框中输入城市名称这几个字的上半部分都没显示,首页点左上角城市进入选择城市页面这个页面中搜索输入框太小框中输入城市名称这几个字的上半部分都没显示,审核通过,9,2015-12-18 00:15:08
