id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,轻应用首页打不开,点击桌面快捷方式打开该轻应用没显示轻应用轻生活标题的专场页面进不去该轻应用页面没显示,审核通过,3,2014-10-09 19:50:34
2,已添加轻应用快捷方式到桌面,不能添加轻应用快捷方式到桌面桌面没有快捷方式,审核通过,12,2014-10-09 19:56:08
3,在轻应用里面播放视频,在轻应用里面播放视频不能播放视频区域是灰色的点击后提示网络不通,审核通过,13,2014-10-09 19:56:08
4,应用加载很慢很久加载不出来,点开了兰州三维服务网二维码加载很慢好几分钟都没加载出来,审核通过,5,2014-10-09 20:11:41
5,没有回到播放的暂停状态,添加了爱奇艺播放了多啦a梦按home键后点击桌面刚添加的快捷方式发现回到主页不是视频的暂停状态这个也没法截图,审核通过,10,2014-10-09 20:15:05
6,无法正常订阅轻应用,页面加载进度条变化过程中点击订阅提示无法订阅页面加载进度条即将到头时页面又会突然变成页面出错多次尝试都是这样网络使用wifi一切正常,审核通过,5,2014-10-09 20:15:46
7,订阅不了这个没法尝试,订阅不了这个没法尝试订阅不了这个没法尝试,审核通过,11,2014-10-09 20:15:46
8,设置里的消息设置无法选择消息提醒开关,点击我的进入设置点击消息中心排行前五已订阅轻应用显示但是消息提醒开关显示打开无法进行关闭操作,审核通过,2,2014-10-09 20:43:04
9,打开百度轻应用后无法添加,从百度微任务下载了百度轻应用然后打开选择排名进行订阅添加无法添加,审核通过,4,2014-10-09 20:52:49
10,打开后选择了一个然后添加无任何反映手机桌面也不显示,打开轻应用排行榜点开一个排名前5的未被添加的轻应用然后点击最底下的添加无任何反映,审核通过,7,2014-10-09 20:52:49
11,进入轻应用很慢容易出现无法显示并且点击订阅选项订阅失败,打开轻应用之后点击订阅显示订阅失败无法正常进行订阅,审核通过,9,2014-10-09 20:55:43
12,点击下方工具栏中间的添加图标没有反应无法添加,打开轻应用排行榜点开一个排名前5的未被添加的轻应用点击下方工具栏中间的添加图标进行添加没有反应无法添加,审核通过,1,2014-10-09 20:55:43
13,2页桌面没有空余添加不成功不会自动增加一页桌面,打开百度轻应用选择轻应用中心排行前5的某个轻应用进行添加后因为我的桌面没有空余添加不成功,审核通过,16,2014-10-09 20:56:13
14,点击订阅失败连续点击一直显示失败但是我在进入界面后显示已成功,点击排名第2的百度百科和第3的糗事都遇到这个问题点击订阅秒出一个黑色框显示订阅失败连续反复都这样我退出后在进入发现已经订阅成功,审核通过,9,2014-10-09 21:00:38
15,添加爱奇艺综艺提示添加完成后桌面没有快捷图标,添加排行中的爱奇艺综艺看到提示后使用home键回到桌面查看桌面图标中没有新添加的爱奇艺综艺的图标,审核通过,15,2014-10-09 21:03:20
16,锁屏返回后视频继续播放没有暂停,视频轻应用打开→播放→锁屏→返回→没有暂停,审核通过,19,2014-10-09 21:09:47
17,订阅失败请稍后重试,打开轻应用中心点击海底捞订阅提示订阅失败请稍后重试,审核通过,6,2014-10-09 21:13:06
18,点击桌面快捷方式后没有显示轻应用轻生活而是直接显示应用图标和名称,点击桌面快捷方式后没有显示轻应用轻生活而是直接显示应用图标和名称,审核通过,3,2014-10-09 21:15:46
19,按下home再切回去轻应用会重新开启并进入主页,播放视频后按下home视频停止播放在切回轻应用会显示轻应用启动画面,审核通过,10,2014-10-09 21:15:46
20,添加5个应用后手机桌面没有这五个应用的快捷方式设置里面显示已经订阅,通过百度微任务打开百度轻任务点击首页的排行订阅前5的应用手机提示了创建快捷方式到桌面但是桌面并没有快捷方式然后点击我的里面显示了已经订阅的应用,审核通过,12,2014-10-09 21:22:54
21,刚开始添加提示添加失败请稍后重试然后切换分类标签栏再试验添加显示成功后面的操作均正常,刚开始添加提示添加失败请稍后重试然后切换分类标签栏再试验添加显示成功后面的操作均正常,审核通过,18,2014-10-09 21:25:18
22,手机重启后再次人微任务进入轻应用发现之前添加过的应用已在我的已订阅中显示但是在排行中相应的应用仍然是显示订阅状态,手机重启后再次人微任务进入轻应用发现之前添加过的应用已在我的已订阅中显示但是在排行中相应的应用仍然是显示订阅状态而非之前没重启手机前相应应用打开灰色状态,审核通过,4,2014-10-09 21:25:18
23,关掉屏幕后再重新进入则重新进入,按照任务操作进入爱奇艺后点击视频进入播放界面按home键后进入主界面再次进入则是重新进入软件界面,审核通过,19,2014-10-09 21:38:47
24,打开该轻应用没有显示轻应用轻生活标题的专场页面,按任务要求从快捷方式打开轻应用载入页面除底端有图标外上部全为空白没有显示轻应用轻生活之后直接进入首页详见上传的截图,审核通过,3,2014-10-09 21:39:29
25,轻应用中心点击订阅不能添加,点击订阅显示订阅失败请稍后重试2和3无法操作,审核通过,6,2014-10-09 21:51:08
26,点击下方工具栏中间的添加图标功能异常,点击下方工具栏中间的添加图标无反应多次点击显示添加失败请稍后重试,审核通过,14,2014-10-09 21:51:08
27,无法正常添加海底捞应用,打开轻应用点击添加无法正常添加海底捞应用,审核通过,17,2014-10-09 22:02:03
28,无法添加海底捞的桌面快捷,打开轻应用点击最下方的键无法添加海底捞的桌面快捷,审核通过,16,2014-10-09 22:02:03
29,无法正常播放爱奇艺视频,打开轻应用点击爱奇艺爸爸去哪儿视频开反应慢一会就不能播放了,审核通过,13,2014-10-09 22:02:03
30,点击的桌面快捷方式先出现含该轻应用的图标的界面但没有然后再进入轻应用页面,点击该轻应用的桌面快捷方式先出现含该轻应用的图标的界面但没有然后再进入轻应用页面,审核通过,15,2014-10-09 22:04:29
31,第一步添加不了不能继续,第一步添加不了不能继续这也不是bug可能服务器故障吧,审核通过,17,2014-10-09 22:10:38
32,自动为我订阅了百度钱包彩票而且订阅得直达号订阅了三个附带自动为我订阅得桌面只显示了一个,打开动态本地轻应用app订阅我的返回界面点击桌面快捷方式,审核通过,11,2014-10-09 22:16:03
33,按照要求操作但是进入的是刚才播放的画面一闪而过就回答轻应用的主页面了,进入一个爱奇艺动漫播放一个视频然后点击home键回到主屏幕再次点击轻应用发现播放一个画面一闪而过回到轻应用主页解不了图一闪的太快,审核通过,10,2014-10-09 22:17:45
34,无法订阅点击后显示提示,点击订阅后提示订阅失败请稍后重试点了好几个都一样,审核通过,6,2014-10-09 22:18:04
35,点开后无法进行添加出现提示,点击添加后有时没反应有时提示添加失败请稍后重试系统桌面上也没有,审核通过,17,2014-10-09 22:18:04
36,再次回到该应用的时候显示应用主页而不是视频暂时播放状态,选择进入爱奇艺播放视频点击home键回到主屏幕通过桌面图标再次进入该轻应用显示该轻应用主页,审核通过,10,2014-10-09 22:34:13
37,图标已添加但是显示订阅失败,按照步骤一要求进行操作的,审核通过,18,2014-10-09 22:37:07
38,步骤2点击设置之后系统就自动退出了,查看轻应用中心我的里应有刚订阅的轻应用找到设置点击设置之后就闪退,审核通过,2,2014-10-09 22:43:35
39,按照操作说明进行操作没有出现视频处于暂停播放状态,选择腾讯视频播放播放视频时点击home键回到主屏幕再次回到该轻应用时则发现打开的是轻应用的主界面,审核通过,10,2014-10-09 22:44:02
40,步骤2点击我的画面仍然停留在主页面无反应,添加桌面轻应用后点击我的软件无反应画面依然是主页面,审核通过,19,2014-10-09 22:44:29
41,,,审核通过,-1,2014-10-09 22:44:29
42,找不到视频类应用主页面里没有视频类应用,打开轻应用中心精选页面里没有视频类应用点击排行后出现错误提示如上一个BUG点击分类后偶尔出现错误提示即使出现分类页面点击任意一个分类都无反应,审核通过,13,2014-10-09 22:44:29
43,不能添加轻应用显示订阅失败请稍后重试,我分别用了移动网和wifi添加了首页所有应用都没能成功,审核通过,6,2014-10-09 23:02:39
44,点击下方工具栏中间的添加图标毫无反应试了前几个应用都是如此,我分别打开了百度百科爱奇艺综艺糗事百科腾讯漫画马蜂窝都不能添加,审核通过,14,2014-10-09 23:02:39
