id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,注册接收不到短信验证码,机型小米2S在打开软件注册登录过程中发现网络良好但是无法接收到短信验证码经过换号测试也是同样的效果,审核通过,16,2015-12-24 17:43:39
2,无法完成注册输入手机号码点击下一步收不到验证码,无法完成注册输入手机号码点击下一步收不到验证码,审核通过,21,2015-12-24 17:44:32
3,无法注册登陆一直提示处理中,输入手机号注册点击下一步一直提示处理中无法完成注册登陆切换wifi和移动4G网都一样不能注册,审核通过,21,2015-12-24 17:45:23
4,输入任意手机号和密码点击登陆app没有任何反应,输入任意手机号和密码点击登陆app没有任何反应,审核通过,10,2015-12-24 17:45:54
5,注册页面输入正确后错误的手机号点击下一步一直是处理中,注册页面输入正确后错误的手机号点击下一步一直是处理中,审核通过,20,2015-12-24 17:45:54
6,一点击百度微任务二点击移动项目测试三点击下载安装鸟人四点击注册五填写手机号码点击下一步六一直在下一步转圈无法继续进行测试,一点击百度微任务二点击移动项目测试三点击下载安装鸟人四点击注册五填写手机号码点击下一步六一直在下一步转圈无法继续进行测试,审核通过,16,2015-12-24 17:56:46
7,点击找回密码获取验证码时一直是请稍候的状态,1打开APP2成功进入登录页面找回密码获取验证码,审核通过,17,2015-12-24 18:02:24
8,软件无法注册无法登陆,本人手机魅蓝note1电信版安卓版本444网络环境50M电信光纤网络畅通安装软件后打开软件显示登录界面因为没有账号选择右下的还没注册进入注册界面填写正确的手机号码点击下一步弹出黑色小长方形框显示处理中但是那个圆圈一直在那转一直处于处理中卡住了无法进行下一步,审核通过,21,2015-12-24 18:09:05
9,无法注册,注册时点击下一步一直显示在处理中之后就返回注册页面或者返回开始页面尝试几分钟信号满格仍无法注册,审核通过,21,2015-12-24 18:32:18
10,忘记密码验证码输入空格提示错误,1进入登录页面2点击忘记密码3验证码输入空格提示网络异常,审核通过,10,2015-12-24 20:26:09
11,注册页面填写手机号点击下一步客户端崩溃,注册页面填写手机号点击下一步客户端崩溃长时间无反应然后弹出很抱歉鸟人已停止运行,审核通过,22,2015-12-24 21:04:00
12,在注册页面点地区进入地区选择页面随便点右侧26个中任意的一个字母26个字母都会变成黑底看截图,在注册页面点地区进入地区选择页面随便点右侧26个中任意的一个字母26个字母都会变成黑底看截图,审核通过,17,2015-12-24 21:51:25
13,登陆界面手机号输入框应限制只能输入11位数字,登陆界面手机号输入框应限制只能输入11位数字现在可输入数字位数大于11,审核通过,20,2015-12-24 22:40:50
14,打开客户端刚进入页面提示程序停止运行手机型号是vivoX5L,打开客户端刚进入页面提示程序停止运行手机型号是vivoX5L,审核通过,22,2015-12-24 23:01:30
15,登录页面按HOME键切回桌面重新打开APP后重启,进入登录页面后按HMOE键切回桌面重新打开APP后APP重启了应改停在当前登录页面,审核通过,7,2015-12-24 23:15:04
16,与安卓50系统兼容性差,与安卓50系统兼容性很差经常卡屏流畅性也差影响使用,审核通过,13,2015-12-25 12:29:28
17,软件无法正常进行注册当通过手机进行验证码注册的时候在设置头像和昵称后点击保存并登陆结果无法正常完成注册程序下方显示登录失败Saveusertodbfailed,软件无法正常进行注册当通过手机进行验证码注册的时候在设置头像和昵称后点击保存并登陆结果无法正常完成注册程序下方显示登录失败Saveusertodbfailed我的手机是红米2A增强版移动使用WIFI和移动网络都无法正常完成注册登录,审核通过,21,2015-12-25 14:13:38
18,打开APP鸟人会出现闪退无法进入软件,打开鸟人APP单击后出现闪退已停止无法进入软件,审核通过,11,2015-12-25 15:01:24
19,无法转发,下载安装后打开登录点击晒晒里的说说点击转发标志页面但是会出现转发页面但是转发不到别的地方而且下面是回复的,审核通过,2,2015-12-25 16:20:54
20,分享不成功,下载安装打开晒晒里面说说点击附近下方那个三角标志的那个会出现关注分享添加好友等选项挨个点击他们都是可以的只有分享点击分享到微信朋友圈后显示后台分享然后就提示分享失败,审核通过,0,2015-12-25 16:20:54
21,点右下角我的打开的页中选头像选择从相册选取在选取图片并裁剪后会出现错误,点右下角我的打开的页中选头像选择从相册选取在选取图片并裁剪后会出现错误,审核通过,19,2015-12-25 16:22:04
22,下载安装运行APP注册成功后再次打开APP无法正常运行闪退,下载安装运行APP注册成功后再次打开APP无法正常运行闪退,审核通过,22,2015-12-25 16:26:36
23,更改头像不成功闪一下,登录后我点头像头像拍照或相册上传都失败夏新N828安卓421,审核通过,15,2015-12-25 16:28:57
24,各个功能的地图都加载失败,登录应用轨迹地图显示为方格夏新N828安卓421,审核通过,6,2015-12-25 16:28:57
25,对于第一次使用鸟人app的刚进入登录界面时背景中的白色点点让人容易误以为手机屏上有污点,1下载并安装app2打开app进入app登录界面3第一次使用该app时登录到该界面对手机屏的观察,审核通过,13,2015-12-25 16:56:23
26,app登录界面的背景太暗了而且很难看清背景图下面亮起来的图案是什么,1下载并安装app2打开app进入app登录界面3观察登录界面背景背景太暗可能会导致用户手动去设置手机的显示亮度但是设置完后进入到别的界面时手机屏亮度会很亮这样的前后反差会给用户不好的体验而且用户手机因为亮度增加会增加手机功耗减少手机待机时间4观察登录界面的下面图案目测看起来像是里面有灯的帐篷看起不是很清楚,审核通过,13,2015-12-25 16:56:23
27,在我界面晒晒关注粉丝下面的数字显示不全,1下载并安装app2打开app进入app登录界面完成注册然后登录进入app3点击右下角的我进入我界面4晒晒关注粉丝下面的数字显示不全参考附图FortestdeviceTOSHIBAAT7A平板电脑,审核通过,7,2015-12-25 16:56:23
28,昵称修改时不能输入汉字或者英文字母并且昵称修改不成功,1打开app新用户首次完成注册app2登录app进入我界面3点击昵称图标进入到我的设置界面4点击昵称输入汉字和英文字母汉字和字母均不能输入进去5输入阿拉伯数字如123456后点击确认屏幕下方会显示修改成功但是返回到我界面昵称仍然显示的是注册时的昵称如egq并不是123456,审核通过,14,2015-12-25 16:56:23
29,修改昵称时没有显示昵称名字的输入限制条件,1登录app进入我界面2点击昵称图标进入到我的设置界面3点击昵称可光标处没有显示昵称名字的输入限制条件但是首次注册app时都会显示输入符号的限制条件,审核通过,14,2015-12-25 16:56:23
30,我的设置界面用户出生日期的设置最大可设置到2100年,1登录app进入我界面2点击昵称图标进入到我的设置界面3点击出生日期观察日期设置日期设置可设置到2100年并且2100年的设置能设置成功测试备注参考QQ的时间设置才到2015年12月31日,审核通过,1,2015-12-25 16:56:23
31,我的设置界面户外爱好设置不容易成功,1登录app进入我界面2点击昵称图标进入到我的设置界面3点击户外爱好选择户外爱好但是在这个界面没有明显的完成设置提示因为明显完成设置的提示如果用Android的返回键时户外爱好设置就不成功只有点击户外爱好设置界面的返回键才能设置成功,审核通过,8,2015-12-25 16:56:23
32,进入我的设置界面用户头像设置不成功,1登录app进入我界面2点击昵称图标进入到我的设置界面3点击头像从相册中选取选择android的图库app选择一个本地的图片框取图片的部分点击确定4确定后app自动切换到晒晒的关注界面同时在我界面观察到图像设置不成功,审核通过,8,2015-12-25 16:56:23
33,app会出现崩溃系统提示很抱歉鸟人已停止运行,1登录到app进入聊聊界面2点击好友加好友邀请QQ好友点击Android的返回键3系统会出现提示很抱歉鸟人已停止运行,审核通过,22,2015-12-25 16:56:23
34,登录到app晒晒界面屏幕下方会显示请求数据失败,1登录到app进入任何应用界面如晒晒界面Hold和下拉屏幕更新信息2屏幕下方会显示请求数据失败该问题block了app的晒晒聊聊应用等功能模块的测试,审核通过,6,2015-12-25 16:56:23
35,进入注册页面在手机一栏输入错误的手机号如11个0点击下一步提示语错误提示手机号码,进入注册页面在手机一栏输入错误的手机号如11个0点击下一步提示语错误提示手机号码,审核通过,21,2015-12-25 21:09:55
36,进入我的页面点击头像进入上传头像拍照时时系统崩溃,进入我的页面点击头像进入上传头像拍照时时系统崩溃,审核通过,15,2015-12-25 21:09:55
37,从微任务打开软件后系统崩溃,退出软件后返回到微任务页面再次从微任务页面打开软件系统崩溃,审核通过,11,2015-12-25 21:09:55
38,进入软件滑动引导图到第二张时黑屏再提示APP停止运行,正常进入软件滑动引导图到第二张时黑屏再提示APP停止运行,审核通过,22,2015-12-25 21:09:55
39,添加好友时点击邀请微信好友提示分享操作正在后台运行后没反应没有进入到微信页面进行分享,聊聊好友加好友点击邀请微信好友提示分享操作正在后台运行后没反应没有进入到微信页面进行分享,审核通过,0,2015-12-25 21:09:55
40,进入晒晒页面搜索到晒晒内容后点赞点赞成功后返回晒晒页面查看不显示点赞数,晒晒点击右上角的键搜索TEST搜索到内容后在该内容下点赞点赞成功返回晒晒页面查看不显示点赞数,审核通过,5,2015-12-25 21:09:55
41,晒晒页面点赞成功后不能取消点赞,晒晒页面选择一个帖子点赞点赞成功后再次取消点赞取消点赞失败点击没反应,审核通过,5,2015-12-25 21:09:55
42,我的页面点击头像从相册中选择图片上传上传成功后不显示头像,我的页面点击头像从相册中选择图片上传上传成功后显示头像返回我的页面不显示已上传好的头像再次进入个人资料页面查看也不显示头像,审核通过,15,2015-12-25 21:09:55
43,我的个人资料页面出生日期可选择未来日期,我的点击头像进入个人资料页面点击出生日期选择今天以后的日期,审核通过,1,2015-12-25 21:09:55
44,选择一篇帖子分享到微信朋友圈时进入分享页面还未点击发送就提示分享成功,晒晒页面选择一篇帖子分享到微信朋友圈时进入分享页面还未点击发送就提示分享成功,审核通过,0,2015-12-25 21:09:55
45,分享到新浪微博失败页面显示访问出错了,点击晒晒选择一篇帖子点击分享分享到新浪微博分享失败页面显示访问出错了,审核通过,0,2015-12-25 21:09:55
46,发布户外晒晒时点击位置进入地图页面不显示地图,点击晒晒点击右上角的键晒户外点击位置进入地图不显示,审核通过,6,2015-12-25 21:09:55
47,发布户外晒晒后返回晒晒页面弹出乱码提示,晒晒点击右上角的发布按钮选择位置海拔数最大数字输入内容与图片点击发布发布成功后返回晒晒页面弹出乱码提示,审核通过,18,2015-12-25 21:09:55
48,进入用户主页后刷新页面刷新的时候点击刷新的地方系统崩溃,点击晒晒选择一个用户头像进入他的主页刷新页面点击刷新的地方系统停止运行,审核通过,19,2015-12-25 21:09:55
49,手机号注册完了打开软件后老是闪退无法进入软件进行操作,手机号注册完了打开软件后老是闪退无法进入软件进行操作,审核通过,11,2015-12-25 23:15:53
50,登陆后我关注显示1之前晒晒中关注过1人似水流年但打开关注页面一个人也没有,登陆后我关注显示1之前晒晒中关注过1人似水流年但打开关注页面一个人也没有,审核通过,12,2015-12-25 23:55:21
51,登陆后晒晒对某一条内容进行转发或评论页面不能及时更新转发后或评论后的数量,登陆后晒晒对某一条内容进行转发或评论页面不能及时更新转发后或评论后的数量,审核通过,2,2015-12-25 23:55:21
52,已登录我粉丝搜索栏中输入刘德华或旭日等其它已存在的账号点击搜索APP无任何反应第二次点击搜索栏搜索结果却只显示888一个人且结果也不正确,已登录我粉丝搜索栏中输入刘德华或旭日等其它已存在的账号点击搜索APP无任何反应第二次点击搜索栏搜索结果却只显示888一个人且结果也不正确,审核通过,5,2015-12-25 23:55:21
53,已登录我粉丝0但打开粉丝页面粉丝却不为0,已登录我粉丝0但打开粉丝页面粉丝却不为0,审核通过,7,2015-12-25 23:55:21
54,已登录应用点击我的户外只显示了小红旗并没有显示具体的地图位置,已登录应用点击我的户外只显示了小红旗并没有显示具体的地图位置,审核通过,6,2015-12-25 23:55:21
55,已登录聊聊点击好友在搜索栏中输入8再准备输入第二字时发现焦点已经不在搜索栏中了必须再点击一次搜索栏重新定位才能再次输入内容,已登录聊聊点击好友在搜索栏中输入8再准备输入第二字时发现焦点已经不在搜索栏中了必须再点击一次搜索栏重新定位才能再次输入内容,审核通过,20,2015-12-25 23:55:21
56,已登录我个人头像处系统给了默认图片进入到聊聊群组选择自己创建的群组来咯微信切换到群组介绍页面发现自己null的头像是空白的而不是系统给的默认头像,已登录我个人头像处系统给了默认图片进入到聊聊群组选择自己创建的群组来咯微信切换到群组介绍页面发现自己null的头像是空白的而不是系统给的默认头像,审核通过,19,2015-12-25 23:55:21
57,已登录晒晒右上角菜单选择搜晒晒输入任意内容搜索结果的天气和海拔都是0跟实际的值不符,已登录晒晒右上角菜单选择搜晒晒输入任意内容搜索结果的天气和海拔都是0跟实际的值不符,审核通过,4,2015-12-25 23:55:21
58,已登录晒晒右上角菜单选择自媒体选择图片的加号添加图片从相册中选取选择图片后所选择的图片没有显示在自媒体的编辑页面,已登录晒晒右上角菜单选择自媒体选择图片的加号添加图片从相册中选取选择图片后所选择的图片没有显示在自媒体的编辑页面,审核通过,19,2015-12-25 23:55:21
59,打开APP进聊聊在查找好友那里输入文字后前面的搜索图标不起作用,打开APP进聊聊在查找好友那里输入文字后前面的搜索图标不起作用,审核通过,20,2015-12-25 23:57:44
60,打开APP进晒晒晒户外点右上角号新建内容下面是时间位置天气和海拔我这里本来是平原海拔显示111m,打开APP进晒晒晒户外点右上角号新建内容下面是时间位置天气和海拔我这里本来是平原海拔显示111m,审核通过,4,2015-12-25 23:57:44
61,打开APP进晒晒晒户外点右上角号新建内容下面同步到QQ空间失败,打开APP进晒晒晒户外点右上角号新建内容下面同步到QQ空间失败,审核通过,4,2015-12-25 23:57:44
62,注册后输入昵称提示可以输入12个字符但是只能输入5个英文,注册后输入昵称提示可以输入12个字符但是只能输入5个英文登录后修改昵称在设置改了但是显示还是原来的华为畅玩4x,审核通过,14,2015-12-26 09:48:56
63,点击进入热门点击里面发布的内容点击留言栏中输入空格也能发送留言,1打开APP2成功登入3点击进入热门点击发布的内容点击留言,审核通过,18,2015-12-26 10:06:09
64,在登入成功后进入个人界面可以看到关注那一行显示不全影响直观效果,在登入成功后进入个人界面可以看到关注那一行显示不全影响直观效果具体见上传图片,审核通过,12,2015-12-26 14:29:55
65,在登入成功后关注别人关注成功后回到我的界面点击关注页看到关注依然是空,在登入成功后关注别人关注成功后回到我的界面点击关注页看到关注依然是空具体见上传图片,审核通过,12,2015-12-26 14:29:55
66,注册登录之后发现无法切换功能,界面停留在关注部分无法切换到热门和附近包括下面界面的晒晒聊聊应用我均无法切换黑屏死机,审核通过,12,2015-12-26 15:54:25
67,进入输入密码页面输入6个汉字却可以进入下一步和备注有误,进入输入密码页面输入6个汉字却可以进入下一步和备注有误,审核通过,10,2015-12-26 17:22:06
68,进入注册输入昵称页面顶部的注册文字和按钮被切割显示不全,进入注册输入昵称页面顶部的注册文字和按钮被切割显示不全,审核通过,14,2015-12-26 17:22:07
69,进入注册输入昵称页面昵称输入6个字符后就无法继续输入了提示是不超过12个字符,进入注册输入昵称页面昵称输入6个字符后就无法继续输入了提示是不超过12个字符,审核通过,14,2015-12-26 17:22:07
70,进入户外工具箱点击进入指南针将手机横屏后页面显示不全,进入户外工具箱点击进入指南针将手机横屏后页面显示不全,审核通过,3,2015-12-26 17:22:07
71,进入户外工具箱点击进入温度显示的温度不合理北京这个时间温度怎么可能36℃,进入户外工具箱点击进入温度显示的温度不合理北京这个时间温度怎么可能36℃,审核通过,3,2015-12-26 17:22:07
72,注册时上传了头像但保存登录后进入我页面头像不是注册时上传的头像,注册时上传了头像但保存登录后进入我页面头像不是注册时上传的头像,审核通过,15,2015-12-26 17:22:07
73,进入我点击头像进入我的设置页面更换头像后无法正常显示,进入我点击头像进入我的设置页面更换头像后无法正常显示,审核通过,15,2015-12-26 17:22:07
74,点击晒晒右上角的进入晒户外发布页面点击该页面的三个向右的图标上无反应,点击晒晒右上角的进入晒户外发布页面点击该页面的三个向右的图标上无反应,审核通过,18,2015-12-26 17:22:07
75,转发的晒晒不现实数目,1安装并打开软件注册登录2打开晒晒查看点附近晒晒选择任意一条转发3右下角选择我查看我的晒晒晒晒数目显示为0打开后会有一条刚转发的晒晒却不显示数目晒晒数目为0SAMSUNGs4i9500安卓442,审核通过,2,2015-12-26 22:50:22
76,进入app登录后点击晒晒点击左上角的晒户外输入文字和图片选择下发的同步到微信朋友圈此功能异常,进入app登录后点击晒晒点击左上角的晒户外输入文字和图片选择下发的同步到微信朋友圈此功能异常,审核通过,18,2015-12-27 13:32:22
77,软件打开后只有空筐没有内容请修改,按提示安装软件并通过手机号注册成功并打开软件打开软件后所有内容均是空的只有一个框架预判为后台数据接口地址有误请核查,审核通过,11,2015-12-27 16:43:19
78,当前关注的用户无法自动显示,进入我关注界面无法查看关注用户即使在搜索框也无法搜索关注的用户,审核通过,12,2015-12-27 18:14:08
79,户外工具箱里的指南针手机摇晃后无任何反应,户外工具箱里的指南针手机摇晃后无任何反应户外工具箱里的指南针手机摇晃后无任何反应,审核通过,9,2015-12-27 21:41:33
80,户外工具箱里的速度检测后无任何反应,户外工具箱里的速度检测后无任何反应户外工具箱里的速度检测后无任何反应,审核通过,9,2015-12-27 21:41:33
81,在鸟人软件我中的评论打开后会出现软件已停止然后退出软件,在鸟人软件我中的评论打开后会出现软件已停止然后退出软件,审核通过,11,2015-12-27 21:41:33
82,进入注册设置密码页面密码提示为输入字母或数字但却可以输入汉字,进入注册设置密码页面密码提示为输入字母或数字但却可以输入汉字,审核通过,10,2015-12-27 22:45:50
83,进入注册输入昵称页面头顶被切割注册文字和按钮显示不全,进入注册输入昵称页面头顶被切割注册文字和按钮显示不全,审核通过,14,2015-12-27 22:45:50
84,vivox5m502注册账号后输入账号密码后应用停止无法进入应用进行测试,vivox5m502注册账号后输入账号密码后应用停止无法进入应用进行测试,审核通过,17,2015-12-27 22:45:50
85,输入手机号验证码后进入设置密码页面可以输入6个中文汉字和提示不符,输入手机号验证码后进入设置密码页面可以输入6个中文汉字和提示不符,审核通过,10,2015-12-27 23:11:36
86,进入晒户外发布页面点击时间位置天气右边的向右图标正中间位置无效果,进入晒户外发布页面点击时间位置天气右边的向右图标正中间位置无效果,审核通过,18,2015-12-27 23:11:36
87,进入我的设置页面点击出生日期页面显示有误都是黑色的图标看不清数字,小米2411进入我的设置页面点击出生日期页面显示有误都是黑色的图标看不清数字,审核通过,1,2015-12-27 23:11:36
88,进入我的设置页面点击出生日期弹出的可选择的日期不是之前设置的时间弹出的是当前的时间,进入我的设置页面点击出生日期弹出的可选择的日期不是之前设置的时间弹出的是当前的时间,审核通过,1,2015-12-27 23:11:36
89,进入我的设置页面点击居住城市弹出的选择中选中的省份无法显示,小米2411进入我的设置页面点击居住城市弹出的选择中选中的省份无法显示,审核通过,8,2015-12-27 23:11:36
90,进入户外工具箱进入指南针页面将手机横屏后页面显示变形,进入户外工具箱进入指南针页面将手机横屏后页面显示变形,审核通过,3,2015-12-27 23:11:36
91,下载安装APP后打开进入应用再进户外工具箱中的警报器点下面第三个喇叭只变颜色无任何声音反应,下载安装APP后打开进入应用再进户外工具箱中的警报器点下面第三个喇叭只变颜色无任何声音反应,审核通过,9,2015-12-28 09:47:59
92,下载安装APP后打开进入应用再进户外工具箱中的水平仪下面水平与竖直上方数字只显示一半,下载安装APP后打开进入应用再进户外工具箱中的水平仪下面水平与竖直上方数字只显示一半,审核通过,9,2015-12-28 09:47:59
93,注册完进入后整个界面无响应,注册完进入后整个界面无响应整个APP无法操作稍后提示说APP无响应再次进入仍无响应无法继续测试,审核通过,16,2015-12-28 10:02:08
94,进入注册设置密码页面可以输入中文汉字作为密码和底部提示不符,进入注册设置密码页面可以输入中文汉字作为密码和底部提示不符,审核通过,10,2015-12-28 16:31:24
