id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,切换菜谱源时提示页面找不到。,在菜谱源切换界面，切换菜谱源为“下厨房”时提示页面找不到。,审核通过,16,2016-03-22 21:45:03
2,若第一步密码输错，界面会显示输入的密码。可能会造成密码泄露问题,左上角图标-登录-输入账号密码，若密码输错或者输入少了，界面会显示刚才输入的密码，可能会造成密码泄露问题,审核通过,4,2016-03-22 21:45:27
3,无法定义个性化的个人头像,左上角-登录-头像，登录后发现头像由系统分配，无法定义个性化的头像,审核不通过,20,2016-03-22 21:45:34
4,菜品过多，很难选择到自己喜欢的菜，若查找，又不知道名字，建议做分类,今天-早餐-添加早餐，菜品明细过多，很难定义到自己喜欢的菜品，查找的话又不知道名字，建议添加合理的分类，方便查找,审核通过,5,2016-03-22 21:45:42
5,在本次测试过程中，点击菜品评论，无法进行提交操作！,在本次测试过程中，点击菜品评论，无法进行提交操作！,审核不通过,12,2016-03-22 21:45:49
6,在测试操作过程中，点击发布作品，自动转至登陆页面，返回查看登陆首页显示登陆正常,在测试操作过程中，点击发布作品，自动转至登陆页面，返回查看登陆首页显示登陆正常,审核不通过,7,2016-03-22 21:45:57
7,菜谱源切换改到豆果美食后来源一行挡着豆果美食去下载一行，下载极不方便,菜谱源切换改到豆果美食后来源一行挡着豆果美食去下载一行，下载极不方便,审核通过,9,2016-03-22 21:46:14
8,首次启动app，app闪退了。,"首次启动app，app闪退了。
小米手机3.",审核不通过,22,2016-03-22 21:46:22
9,点击菜谱评论时无法发表,手机型号：vivo x5sl 网络：wifi 操作步骤：点击主页面的+进行添加菜谱——任意选择一个菜谱——点击菜谱下方的评论——编辑后无发表选项,审核通过,25,2016-03-22 21:46:53
10,将菜谱选择分享至微博时显示找不到网页,手机型号：vivo x5sl 网络：wifi 操作步骤：点击主页面的+进行添加菜谱——任意选择一个菜谱——点击菜谱下方的分享——选择分享至新浪微博——提示找不到网页,审核通过,13,2016-03-22 21:46:56
11,登陆app，点击今天的早餐下方的“+”号，添加添加菜谱时，我们可以在“汤类”中看到“海参小米粥”，在“主食”中看到“葱油饼”，点击添加菜谱界面右上角放大镜图标搜索菜谱时，在搜索框中输入“海参”“米”“粥”，搜索不到“海参小米粥”，在搜索框中输入“葱油”却能搜索到“葱油饼”。,登陆app，点击今天的早餐下方的“+”号，添加添加菜谱时，我们可以在“汤类”中看到“海参小米粥”，在“主食”中看到“葱油饼”，点击添加菜谱界面右上角放大镜图标搜索菜谱时，在搜索框中输入“海参”“米”“粥”，搜索不到“海参小米粥”，在搜索框中输入“葱油”却能搜索到“葱油饼”。,审核通过,28,2016-03-22 21:47:04
12,登陆app，点击今天的早餐下方的“+”号，添加添加菜谱时，点击添加菜谱界面右上角放大镜图标搜索菜谱时，在搜索框中输入“海参小米粥”，搜索结果第一条正确，但是下方的其它搜索结果完全不相关。,登陆app，点击今天的早餐下方的“+”号，添加添加菜谱时，点击添加菜谱界面右上角放大镜图标搜索菜谱时，在搜索框中输入“海参小米粥”，搜索结果第一条正确，但是下方的其它搜索结果完全不相关。,审核通过,28,2016-03-22 21:47:12
13,进入软件，点早餐框里增加新菜品，继续点添加，看到已选23个菜谱，点左下角按键，点全部清空，点确定，返回首页，23个菜谱还是存在的。,进入软件，点早餐框里增加新菜品，继续点添加，看到已选23个菜谱，点左下角按键，点全部清空，点确定，返回首页，23个菜谱还是存在的。,审核通过,27,2016-03-22 21:48:27
14,进入软件，点早餐框里增加新菜品，增加一些菜品后，只能一个一个删除菜品，没办法批量删除。,进入软件，点早餐框里增加新菜品，增加一些菜品后，只能一个一个删除菜品，没办法批量删除。,审核通过,27,2016-03-22 21:48:32
15,进入软件，点上方更多，底下显示农历的日期不完整。,进入软件，点上方更多，底下显示农历的日期不完整。,审核不通过,11,2016-03-22 21:48:40
16,进入软件，点右下角食材清单，点生成截屏，提示截屏成功，查看手机和软件，都找不到截屏图片。,进入软件，点右下角食材清单，点生成截屏，提示截屏成功，查看手机和软件，都找不到截屏图片。,审核不通过,5,2016-03-22 21:48:51
17,1 登录之后：点击左上角图标，进入个人中心 / 头像或者下方用户名点击无效，无法修改头像及用户名。,1 登录之后：点击左上角图标，进入个人中心 / 头像或者下方用户名点击无效，无法修改头像及用户名。,审核不通过,20,2016-03-22 21:49:19
