id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,手机网络很好打开新页面时仍然有部分页面信息显示不全,手机网络很好打开新页面时仍然有部分页面信息显示不全如页面中图片不显示,审核通过,22,2016-01-11 18:18:46
2,进入服务详情页面点击分享后进入个人个人主页点击刚分享的内容提示该话题已被作者删除,进入服务详情页面点击分享后进入个人个人主页点击刚分享的内容提示该话题已被作者删除,审核通过,19,2016-01-11 18:36:55
3,进入活动详情页面报名后活动页面还显示报名中建议显示为已报名,进入活动详情页面报名后活动页面还显示报名中建议显示为已报名,审核通过,22,2016-01-11 18:36:55
4,点击发现热门群组选择聚创中第一个群投资人面对面群进入群组详情页后上下滑动查看联系人应用停止运行,点击发现热门群组选择聚创中第一个群投资人面对面群进入群组详情页后上下滑动查看联系人应用停止运行,审核通过,13,2016-01-11 18:36:55
5,登录界面点击微信登录无反应无任何提示未安装微信情况下,登录界面点击微信登录无反应无任何提示未安装微信情况下,审核通过,16,2016-01-11 19:19:33
6,点击发现进入创咖微课进入微课详情点击底部工具栏选项跳转到登录界面但点击登录界面的顶部返回键直接回到发现界面不能继续观看,点击发现进入创咖微课进入微课详情点击底部工具栏选项跳转到登录界面但点击登录界面的顶部返回键直接回到发现界面不能继续观看,审核通过,15,2016-01-11 19:19:33
7,社区界面内容的点赞数超过个位数时显示错误,社区界面内容的点赞数超过个位数时显示错误,审核通过,19,2016-01-11 19:19:33
8,评论文章时提示uid不能为空什么意思提示不明确,评论文章时提示uid不能为空什么意思提示不明确,审核通过,7,2016-01-11 19:19:33
9,点击个人出现登录界面点击手机的返回键则程序退出不是返回,点击个人出现登录界面点击手机的返回键则程序退出不是返回,审核通过,15,2016-01-11 19:19:33
10,app启动有长达15秒左右手机白屏然后成功进入app,下载安装app打开app手机先是白茫茫的一片然后才加载欢迎页,审核通过,10,2016-01-11 19:46:48
11,主页界面服务融资空间头条活动几个字显示不全,我的手机是中兴努比亚z7max打开原件在主页面上服务融资空间头条活动几个字显示不全重复测试依然如此,审核通过,10,2016-01-11 19:52:42
12,评论日期不显示具体时间显示的几百天之前,我的手机是中兴努比亚z7max打开原件在主页面上点击下面的社区栏目进入法务环节显示评论日期都是几百天之前没有具体的日期重复操作依然如此,审核通过,7,2016-01-11 19:52:42
13,界面栏目标题文字显示不全只显示一半,我的手机是中兴努比亚z7max打开原件在主页面下点击发现栏目会出现热门栏目人才招聘创咖微课几个标题显示一半重复操作重复出现,审核通过,21,2016-01-11 19:52:42
14,一点击百度微任务二点击移动项目测试三点击聚创下载安装打开四页面火热来袭下面服务融资空间头条服务活动均无法显示全部字体现在各种app纷纷上市有的精致精密异常而有的粗制滥造让人不忍触视,一点击百度微任务二点击移动项目测试三点击聚创下载安装打开四页面火热来袭下面服务融资空间头条服务活动均无法显示全部字体现在各种app纷纷上市有的精致精密异常而有的粗制滥造让人不忍触视,审核通过,24,2016-01-11 20:21:48
15,首次安装后打开APP白屏,首次安装后打开APP白屏又10秒左右然后才可以正常使用截图已经上次了,审核通过,9,2016-01-11 20:34:31
16,评论的时候不显示具体时间显示的却是很久之前的时间,我使用的是红米1S电信版打开APP点击主页的社区栏目进入法务环节评论之后显示评论时间是很久之前的不是刚评论的具体日期重新操作后也是这样,审核通过,7,2016-01-11 21:02:54
