id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,点击点外卖搜索不到周围的商家,打开百度外卖点击点外卖界面显示附近没有外卖餐厅我们正努力覆盖中,审核通过,32,2014-11-27 18:49:00
2,服务器断开了搜索不到附近外卖,打开应用定位了显示服务器断开了而且搜索显示附近没有外卖餐厅我们正在努力覆盖中可是附近有外卖啊,审核通过,27,2014-11-27 18:50:00
3,点外卖显示附近没有外卖餐厅,点开下面的点外卖无论选择餐厅分类销量由高到低还是福利努力加载后都显示附近没有外卖餐厅我们正在努力覆盖中,审核通过,17,2014-11-27 18:52:00
4,经常出现toast提示,随便在哪点击四五下就可以看见toast提示服务器开小差了,审核通过,24,2014-11-27 18:54:00
5,定位位置输入保定和输入BD或者直接切换城市都搜索不到,打开软件输入定位位置输入保定和输入BD或者直接切换城市都搜索不到,审核通过,16,2014-11-27 19:03:00
6,app安装后打开app连接不上网络,安装百度外卖app后打开软件点击排序销量由高到低送餐速度由快到慢起送价由低到高均出现服务器开小差连不上网络手机网络正常其他软件都可以上网,审核通过,26,2014-11-27 19:06:00
7,选择排序中由高到低时候提示服务器开小差了,打开应用选择餐厅排序由高到低提示服务器开小差了,审核通过,40,2014-11-27 19:07:00
8,附近有外卖却没显示出来,在打开点外卖时发现附近没有外卖可是这附近明明有送外卖的可能是没被此软件发现,审核通过,36,2014-11-27 19:07:00
9,在网络正常的情况下手机里的其他app均能正常使用网络却无法上网老是说服务器开小差,连接网络在网络正常的情况下下载了app但是却在体验的时候发现网络却无法使用,审核通过,14,2014-11-27 19:08:00
10,界面不好看打开应用有卡顿现在每次换页面都加载不出了还有就是软件跟本就连不上服务器希望以后会多多改进,界面不好看打开应用有卡顿现在每次换页面都加载不出了还有就是软件跟本就连不上服务器希望以后会多多改进,审核通过,2,2014-11-27 19:13:00
11,本来手机连着无线显示是网络开小差了,先用手机联网再在微任务中打开百度外卖软件一直提示服务器网络开小差可是本身手机网络状态良好,审核通过,26,2014-11-27 19:17:00
12,附件没有外卖提示服务器开小差了提示内容出错不知道算不算bug,打开应用后自动定位我也给app了权限我知道我这儿没外卖新疆克孜勒苏乌恰然后提示服务器开小差了屏幕才显示没有外卖然后我设置石家庄金刚集团公交站同样的提示我继续石家庄万达广场这次才没有提示外卖产品顺利出现,审核通过,40,2014-11-27 19:18:00
13,提示服务器开小差了,打开软件首页提示服务器开小差了但其实是附近没餐厅如果是这样那么这个提示就是不合理的,审核通过,40,2014-11-27 19:19:00
14,首先活动页面点击进入订餐页面选择上海选择大致马路就没有比如我写龙吴路就没有选肯德基也没有,首先打开软件点活动进入活动页面选上海之后选送餐地址,审核通过,11,2014-11-27 19:24:00
15,地域非常长明明不是龙吴路上的店已经在南丹东路了还要算到龙吴路上去非常远的还有名名不是龙水南路那边的店东兰路也要算到那里去,首页上面上海定位地址龙水南路或者是龙吴路出来很多店铺可是有些就是不在那条路上的比如搜龙水南路出来味捷外卖搜吉祥馄饨出来的地址是南丹东路的可是其不在龙吴路上的亚,审核通过,34,2014-11-27 19:24:00
16,需要发票的商家应该都应该有电话可是其很多都没有电话的我觉得这点应该能补全就好了有些商家就算你上面写要发票但是他们不给你你也是没办法的,点商家下单里应该补全电话需要发票的商家应该都应该有电话可是其很多都没有电话的我觉得这点应该能补全就好了有些商家就算你上面写要发票但是他们不给你你也是没办法的,审核通过,18,2014-11-27 19:24:00
17,点活动呼叫专车连接没有找不到网页,百度金蛋满天飞点活动页面呼叫专车抱歉找不到页面,审核通过,11,2014-11-27 19:24:00
18,打开首页时不能成功显示一会显示服务器开小差了提示,打开APP后或点击点外卖一会显示服务器开小差了提示,审核通过,40,2014-11-27 19:25:00
19,点击我的选项后提示获取用户头像失败400021错误信息,点击主界面右下角我的选项提示获取用户头像失败400021错误信息,审核通过,39,2014-11-27 19:25:00
20,打开点外卖一直是服务器开小差了,登录前和登陆后都是显示服务器开小差而且显示附近没外卖餐厅我这是市区喔,审核通过,21,2014-11-27 19:25:00
21,关于送餐地址南昌市青云谱区系统有选择但是后面洪都南大道237号博大耳鼻咽喉医院就要手打了关于这个地址希望可以详尽一些,输入送餐地址时候南昌市青云谱区系统有选择但是后面洪都南大道237号博大耳鼻咽喉医院就要手打了关于这个地址希望可以详尽一些,审核通过,1,2014-11-27 19:25:00
22,不能手动切换城市定位,点当前定位城市后到切换城市界面手动切换北京定位时服务器开小差,审核通过,16,2014-11-27 19:27:00
23,有bug服务器开小差了,有bug服务器开小差了在选择地址时显示服务器开小差已截图上传,审核通过,23,2014-11-27 19:30:00
24,开了gps但是定位不出来是为什么啊,开了gps但是定位不出来是为什么啊开了gps但是定位不出来是为什么啊,审核通过,34,2014-11-27 19:32:00
25,打开程序加载很慢一直在加载,安装后打开程序就一直显示加载最终只有关闭软件然后重复了几次才能使用,审核通过,37,2014-11-27 19:34:00
26,点击呼叫专车直接出现错误页面,点击进入百度金蛋满天飞百砸百中食行不愁点击呼叫专车直接出现错误页面Webpagenotavailable下面是一个网址而这个网址根本不是http开头的是baidumap开头的网址,审核通过,11,2014-11-27 19:34:00
27,自家的wifi下还加载出错几乎不联网我的网速绝对没有问题,点击订单后在接着点外卖会出现服务器开小差,审核通过,12,2014-11-27 19:35:00
28,进入APP后提示服务器开小差了但是我的网络是正常的用的路由器wifi安徽电信,用微任务下载百度外卖APP后打开APP提示服务器开小差,审核通过,26,2014-11-27 19:39:00
29,,,审核通过,-1,2014-11-27 19:41:00
