id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,打开app的时候，提示选择地理位置，如果没有选择，点左上角的返回图标，就卡在logo处 。没有反应了,打开app的时候，提示选择地理位置，如果没有选择，点左上角的返回图标，就卡在logo处 。没有反应了,审核不通过,22,2016-05-20 15:31:06
2,登录界面——点击社交站账号登录——点击qq，提示登录成功后，又返回登录界面，实际上没有登录成功。,登录界面——点击社交站账号登录——点击qq，提示登录成功后，又返回登录界面，实际上没有登录成功。,审核不通过,6,2016-05-20 15:31:16
3,点击商业街，在滚动的界面任意点击进去，里面的图片过大，导致显示不完整。,点击商业街，在滚动的界面任意点击进去，里面的图片过大，导致显示不完整。,审核不通过,5,2016-05-20 15:31:20
4,在首页中，搜索条遮住了滚动的图片，导致图片显示不完整。,在首页中，搜索条遮住了滚动的图片，导致图片显示不完整。,审核不通过,5,2016-05-20 15:31:24
5,偶尔点返回键过快，会出现崩溃现象。,偶尔点返回键过快，会出现崩溃现象。并不是每次都出现。经常出现在分享后返回的时候。,审核不通过,9,2016-05-20 15:31:28
6,手机注册填写验证码后，在注册信息填写界面里，点击用户头像选择图片时点击【从相册中选择】，选择手机里的图片时出现“截取图片失败”的提示信息，但是又可以成功保存,手机注册填写验证码后，在注册信息填写界面里，点击用户头像选择图片时点击【从相册中选择】，选择手机里的图片时出现“截取图片失败”的提示信息，但是又可以成功保存,审核不通过,18,2016-05-20 15:31:31
7,【我的】界面中的设置图标按键里，点击【字号】在选择字体大小时，选择【小】、【中】和【大】的字体，软件界面里的字体都没有发生任何改变。,【我的】界面中的设置图标按键里，点击【字号】在选择字体大小时，选择【小】、【中】和【大】的字体，软件界面里的字体都没有发生任何改变。,审核不通过,1,2016-05-20 15:31:35
8,我的界面中的设置图标按键里，点击【流量设置】在选择流量模式时，选择【图文模式】【文本模式】，软件界面里的图片都没有发生任何改变。,我的界面中的设置图标按键里，点击【流量设置】在选择流量模式时，选择【图文模式】【文本模式】，软件界面里的图片都没有发生任何改变。,审核不通过,2,2016-05-20 15:31:38
9,【我的】界面中的右上角设置图标按键里，点击【意见反馈】在写好反馈内容后在下面的【联系方式】后填写“.？”然后点击右上角的【提交】按键，软件出现“反馈已提交，感谢您的支持，我们将尽快处理。”的提示信息，没有出现关于相关联系方式格式错误的提示信息。,【我的】界面中的右上角设置图标按键里，点击【意见反馈】在写好反馈内容后在下面的【联系方式】后填写“.？”然后点击右上角的【提交】按键，软件出现“反馈已提交，感谢您的支持，我们将尽快处理。”的提示信息，没有出现关于相关联系方式格式错误的提示信息。,审核不通过,10,2016-05-20 15:31:42
10,设置中的【分享应用】无法分享到微信。,设置中的【分享应用】无法分享到微信。分享后会有一个错误提示,审核不通过,19,2016-05-20 15:31:46
11,设置中的【分享应用】无法分享到【朋友圈】。,设置中的【分享应用】无法分享到微信的【朋友圈】。会出现一个因为什么什么的错误,审核不通过,8,2016-05-20 15:31:52
12,设置中的【分享应用】点击【新浪微博】进入分享界面时出现绑定这些应用账号的相关界面，放弃分享后返回出现“绑定失败”的提示信息。,设置中的【分享应用】点击【新浪微博】进入分享界面时出现绑定这些应用账号的相关界面，放弃分享后返回出现“绑定失败”的提示信息。,审核不通过,9,2016-05-20 15:32:13
