id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,在更改位置，选择位置界面，若选择马尔康，则显示为今日阿坝,在更改位置，选择位置界面，若选择马尔康，则显示为今日阿坝,审核通过,7,2015-12-08 21:35:33
2,我的中，游戏页的点击礼包未登录提示为英文，没翻译过来吗？,我的中，游戏页的点击礼包未登录提示为英文，没翻译过来吗？,审核通过,4,2015-12-08 21:35:33
3,我的中，游戏页的点击礼包，搜索框左上的橙色半圆是什么,我的中，游戏页的点击礼包，搜索框左上的橙色半圆是什么,审核不通过,4,2015-12-08 21:35:33
4,在更改位置，选择位置界面，右边的字母vwx z未显示,在更改位置，选择位置界面，右边的字母vwx z未显示,审核不通过,7,2015-12-08 21:35:33
5,微信分享失败微信分享失败微信分享失败微信分享失败,微信分享失败微信分享失败微信分享失败微信分享失败,审核通过,3,2015-12-08 21:41:14
6,我使用的是红米1s电信版，在进入后打开新闻菜单里的健康子菜单，网页不能正常显示，刷新还还是如此,我使用的是红米1s电信版，在进入后打开新闻菜单里的健康子菜单，网页不能正常显示，刷新还还是如此,审核通过,10,2015-12-08 21:44:40
7,app-》爆料，向下滑动页面，到最下方，点击“查看更多”，既没有加载更多的内容，也没有提示已经没有更多了。这两种结果应该出现一种。,app-》爆料，向下滑动页面，到最下方，点击“查看更多”，既没有加载更多的内容，也没有提示已经没有更多了。这两种结果应该出现一种。,审核通过,6,2015-12-08 22:49:57
8,app-》爆料，在列表中，随便点一个评论，会要求登陆。但是如果进入评论内容详情页面，在点评论，就会让输入评论内容，然后才是登陆，两者体验不一致。最好是都先要求登陆，然后再评论,app-》爆料，在列表中，随便点一个评论，会要求登陆。但是如果进入评论内容详情页面，在点评论，就会让输入评论内容，然后才是登陆，两者体验不一致。最好是都先要求登陆，然后再评论,审核通过,0,2015-12-08 22:49:57
9,不登陆情况下操作：在app-》爆料页面点赞，点赞图标会变成高亮，但是点赞人数没有增加。而进入到爆料内容详情页面在点赞，就会有提示点赞成功。说明在爆料页面点赞根本没成功。,不登陆情况下操作：在app-》爆料页面点赞，点赞图标会变成高亮，但是点赞人数没有增加。而进入到爆料内容详情页面在点赞，就会有提示点赞成功。说明在爆料页面点赞根本没成功。,审核不通过,2,2015-12-08 22:49:57
10,app-》爆料，在列表中，随便点一个评论，会要求登陆。但是如果进入评论内容详情页面，在点评论，就会让输入评论内容，然后才是登陆，两者体验不一致。最好是都先要求登陆，然后再评论,app-》爆料，在列表中，随便点一个评论，会要求登陆。但是如果进入评论内容详情页面，在点评论，就会让输入评论内容，然后才是登陆，两者体验不一致。最好是都先要求登陆，然后再评论,审核不通过,0,2015-12-08 22:50:10
11,app-》爆料，向下滑动页面，到最下方，点击“查看更多”，既没有加载更多的内容，也没有提示已经没有更多了。这两种结果应该出现一种。,app-》爆料，向下滑动页面，到最下方，点击“查看更多”，既没有加载更多的内容，也没有提示已经没有更多了。这两种结果应该出现一种。,审核不通过,6,2015-12-08 22:50:10
12,不登陆情况下操作：在app-》爆料页面点赞，点赞图标会变成高亮，但是点赞人数没有增加。而进入到爆料内容详情页面在点赞，就会有提示点赞成功。说明在爆料页面点赞根本没成功。,不登陆情况下操作：在app-》爆料页面点赞，点赞图标会变成高亮，但是点赞人数没有增加。而进入到爆料内容详情页面在点赞，就会有提示点赞成功。说明在爆料页面点赞根本没成功。,审核不通过,2,2015-12-08 22:50:10
13,本地页面 点击 充流量 打开的页面为一个报错页面 http status code 404，本地页面的其他菜单点击能正常打开,"本地页面 点击 充流量 打开的页面为一个报错页面 http status code 404，本地页面的其他菜单点击能正常打开
手机型号 红米 系统 安卓4.4.4",审核通过,10,2015-12-08 23:24:42
14,在设置菜单中，开启夜间模式 选项进行使用 单开我的订单 显示无定单 但是该页未使用夜间模式 背景为白色非常刺眼，其他页面在夜间模式下浏览没有问题。,"在设置菜单中，开启夜间模式 选项进行使用 单开我的订单 显示无定单 但是该页未使用夜间模式 背景为白色非常刺眼，其他页面在夜间模式下浏览没有问题。
手机型号 红米 系统 安卓4.4.4",审核不通过,9,2015-12-08 23:24:42
15,进入软件后定位城市错误,进入软件后定位城市为合肥，其实应为北京。定位错误,审核通过,8,2015-12-08 23:28:07
16,功能性建议..加入更明细一些的判断.如:号码的前三位为131或133或135.........139.这样才为一个合格的程序.望采纳!,功能性建议..加入更明细一些的判断.如:号码的前三位为131或133或135.........139.这样才为一个合格的程序.望采纳!,审核不通过,13,2015-12-08 23:36:18
17,分享微信时按返回键提示英文,"1.成功登录app
2.点击新闻
3.任意点击推荐
4.点击分享键-点击微信-进入微信
5.按返回键，提示英文",审核通过,3,2015-12-09 00:09:24
18,断网分享微信长时间一直请稍候....,"1.成功登录app
2.点击爆料
3.点击分享键
4.断开网络-点击微信
5.提示请稍候",审核通过,3,2015-12-09 00:09:24
19,爆料里的最新爆料无法取消点赞,"1.成功登录app
2.点击爆料
3.点击已经赞的，无法取消点赞",审核通过,2,2015-12-09 00:09:24
20,点击游戏里的手游提示一串英文,"1.成功登录app  
2.点击我的
3.点击游戏
4.点击礼包-进入手游
5.提示英文",审核通过,4,2015-12-09 00:09:24
21,反馈输入全空格键提交成功,"1.成功登录app
2.点击我的
3.点击联系我们
4.点击在线反馈
5.输入全空格键
6.点击我要反馈
7.反馈成功",审核通过,13,2015-12-09 00:09:24
22,定位信息显示错误，明明在广州，但是却显示现在地址为合肥,点击当前显示的地名“合肥”后，在弹出选择的窗体，又显示当前正在定位。,审核通过,7,2015-12-09 00:13:19
23,"如图,手机不可以输入小数点,建议设定文本框中只可以输入整数且11位.","如图,手机不可以输入小数点,建议设定文本框中只可以输入整数且11位.",审核通过,13,2015-12-09 02:00:52
24,定位功能准确，但是没有办法获取本地新闻,"1、安装打开软件；
2、点击左上角的刷新按钮，期望能刷到本地新闻，一直是今日合肥，没有变
3、单击选择位置，定位城市准确，为襄阳，但是单击襄阳按钮没有反应，无法获取襄阳的新闻内容，请参见截图。",审核通过,7,2015-12-09 08:20:18
25,部分字符遮挡比较严重，而且遮挡情况不一，有的是这下半部分，有的是右半部分,"1、安装并打开软件；
2、进入爆料；
3、最新爆料的料字遮挡下半部分，热门爆料的料字会遮挡右半部分，请参见截图。
红米2、miui7、超大字号",审核不通过,12,2015-12-09 08:20:18
26,本地 里面 充流量无法打开。,本地 里面 充流量无法打开。显示为错误页面,审核通过,10,2015-12-09 08:51:11
27,进入主页后选择本地，在本地页面选择分类，进入分类页面后，页面上提示操作成功，但是不能加载信息，多次点击屏幕，重新加载，仍然加载不出来页面信息。,进入主页后选择本地，在本地页面选择分类，进入分类页面后，页面上提示操作成功，但是不能加载信息，多次点击屏幕，重新加载，仍然加载不出来页面信息。,审核通过,11,2015-12-09 08:54:47
28,进入主页后选择本地，在本地页面选择充流量，进入后页面报错，不能使用充流量功能,进入主页后选择本地，在本地页面选择充流量，进入后页面报错，不能使用充流量功能,审核通过,11,2015-12-09 08:54:47
29,"本地模块的""美团-找美食""默认定位城市非本地城市,美团已覆盖本地城市","1.打开app,点""本地""图标转入本地模块界面(见截图,app成功定位本地城市,定位城市为""铁岭生活"",手机并未限制该app使用网络和gps定位)
2.点""美团-找美食""图标,进入美团页面
3.点""全城"",展开下拉菜单,显示的区不知道是哪个城市的,但肯定不是本地
附""本地""模块截图一张,美团找美食展开全城下拉菜单截图一张

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root",审核通过,8,2015-12-09 09:18:11
30,"本地模块的""看电影""默认定位城市非本地城市,猫眼电影已覆盖本地城市","1.打开app,点""本地""图标转入本地模块界面(见截图,app成功定位本地城市,定位城市为""铁岭生活"",手机并未限制该app使用网络和gps定位)
2.点""看电影""图标,进入猫眼电影页面
3.注意默认定位城市显示为""大连"",猫眼电影已经覆盖本地城市,在城市下拉列表中已经可以找到""铁岭""
附""本地""模块截图一张,猫眼看电影默认定位大连截图一张

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root",审核不通过,8,2015-12-09 09:18:11
31,"""我的""模块中的游戏栏目,其下所有链接均无法打开,有的提示check login failed,有的一直显示加载","1.打开app,点""我的""图标进入模块.
2.点""游戏""栏目,打开游戏页面.
3.点""热门推荐""下的游戏,或""热门""标签页下的任意游戏.
4,长时间显示""别闹,加载是件正经事""(超过5分钟都是这个状态,尝试多个游戏都如此).
5.点""礼包"",""部落"",""新游"",'视频'图标,显示""check login failed"",点""新服""显示空白页面,点""会员""长时间显示加载页面
提供相关截图数张
小编你要敢说我是网络问题,那就是你脑子有问题

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root",审核通过,4,2015-12-09 09:18:12
32,"本地模块的""租房子""默认定位城市非本地城市,赶集网已覆盖本地城市","1.打开app,点""本地""图标转入本地模块界面(见截图,app成功定位本地城市,定位城市为""铁岭生活"",手机并未限制该app使用网络和gps定位)
2.点""租房子""图标,进入赶集网页面
3.注意默认定位城市显示为""合肥"",赶集网已经覆盖本地城市,在城市下拉列表中已经可以找到""铁岭""
附""本地""模块截图一张,赶集网默认定位合肥截图一张

手机环境:小米2s联通非定制机, miuiv7开发版, android_v5.0.2, 2g运行内存(测试时至少还有40%内存可用), 3g+wifi(10m或100m光纤接入), 未安装任何第三方安全类app, 未启用root",审核通过,8,2015-12-09 09:18:12
