id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,微信分享相关功能失败。,"1.点击设置
2.分享应用
3.点击微信好友，没有任何分享页面弹出
4.点击微信朋友圈，没有任何分享页面弹出",审核通过,19,2016-02-18 17:23:51
2,首页上面所有的图片都显示不全,"1.打开应用
2.页面上面所有的图片都显示不全",审核通过,34,2016-02-18 17:23:58
3,手机号可以随意设置，超过11位能设置,1、进入我；2、点击1头像，进入我的资料；3、进入我的名片；4、手机，手机号可以随意设置，超过11位能设置。（例如：12345678901234，都能保存）,审核通过,31,2016-02-18 17:24:14
4,微信分享，点击后现显示“请稍后”，又返回原来窗口。,1、选择推荐中，资源分享的酷狗音乐全新界面破解永久vip，2、分享给微信好友，点击后现显示“请稍后”，又返回原来窗口。,审核通过,27,2016-02-18 17:24:23
5,回复帖子，不能使用emoji表情回复,"操作步骤：
1、进入话题
2、输入emoji表情回复
实际结果：
提示发送失败。（见截图）",审核不通过,32,2016-02-18 17:24:34
6,首页-我-设置-分享应用-新浪微博-确定，不能分享，弹出页有提示,首页-我-设置-分享应用-新浪微博-不能分享，弹出页有提示，有截图。,审核通过,21,2016-02-18 17:24:53
7,选择藏文后，首页-我-进入页面显示不完整,选择藏文后，首页-我-进入页面显示不完整，没有文字项,审核通过,31,2016-02-18 17:25:02
8,选择藏文后提示更新弹出框选项框没有文字提示，不知道选项是神马,选择藏文后提示更新弹出框选项框没有文字提示，不知道选项是神马,审核通过,13,2016-02-18 17:25:13
9,进入app，点击左下角的推荐，进入后随便选择一个话题，点击右上角，选择分享话题，点击微信图标分享，没反应，已经上传图片,进入app，点击左下角的推荐，进入后随便选择一个话题，点击右上角，选择分享话题，点击“微信好友”图标分享，没反应，已经上传图片,审核通过,4,2016-02-18 17:25:23
10,进入app，点击左下角的推荐，进入后随便选择一个话题，点击右上角，选择分享话题，点击“微信朋友圈”图标分享，没反应，已经上传图片,进入app，点击左下角的推荐，进入后随便选择一个话题，点击右上角，选择分享话题，点击“微信朋友圈”图标分享，没反应，已经上传图片,审核不通过,4,2016-02-18 17:25:32
11,进入app，点击左下角的推荐，进入后随便选择一个话题，在“打赏”下面，点击”微信“图标，没有反应，已经上传图片,进入app，点击左下角的推荐，进入后随便选择一个话题，在“打赏”下面，点击”微信“图标，没有反应，已经上传图片,审核不通过,4,2016-02-18 17:25:41
12,进入app，点击左下角的推荐，进入后随便选择一个话题，在“打赏”下面，点击”朋友圈“图标，没有反应，已经上传图片,进入app，点击左下角的推荐，进入后随便选择一个话题，在“打赏”下面，点击”朋友圈“图标，没有反应，已经上传图片,审核不通过,4,2016-02-18 17:25:50
13,"进入app,进入发现，点击”积分商城“，菜单栏显示null，是错误的，已经上传图片","进入app,进入发现，点击”积分商城“，菜单栏显示null，是错误的，已经上传图片",审核通过,28,2016-02-18 17:25:56
14,"进入app,点击右下角，”我“，点击下面的设置，进入设置，点击分享应用，选择”微信好友“，没有反应，已经上传图片","进入app,点击右下角，”我“，点击下面的设置，进入设置，点击分享应用，选择”微信好友“，没有反应，已经上传图片",审核不通过,4,2016-02-18 17:26:03
15,"进入app,点击右下角，”我“，点击下面的设置，进入设置，点击分享应用，选择”微信朋友圈“，没有反应，已经上传图片","进入app,点击右下角，”我“，点击下面的设置，进入设置，点击分享应用，选择”微信朋友圈“，没有反应，已经上传图片",审核不通过,4,2016-02-18 17:26:12
16,"在设置中选择'藏文""会导致“我”的界面出现文字缺失现象，弹出的更新提示也无文字",在设置中，选择“藏文”，会弹出更新提示并切换文字，“我”的界面大部分文字不显示，更新提示框弹出后也没有正常显示文字。,审核通过,26,2016-02-18 17:26:31
17,在“设置”中选择”english“会弹出更新提示框，提示框不能正常显示文字。,在“设置”中选择”english“会弹出软件版本更新的提示框，但是提示框内并不能够不能正常显示文字。,审核通过,13,2016-02-18 17:26:41
18,选择更新版本，下载后显示“解析错误”。,弹出更新提示后，选择更新新版本，软件下载后，提示“解析程序包时出现错误”无法进行安装。,审核通过,13,2016-02-18 17:26:46
19,我的资料-我的名片界面，电话邮箱都有验证，qq全0可以通过保存，再次进入还是0并不能保存。家乡可以乱填。,我的资料-我的名片界面，电话邮箱都有验证，qq全0可以通过保存，再次进入还是0并不能保存。家乡可以乱填。,审核通过,35,2016-02-18 17:26:56
20,语言切换后，翻译不全，英文界面有些显示英文有些还是中文,语言切换后，翻译不全，英文界面有些显示英文有些还是中文，切换到藏文时，‘我’界面的属性字样都空白了,审核通过,30,2016-02-18 17:27:48
21,在一个频道主页里点击某一个话题，再点击话题下面的第一行即频道名会回到频道主页，多次如此操作后，点击返回键就还是在这两个页面之间往复,在一个频道主页里点击某一个话题，再点击话题下面的第一行即频道名会回到频道主页，多次如此操作后，点击返回键就还是在这两个页面之间往复,审核通过,15,2016-02-18 17:29:48
22,我-我的动态，多次点赞的动作被多次重复出现。只有一点有效赞，我的动态应该也就显示一条有效数据,我-我的动态，多次点赞的动作被多次重复出现。只有一点有效赞，我的动态应该也就显示一条有效数据,审核通过,8,2016-02-18 17:35:08
23,在一个帖子里对图片进行缩放倒置保存后，app跳回到影视论坛界面，但界面是空白的(先黑后白再提示升级)，可以左右滑动切换界面，但都是空白的。只能双击退出重启,在一个帖子里对图片进行缩放倒置保存后，app跳回到影视论坛界面，但界面是空白的(先黑后白再提示升级)，可以左右滑动切换界面，但都是空白的。只能双击退出重启，可以复现,审核通过,36,2016-02-18 17:35:12
24,频道页面里的精选页面没有点击关注的自动变成已关注,从首页，点击频道进入页面再点击精选，里面出现的的关注在没有点击的情况下，自动变成了已关注。,审核通过,2,2016-02-18 17:35:19
25,用一未注册的手机号，找回密码，点击确定时，提示验证码不为空，应该提示手机号未注册,用一未注册的手机号，找回密码，点击确定时，提示验证码不为空，应该提示手机号未注册,审核通过,25,2016-02-18 17:35:32
26,登录界面的“注册帐号”显示为灰色，位置和颜色均不明显,登录界面的“注册帐号”显示为灰色，位置和颜色均不明显,审核通过,35,2016-02-18 17:35:37
27,注册界面，在个性昵称中不输入内容时 ，点击注册按钮后，提示昵称格式错误,注册界面，在个性昵称中不输入内容时 ，点击注册按钮后，提示昵称格式错误，应该提示昵称不能为空,审核通过,18,2016-02-18 17:35:40
28,注册界面，密码输入6个1，可以成功注册，输入框中提示输入6位以上的字符，与实际情况不符,注册界面，密码输入6个1，可以成功注册，输入框中提示输入6位以上的字符，与实际情况不符,审核通过,20,2016-02-18 17:35:44
29,设置界面，多次清除图片缓存，都提示清除成功，第二次清除时，应该提示目前没有内容需要清理,设置界面，多次清除图片缓存，都提示清除成功，第二次清除时，应该提示目前没有内容需要清理,审核通过,36,2016-02-18 17:35:47
30,选择藏文后，首次进入app时，更新版本提示框中有汉字没有翻译过来,选择藏文后，首次进入app时，更新版本提示框中有汉字没有翻译过来,审核通过,13,2016-02-18 17:35:50
31,选择藏文后，界面底端的功能按钮仍显示中文,选择藏文后，界面底端的功能按钮仍显示中文,审核通过,31,2016-02-18 17:35:53
32,中文界面下，进入我的名片界面，输入名称内容时的解释有英文，建议全用中文,中文界面下，进入我的名片界面，输入名称内容时的解释有英文，建议全用中文,审核通过,7,2016-02-18 17:35:57
33,进入频道中的任意标题，发表评论时，输入两个空格后，点击发表后，提示语不准确,进入频道中的任意标题，发表评论时，输入两个空格后，点击发表后，提示语不准确,审核通过,24,2016-02-18 17:36:00
34,在app中进行了关注，评论后，查看我的动态，界面为空,在app中进行了关注，评论后，查看我的动态，界面为空,审核通过,8,2016-02-18 17:36:04
35,进入app中，任意频道进行相应内容的阅读后，在我的阅读界面，内容也为空,进入app中，任意频道进行相应内容的阅读后，在我的阅读界面，内容也为空,审核通过,10,2016-02-18 17:36:07
36,我的聊天，添加朋友，输入框中显示的是id，应该显示uid，与我的界面统一,我的聊天，添加朋友，输入框中显示的是id，应该显示uid，与我的界面统一,审核通过,14,2016-02-18 17:36:10
37,我的卡包界面，点击右上角的消息按钮，界面先提示上滑加载更多，再显示没有未读消息,我的卡包界面，点击右上角的消息按钮，界面先提示上滑加载更多，再显示没有未读消息,审核通过,36,2016-02-18 17:36:13
38,我的动态——所有动态中，各种评论、回复等状态重复显示。,点击我——我的动态——所有动态，下拉可以看到动态是重复显示的。,审核通过,8,2016-02-19 10:57:03
39,选择语言时，切换到英文，结果界面上大部分语言还是中文的。,点击我——设置——选择语言，将简体中文切换至英语，界面大部分仍是中文。,审核通过,30,2016-02-19 10:57:24
40,我的动态——所有动态中，动态信息有重复显示的，下翻时可以明显看出。,我的动态——所有动态中，动态信息有重复显示的，下翻时可以明显看出。,审核通过,8,2016-02-19 11:42:14
41,设置语言时，设置系统语言为英语，但是界面上的推荐、频道等系统语言均为简体中文。,设置语言时，设置系统语言为英语，但是界面上的推荐、频道等系统语言均为简体中文。,审核通过,30,2016-02-19 11:42:28
42,注册界面手机号输入框应只能输入数字,注册界面手机号输入框应只能输入数字，现在可输入非数字,审核通过,20,2016-02-22 12:31:35
