id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,验证码故意弄错点击确定，回馈多次提示信息；注册号后进入修改个人信息的界面还在提示注册成功。这个提示的信息显示时间可以缩短一下,验证码故意弄错点击确定，回馈多次提示信息；注册号后进入修改个人信息的界面还在提示注册成功。这个提示的信息显示时间可以缩短一下,待审核,21,2016-03-11 19:38:06
2,头像上传偶尔会失败，一张图如果不经放大选取就会上传失败，跳回到‘我的’界面，资讯界面也会受到影响,头像上传偶尔会失败，一张图如果不经放大选取就会上传失败，跳回到‘我的’界面，资讯界面也会受到影响,待审核,32,2016-03-11 19:38:06
3,在开户填写信息界面，点击银行信息会自动跳焦到qq号码输入框。,在开户填写信息界面，点击银行信息会自动跳焦到qq号码输入框。,待审核,31,2016-03-11 19:38:06
4,交易直播里在老牛深算界面收藏了一个交易，然后观察全部信号里的变化，一会全部信息号里有同步的收藏了 ，但是浮动盈亏的数据是不一样的，其他都一样,交易直播里在老牛深算界面收藏了一个交易，然后观察全部信号里的变化，一会全部信息号里有同步的收藏了 ，但是浮动盈亏的数据是不一样的，其他都一样,待审核,29,2016-03-11 19:38:06
5,以上的bug已经提交过一次，今天打开看却没了记录。图片在昨天即3月10号晚21.30左右已经提交过。这次提交时在3月11号晚19:30左右,以上的bug已经提交过一次，今天打开看却没了记录。图片在昨天即3月10号晚21.30左右已经提交过。这次提交时在3月11号晚19:30左右。怎么会清了我的提交，甚是奇怪,待审核,10,2016-03-11 19:38:06
6,注册时，发送手机验证码，收到验证码时，点击手机桌面键，看短信（此时软件应该是后台运行），记好验证码后返回软件，这时软件正在重新打开，需要重新进入注册页面，（也就是刚才软件关闭了）。软件正常使用时也存在这个问题。,注册时，发送手机验证码，收到验证码时，点击手机桌面键，看短信（此时软件应该是后台运行），记好验证码后返回软件，这时软件正在重新打开，需要重新进入注册页面，（也就是刚才软件关闭了）。软件正常使用时也存在这个问题。,审核通过,24,2016-03-11 19:38:44
7,填写开户信息点击qq号码和电子邮箱时键盘弹出又自动隐藏，无法输入信息,打开app，点击开户，选择第一个万致进行开户，点击立即开户，点击qq号码或者电子邮箱进行填写,审核通过,13,2016-03-11 19:39:29
8,手机注册成功后，登录后弹出:很抱歉，程序出现异常，即将退出。,手机注册成功后，登录后弹出:很抱歉，程序出现异常，即将退出。,审核通过,28,2016-03-11 19:39:35
9,资讯---机构观点----svsfx汇评页面错乱,打开资讯---机构观点----svsfx汇评  页面错乱,审核不通过,34,2016-03-11 19:40:25
10,关注，取消关注，反应 太慢,点击关注，取消关注，反应 太慢，约0.5秒，明显延迟,审核不通过,29,2016-03-11 19:41:17
11,安装运行app游客登陆选择开户，我要开户页面的黄金点差、最少头寸文字显示不完全,安装运行app游客登陆选择开户，我要开户页面的黄金点差、最少头寸文字显示不完全,审核通过,35,2016-03-11 19:51:41
12,安装运行app游客登陆选择历史，选择牛人中的历史记录进入后。每件商品下面四个数字显示不完全,安装运行app游客登陆选择历史，选择牛人中的历史记录进入后。每件商品下面四个数字显示不完全,审核通过,7,2016-03-11 19:52:01
13,安装运行app注册，输入相关信息第二个页面辑个人信息，帐户净值框里面的文字说明最后一个字只显示一半,安装运行app注册，输入相关信息第二个页面辑个人信息，帐户净值框里面的文字说明最后一个字只显示一半,审核不通过,21,2016-03-11 19:54:39
14,安装运行app注册，输入相关信息第二个页面辑个人信息，帐户净值下面的提示，最后一行文字显示不完全,安装运行app注册，输入相关信息第二个页面辑个人信息，帐户净值下面的提示，最后一行文字显示不完全,审核不通过,21,2016-03-11 19:54:44
15,安装运行app点找回密码，输入手机号点获取验证码，超过时间后，重新获取验证码，证码两个字跳行显示了,安装运行app点找回密码，输入手机号点获取验证码，超过时间后，重新获取验证码，证码两个字跳行显示了,审核不通过,11,2016-03-11 19:54:49
16,安装运行app登陆点开户随便选一个进入开户详情，再点立即开户，开户页面文字排版有问题,安装运行app登陆点开户随便选一个进入开户详情，再点立即开户，开户页面文字排版有问题,审核不通过,35,2016-03-11 19:54:54
17,安装运行app登陆资讯选外汇学院第一个图片进入，教学视频的第一课与视频文字显示不完全,安装运行app登陆资讯选外汇学院第一个图片进入，教学视频的第一课与视频文字显示不完全,审核不通过,33,2016-03-11 19:54:58
18,安装运行app登陆资讯选外汇学院第一个图片进入，选择教学视频的第一课进入后，中间的文字缺失,安装运行app登陆资讯选外汇学院第一个图片进入，选择教学视频的第一课进入后，中间的文字缺失,审核不通过,33,2016-03-11 19:55:02
19,app提示更新后，下载更新安装包后无法正常安装,我使用的是红米1s电信版，打开app，软件提示更新，下载更新安装包后无法正常安装,审核通过,30,2016-03-11 19:55:39
20,"注册页面登录按纽的录字错误,登陆应改为登录","进入注册页面,查看页面右上角显示为登陆按纽,应改为登",审核通过,17,2016-03-13 20:56:14
21,"外汇学院里视频无法全屏播放,点击全屏按纽无响应","进入资讯-外汇学院,点击任意图片进入详情,点击视频播放,播放时点击全屏按纽无响应",审核通过,15,2016-03-13 20:56:34
22,"应用宝下载页面,官方与下载文字重叠","进入资讯页面,选择一条机构观点进入查看详情,点击底部的二维码时入下载app页面,官方与下载文字显示重叠",审核通过,34,2016-03-13 20:56:39
23,进入关于大帮汇页面点击软件更新app出现闪退,进入关于大帮汇页面点击软件更新app出现闪退,审核通过,14,2016-03-13 20:56:45
24,"进入关于大帮汇页面查看用户协议,内容显示为空","进入关于大帮汇页面查看用户协议,内容显示为空",审核通过,26,2016-03-13 20:56:50
25,"编辑个人信息页面,输入昵称后,点击完成按纽无响应","成功注册账号后,进入个人信息编辑页面,输入昵称后,点击完成无响应",审核通过,16,2016-03-13 20:56:55
26,"注册时编辑个人信息页面,账户净值输入句号点击完成,程序崩溃异常退出","注册时成功进入编辑个人信息页面,账户净值输入句号点击完成,程序崩溃异常退出",审核通过,16,2016-03-13 20:57:01
27,"退出登录后发现新版本提示仍在桌面显示,没有关闭","进入登录页面后,这时弹出更新提示,点击手机返回键退出app后,更新提示没有被关闭",审核通过,30,2016-03-13 20:57:07
