id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,设置--最上端的天气--看到右上方写了个81，但是这个81是pm2.5中算高还是低，没有说明,设置--最上端的天气--看到右上方写了个81，但是这个81是pm2.5中算高还是低，没有说明,审核不通过,22,2016-02-17 11:57:39
2,湿度和紫外线的右边写了一个中等，是指湿度中等还是紫外线中等，不明确,湿度和紫外线的右边写了一个中等，是指湿度中等还是紫外线中等，不明确,审核不通过,22,2016-02-17 11:57:47
3,关于我们项的布局错乱。,打开软件-往左扒，点关于我们，里面文字最后2行，技术支持，支持2个字前面的空格太多，影响整个布局。,审核不通过,31,2016-02-17 12:54:04
4,科技聚焦中的图片全部无法加载。,选择“科技聚焦”模块，所有的每日知识图片均无法加载。,审核通过,23,2016-02-17 13:11:00
5,点击“给我们评分”，无法评分。,主页点击头像进入个人中心，点击“给我们评分”，弹出百度手机助手和谷歌商店，点击这两个选项均无法评分。,审核通过,21,2016-02-17 13:11:13
6,pm2.5显示的数字有差异。,点击进入天气，圆圈里pm2.5显示是77，下方详细数据却显示56.,审核通过,22,2016-02-17 13:11:23
7,分享功能实在是悲剧，谁用这两个分享,分享功能实在是悲剧，谁用这两个分享。还是加qq，微博，微信分享吧。,审核不通过,13,2016-02-17 20:40:35
8,软件邮箱有时不能注册。,打开软件，点个人图标-点登录-点立即注册-选邮箱注册。填写完邮箱和密码后点注册，显示推送号错误。,审核通过,9,2016-02-17 20:41:12
9,进入页面首页点击重新加载时提示“签名认证错误”,进入页面首页点击重新加载时提示“签名认证错误”,审核通过,3,2016-02-17 20:41:54
10,app首页点击手机返回键退出后提示程序停止运行；系统崩溃,app首页点击手机返回键退出后提示程序停止运行；系统崩溃,审核通过,29,2016-02-17 20:46:20
11,图片加载不出时，不是稍等片刻而是一直没有图片,图片加载不出时，不是稍等片刻而是一直没有图片，2张截图左上角的时间都过了1分钟多了，其实不止1分钟。一直没图片,审核通过,28,2016-02-17 23:06:07
