id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,第六步点击搜索出现百度贴吧字样,第六步点击搜索出现百度贴吧字样而且刷新不出来没有弹出键盘,审核通过,13,2014-12-08 18:32:56
2,测试背景的时候一开始是红色立马就变成了蓝色无论是重新激活layer按钮还是传递dom效果和演示的都不一样而且后面一测试就容易死机,按照演示的步骤来的点击测试背景颜色新页面背景为红色返回然后点击重新激活layer按钮点击传递dom后面的都是一样的,审核通过,15,2014-12-08 18:49:35
3,点搜索按钮后没有自动弹出键盘,点搜索按钮后没有自动弹出键盘这个是bug吧,审核通过,22,2014-12-08 18:53:01
4,第六步键盘自动弹出后自动消失,操作到第六步点击搜索按钮后加载进入界面后弹出的额键盘自动收起了在没有按退出按钮的情况下,审核通过,22,2014-12-08 18:59:09
5,返回到文库主页点击主页右上角的搜索没有弹出键盘转到百度贴吧了,第六步骤返回到文库主页点击主页右上角的搜索没有自动弹出键盘转到百度贴吧了,审核通过,2,2014-12-08 19:05:11
6,点击onhide会直接跳转到layer的页面点击返回按钮才会显示弹出框,点击onhide会直接跳转到layer的页面点击返回按钮才会显示弹出框,审核通过,15,2014-12-08 19:11:15
7,第6步点击搜索没有弹出键盘下面为空白,第6步点击搜索没有弹出键盘下面为空白,审核通过,19,2014-12-08 19:11:15
8,返回到文库主页点击主页右上角的搜索不会自动弹出键盘,返回到文库主页点击主页右上角的搜索不会自动弹出键盘需要再次点击输入框才会弹出键盘,审核通过,2,2014-12-08 19:13:11
9,测试loading图标时一直显示loading,测试loading图标时一直显示loading,审核通过,6,2014-12-08 19:21:32
10,测试loading图标刷新后弹出新内容字符但是页面中间有loding字符一直不消失,测试loading图标刷新后弹出新内容字符但是页面中间有loding字符一直不消失,审核通过,6,2014-12-08 19:26:48
11,点击显示键盘无键盘弹出无数字串,点击显示键盘无键盘弹出无数字串点击文本框有键盘弹出,审核通过,9,2014-12-08 19:31:26
