id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,个人中心-拍照上传，拍照后，点击对号，个人头像并没有替换为所拍的照片,个人中心-拍照上传，拍照后，点击对号，个人头像并没有替换为所拍的照片,审核不通过,13,2015-12-25 13:45:56
2,个人中心，切换账号。选择绑定手机号，app一直是正在绑定手机号，请稍后,个人中心，切换账号。选择绑定手机号，app一直是正在绑定手机号，请稍后,审核通过,3,2015-12-25 13:46:52
3,商城页面，选择3000元宝，提示没有更多支付方式了。,商城页面，选择3000元宝，提示没有更多支付方式了。,审核通过,4,2015-12-25 13:49:31
4,在线咨询客服自动回复后发消息无人回应,"1打开app
2成功进入页面——点击在线咨询客服",审核通过,8,2015-12-25 13:52:58
5,系统设置里的振动开关无效,系统设置里的振动开关无效，打开和关闭都没有振动效果,审核通过,1,2015-12-25 13:54:23
6,软件有问题，会自动对外发短信,软件有扣费陷阱，打开后自动对外发了条短信，不知会不会扣费,审核不通过,15,2015-12-25 13:54:59
7,男女头像有选择，但和下面的男女符号的标志不匹配哦,男女头像有选择，但和下面的男女符号的标志不匹配，不能系统自定义，男生头像就是男生符号吗,审核通过,9,2015-12-25 13:56:06
8,看不到游戏更新版本的按钮,看不到游戏更新版本的按钮。。。。。。。。。。。。。。,审核不通过,13,2015-12-25 13:56:15
9,进入游戏界面后，界面一直显示：亲，你的牌有牛哦！  在有些情景下显示是可以的，但是一直显示，不管你有没有牛，重要的是退出发牌界面还是有显示。,进入游戏界面后，界面一直显示：亲，你的牌有牛哦！  在有些情景下显示是可以的，但是一直显示，不管你有没有牛，重要的是退出发牌界面还是有显示。,审核通过,5,2015-12-25 13:56:51
10,在某个‘房间’玩游戏时，点击左上角的的向下箭头，点击最下的刷洗，直接退出了房间。退出后的界面还存留原先几个玩家的金币数。,在某个‘房间’玩游戏时，点击左上角的的向下箭头，点击最下的刷洗，直接退出了房间。退出后的界面还存留原先几个玩家的金币数。,审核不通过,12,2015-12-25 14:51:53
11,点击左上角的头像，弹出个人中心，点击系统头像，这里跳出的界面的关闭按钮应该也放在右上角，适应用户一贯的点击习惯；另外保留一张用户自己传的照片放在最后，以增强用户体验，用户用了系统照片还能方便得改回自己上传的照片。,点击左上角的头像，弹出个人中心，点击系统头像，这里跳出的界面的关闭按钮应该也放在右上角，适应用户一贯的点击习惯；另外保留一张用户自己传的照片放在最后，以增强用户体验，用户用了系统照片还能方便得改回自己上传的照片。,审核通过,9,2015-12-25 15:00:40
12,用户反馈的第二个在线联系，输入多个问题后，有概率显示不了 最上面的蓝色标题栏(本来是有的)，点击系统的返回按钮，输入框里跳出刚刚输入的内容，这里应该直接返回到游戏主界面。,用户反馈的第二个在线联系，输入多个问题后，有概率显示不了 最上面的蓝色标题栏(本来是有的)，点击系统的返回按钮，输入框里跳出刚刚输入的内容，这里应该直接返回到游戏主界面。,审核通过,11,2015-12-25 15:02:05
13,进入游戏界面后，界面一直显示：亲，你的牌有牛哦！  在有些情景下显示是可以的，但是一直显示，不管你有没有牛，重要的是退出发牌界面还是有显示。,进入游戏界面后，界面一直显示：亲，你的牌有牛哦！  在有些情景下显示是可以的，但是一直显示，不管你有没有牛，重要的是退出发牌界面还是有显示。,审核通过,5,2015-12-25 15:08:20
14,在某个‘房间’玩游戏时，点击左上角的的向下箭头，点击最下的刷洗，直接退出了房间。退出后的界面还存留原先几个玩家的金币数。,在某个‘房间’玩游戏时，点击左上角的的向下箭头，点击最下的刷洗，直接退出了房间。退出后的界面还存留原先几个玩家的金币数。,审核不通过,12,2015-12-25 15:08:34
15,点击左上角的头像，弹出个人中心，点击系统头像，这里跳出的界面的关闭按钮应该也放在右上角，适应用户一贯的点击习惯；另外保留一张用户自己传的照片放在最后，以增强用户体验，用户用了系统照片还能方便得改回自己上传的照片。,点击左上角的头像，弹出个人中心，点击系统头像，这里跳出的界面的关闭按钮应该也放在右上角，适应用户一贯的点击习惯；另外保留一张用户自己传的照片放在最后，以增强用户体验，用户用了系统照片还能方便得改回自己上传的照片。,审核不通过,9,2015-12-25 15:09:28
16,用户反馈的第二个在线联系，输入多个问题后，有概率显示不了 最上面的蓝色标题栏(本来是有的)，点击系统的返回按钮，输入框里跳出刚刚输入的内容，这里应该直接返回到游戏主界面。,用户反馈的第二个在线联系，输入多个问题后，有概率显示不了 最上面的蓝色标题栏(本来是有的)，点击系统的返回按钮，输入框里跳出刚刚输入的内容，这里应该直接返回到游戏主界面。,审核不通过,11,2015-12-25 15:09:38
17,"进入app后不能连接服务器,系统是4.0.4","进入app后不能连接服务器,系统是4.0.4",审核不通过,9,2015-12-25 15:09:52
18,最基础的游戏说明都没有对于初次玩游戏的用户不方便,游戏说明或者帮助没有，初次玩游戏的用户不方便,审核通过,12,2015-12-25 15:10:11
19,1.安装后，安全软件直接拦截发送恶意扣费信息的短信,1.安装后，安全软件直接拦截发送恶意扣费信息的短信,审核通过,15,2015-12-25 15:10:35
20,软件的帮助界面建议更改背景色，与软件颜色统一，帮助中心的界面跳出后感觉很突兀,软件的帮助界面建议更改背景色，与软件颜色统一，帮助中心的界面跳出后感觉很突兀,审核通过,5,2015-12-25 15:11:17
21,程序闪退 打开以后既闪退 不过闪退的速度比较快 来不及截图到闪退的页面了,程序闪退 打开以后既闪退 不过闪退的速度比较快 来不及截图到闪退的页面了,审核通过,7,2015-12-25 15:11:46
22,打开app，直接弹出停止运行对话框,打开app后，大概3秒后自动关闭，弹出对话框，提示:很抱歉，hjdn已停止运行。,审核通过,7,2015-12-25 15:12:05
23,打开软件后，进入游戏界面，跳出无反应界面，然后手机死机，只有游戏音乐声，其他无反应,打开软件后，进入游戏界面，跳出无反应界面，然后手机死机，只有游戏音乐声，其他无反应，手机网络良好。最后只能拔掉电池，重新开机,审核通过,17,2015-12-25 15:13:24
24,连个游戏介绍都看不到，根本不知道怎么玩，连个游戏介绍都看不到，根本不知道怎么玩,连个游戏介绍都看不到，根本不知道怎么玩，连个游戏介绍都看不到，根本不知道怎么玩,审核通过,12,2015-12-25 15:13:49
25,游戏开始之后，什么都没点就游戏结束了。。。也没什么说明,游戏开始之后，什么都没点就游戏结束了。。。也没什么说明,审核不通过,16,2015-12-25 15:14:09
26,一局结束后会自动又开始了，没有确定呀。,一局结束后会自动又开始了，没有确定呀。，测试手机红米note,审核不通过,16,2015-12-25 15:14:30
27,打开app，在游戏正常的运行中点击宝箱图标无反应,打开app，在游戏正常的运行中点击宝箱图标无反应,审核通过,17,2015-12-25 15:14:59
28,点击左上角的的头像----进入个人中心----选择系统头像----左上角的返回不明显，容易被右侧的个人中心底层的红叉误导，点击不动,点击左上角的的头像----进入个人中心----选择系统头像----左上角的返回不明显，容易被右侧的个人中心底层的红叉误导，点击不动,审核不通过,10,2015-12-25 15:15:37
29,游戏联网有时候不稳定，会自动重连，会有一个确定、取消的提示，实际没有，自动重连后，又会提示领取800游戏豆，但是在800豆其实早已领取了。,游戏联网有时候不稳定，会自动重连，会有一个确定、取消的提示，实际没有，自动重连后，又会提示领取800游戏豆，但是在800豆其实早已领取了。,审核通过,14,2015-12-25 15:16:20
30,绑定手机号界面，无法输入手机号,打开app，点角色头像，切换账户，绑定手机号界面，无法输入手机号,审核通过,3,2015-12-25 15:17:31
31,活动中心页面：标题活动中心太靠下，没有居中，返回按钮太大,"机型：魅族mx4 pro
android版本：5.0.1
网络：wifi
操作步骤：
1、进入首页，点击底部活动
2、进入活动中心页，查看界面显示：标题活动中心太靠下，没有居中，返回按钮太大",审核不通过,10,2015-12-25 15:20:01
32,首次进入弹出奖励弹窗，第二个tab登录奖励与右下角连续登录天数，领取2倍登录奖励的“录”不一致,"机型：魅族mx4 pro
android版本：5.0.1
网络：wifi
操作步骤：
1、首次进入弹出奖励弹窗
2、点击第二个tab登录奖励，查看界面显示：登录奖励与右下角连续登录天数，领取2倍登录奖励的“录”不一致",审核通过,2,2015-12-25 15:20:15
33,首次进入弹出奖励弹窗，第三个tab充值奖励与第一个首充的“充”不一致,"机型：魅族mx4 pro
android版本：5.0.1
网络：wifi
操作步骤：
1、首次进入弹出奖励弹窗
2、点击第三个tab充值奖励，查看界面显示：充值奖励与第一个首充的“充”不一致",审核不通过,2,2015-12-25 15:20:24
34,进入个人中心，选择系统头像，勾选第一排的头像，选中的对勾被遮挡一半,"机型：魅族mx4 pro
android版本：5.0.1
网络：wifi
操作步骤：
1、进入首页，点击右上角头像
2、进入个人中心，选择系统头像
3、勾选第一排头像，对勾被遮挡一半",审核通过,10,2015-12-25 15:21:08
