id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,默认定位南京重新定位失败,打开APP点击左上角南京进入定位显示定位失败重新定位显示定位失败,审核通过,3,2015-12-18 21:20:57
2,点击搜索输入盛世华安点搜索新房如果在位置那点正定就没有房源,打开APP点击搜索输入盛世华安点击搜索新房在位置区域那点正定显示没有房源可盛世华安在正定县正定镇中,审核通过,14,2015-12-18 21:20:57
3,打开APP点击搜索输入盛世华安点击搜索新房在位置区域那点提示定位失败,打开APP点击搜索输入盛世华安点击搜索新房在位置区域那点附近1KM提示定位失败,审核通过,14,2015-12-18 21:20:57
4,退出登录APP搜索房源在位置那开始还有附近等出了结果就没附近选项了,登录APP搜索输入盛世华安点击搜索房源在位置那可以有附近选项等出了结果就没附近选项了只有退出APP再搜索才有附近选项,审核通过,14,2015-12-18 21:20:57
5,定位后房源显示信息应该以定位的附近开始这样会方便很多,定位后房源显示信息应该以定位的附近开始这样会方便很多,审核通过,3,2015-12-18 21:21:36
6,无法登陆开始是说我验证码错误重新申请验证码后又说已经注册然后我就登陆的还网络不畅通,无法登陆开始是说我验证码错误重新申请验证码后又说已经注册然后我就登陆的还网络不畅通,审核通过,12,2015-12-18 21:47:44
7,注册成功点击登陆输入正确密码提示网络问题出入错误密码提示密码错误,注册成功点击登陆输入正确密码提示网络问题出入错误密码提示密码错误,审核通过,1,2015-12-18 21:51:31
8,注册成功提示操作失败,注册提示操作失败再次操作提示该账号已经注册实际注册成功红米NOTEMIUI7WIFI,审核通过,6,2015-12-18 21:52:40
9,无法正常登录APP操作,注册后在登录界面点击登录显示网络不太畅通请刷新重试此BUG永久出现,审核通过,9,2015-12-18 21:52:40
10,使用手机注册后重新输入手机号码登陆使用wifi和数据网络均提示网络不太畅通请刷新重试,使用手机注册后重新输入手机号码登陆使用wifi和数据网络均提示网络不太畅通请刷新重试无法登陆返回首页打开其他页面可以正常联网,审核通过,2,2015-12-18 21:55:09
11,软件注册后无法登陆,本人手机魅蓝note1电信版安卓版本444网络环境50M电信光纤网络畅通在注册页面可以连接软件后台发送验证码输入验证码后提示注册失败不知道为什么再次获取验证码再次输入进行注册却提示该手机号码已注册那我就用手机号码登录了结果提示网络不太畅通请刷新重试网络不可能不畅通啊不知道出什么问题了,审核通过,6,2015-12-18 22:02:09
12,进入积分商城出现APP停止运行,进入积分商城出现APP停止运行华为P6安卓44wifi,审核通过,7,2015-12-18 22:03:07
13,注册验证码延迟无法注册,注册验证码延迟无法注册注册验证码延迟无法注册华为4XWIFI,审核通过,12,2015-12-18 22:08:04
14,无法登陆显示网络不顺畅,无法登陆显示网络不顺畅无法登陆显示网络不顺畅华为4XWIFI移动网络4G,审核通过,2,2015-12-18 22:08:04
15,注册后无法登录提示网络异常但是我的手机网络没有问题,注册后登录提示网络异常连续多次登录不成功但是app页面可以正常显示说明网络没有问题应该是登录页面的问题,审核通过,9,2015-12-18 22:09:28
16,定位显示的是天津但进入主界面显示的确是南京需在定位界面选择一下天津进入主界面时才正常,1在定位界面显示的是天津但进入主界面显示的确是南京2需要在定位界面选择一下天津进入的主界面才是天津,审核通过,15,2015-12-18 22:38:10
17,注册界面输入正确的手机号和验证码后提示注册失败,注册界面输入正确的手机号和验证码后提示注册失败再次点击注册时提示验证码过期或错误但时间倒数还没有完,审核通过,12,2015-12-18 22:38:10
18,输入手机号之后可以接收到验证码输入验证码和密码之后注册提示操作失败再次尝试注册却又提示我的手机号已经被注册试图用手机号和密码登录时却反复提示网络不太通常请稍候再试但此时我手机网络是非常顺畅的看电视剧下载BT任务均速能超过1MS浏览网页刷支付宝等也没有任何问题,输入手机号之后可以接收到验证码输入验证码和密码之后注册提示操作失败再次尝试注册却又提示我的手机号已经被注册试图用手机号和密码登录时却反复提示网络不太通常请稍候再试但此时我手机网络是非常顺畅的看电视剧下载BT任务均速能超过1MS浏览网页刷支付宝等也没有任何问题重启手机再次尝试无效测试手机为三星i739使用的网络为长沙电信,审核通过,12,2015-12-18 22:43:18
