id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,海外保险一栏的内容点击无响应,环境：红米手机2 miui7 6.2.25 wifi/3g/4g  打开app——点击底部“产品”——点击顶部“海外保险”——点击里面的内容无响应,审核通过,52,2016-02-29 18:40:12
2,个人中心上传头像过程中app停止运行，而后返回个人中心，无法上传个人头像,环境：红米手机2 miui7 6.2.25 wifi/3g/4g ，打开app——个人中心——点击空白头像——进入账号信息——点击头像——选择图库上传个人头像，app停止运行，返回个人中心,审核通过,14,2016-02-29 18:40:18
3,单击任何一个理财产品，加载时间过长，甚至无法显示，需点击一下屏幕才会显示详情,在首页，单击任何一个理财产品，加载时间过长，甚至无法显示，需点击一下屏幕才会显示详情,审核通过,53,2016-02-29 18:40:24
4,在重置密码界面上，输入新密码上只有一个。,在重置密码界面上，输入新密码上只有一个。建议添加个再次输入新密码功能，以防用户错误输入密码,审核通过,9,2016-02-29 18:40:29
5,新用户注册时，输入手机号后不停点击获取验证码后，会有多个倒计时同时进行。,首页－左上角菜单－立即登录－新用户注册－输入手机号后，不停点击获取验证码，会有多个倒计时同时进行。华为4x，安卓6.0，wifi网络。,审核通过,36,2016-02-29 18:40:35
6,注册时，输入错误的邀请码未提示。,首页－左上角菜单－立即登录－新用户注册，输入错误的邀请码未提示。华为4x，安卓6.0，wifi网络。,审核通过,15,2016-02-29 18:40:40
7,意见反馈中，当文字输入到最后一行时，与“您还可以输入**个字”重叠。,在个人中心－关于－意见反馈－当文字输入到最后一行时，与“您还可以输入**个字”重叠。,审核通过,17,2016-02-29 18:40:44
8,首页顶部图片轮播，点击无反应，没有详情链接。,首页顶部图片轮播，点击无反应，没有详情链接。,审核通过,31,2016-02-29 18:40:49
9,发现栏目内，顶部新闻资讯、信息披露，文字下半部被遮挡。,发现栏目内，顶部新闻资讯、信息披露，文字下半部被遮挡。,审核通过,44,2016-02-29 18:40:53
10,无法注册，获取验证码后，输入密码，点击提交，无反应。,无法注册，获取验证码后，输入密码，点击提交，无反应。,审核通过,36,2016-02-29 18:40:57
11,产品栏目内，右上角搜索，输入关键字后，无法搜索。,产品栏目内，右上角搜索，输入关键字后，无法搜索。,审核通过,25,2016-02-29 18:41:02
12,点击首页  上面的新产品  点击 海外保险  点击小图片进入不了,"点击首页  上面的新产品  点击 海外保险  点击小图片进入不了
这个可能没有加上链接的原因",审核通过,52,2016-02-29 18:41:09
13,产品栏目内，点击股权，无内容，一片空白。,产品栏目内，点击股权，无内容，一片空白。,审核通过,41,2016-02-29 18:41:14
14,"公告详情页面,""中江国际.金马351号遂宁市物流港凉水井棚户区...""的最后边,时间分为了两行显示,ui界面错误","公告详情页面,""中江国际.金马351号遂宁市物流港凉水井棚户区...""的最后边,时间分为了两行显示,ui界面错误",审核通过,53,2016-02-29 18:41:56
15,"进入""客户管理'页面,当没有任何内容时,只显示空白页面,没有任何的文字提示","进入""客户管理'页面,当没有任何内容时,只显示空白页面,没有任何的文字提示",审核通过,27,2016-02-29 18:42:03
16,"光大信托-鼎鑫2号，点击加号,预览材料，第二项材料显示为乱码。","光大信托-鼎鑫2号，点击加号,预览材料，第二项材料显示为乱码。",审核通过,18,2016-02-29 18:42:09
17,点击交易，个人中心，我的收藏，无法进入，一直提示“很抱歉，自由理财师已停止运行。”这个手机软件无法截屏，用另外一个手机拍的照片，但没法上传。多次测试，可以复现的。,点击交易，个人中心，我的收藏，无法进入，一直提示“很抱歉，自由理财师已停止运行。”这个手机软件无法截屏，用另外一个手机拍的照片，但没法上传。多次测试，可以复现的。,审核通过,14,2016-02-29 18:42:14
18,"进入""报单管理'页面,当没有任何内容时,只显示空白页面,没有任何的文字提示","进入""报单管理'页面,当没有任何内容时,只显示空白页面,没有任何的文字提示",审核通过,27,2016-02-29 18:42:19
19,"进入""存续管理'页面,当没有任何内容时,只显示空白页面,没有任何的文字提示","进入""存续管理'页面,当没有任何内容时,只显示空白页面,没有任何的文字提示",审核通过,27,2016-02-29 18:42:25
20,"进入""预约管理'页面,当没有任何内容时,只显示空白页面,没有任何的文字提示","进入""预约管理'页面,当没有任何内容时,只显示空白页面,没有任何的文字提示",审核通过,27,2016-02-29 18:42:31
