id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,点击头像无反应，无法更改头像,"1.进入软件
2.点击账户
3.点击头像，无反应
4.点击账户信息进入
5.点击头像无反应",审核通过,17,2016-05-28 14:37:46
2,投资详情页微信分享失败,投资详情页点微信好友分享，提示后台运行，然后就没有任务反应了。,审核通过,10,2016-05-28 14:37:54
3,注册协议打开是空白页面,打开软件，点击账户，点击我要注册，点击注册协议，,审核通过,2,2016-05-28 14:37:59
4,绑定的手机号无法显示,注册登录后点击账户，点击账户账户信息，查看手机号码,审核通过,11,2016-05-28 14:38:03
5,微信和朋友圈无法分享，提示在后台进行，实际没有分享。，,注册登录后，点击投资，点击任意散标，点击分享，点击微信或者朋友圈，提示,审核通过,14,2016-05-28 14:38:12
6,手势密码存在漏洞，，,注册登录后，点击更多设置手势解锁，点击主页返回桌面，再次点击软件图标，显示手势解锁界面，点击返回即可进入软件，无需点击手势。,审核通过,0,2016-05-28 14:38:26
7,手势密码无需验证即可修改。,登录后，更多设置手势密码，点击账户，账户信息，修改手势密码,审核通过,0,2016-05-28 14:38:33
8,在投标详情页点右上角图标分享，分享至微信或朋友圈均出现闪屏，并不能打开分享页面，分享失败。,在投标详情页点右上角图标分享，分享至微信或朋友圈均出现闪屏，并不能打开分享页面，分享失败。,审核通过,10,2016-05-28 14:38:41
9,注册-输入电话号码显示非法，无法注册哦,注册-输入电话号码显示非法，无法注册哦        。,审核通过,4,2016-05-28 14:38:58
10,注册-注册协议，打开是白板，看不到协议,注册-注册协议，打开是白板，看不到协议        。,审核通过,2,2016-05-28 14:39:02
11,关于我们-看到的app的联系电话号码88888888，但是是空号，打不通,关于我们-看到的app的联系电话号码88888888，但是是空号，打不通,审核不通过,4,2016-05-28 14:39:15
12,选择任意投标详情后点击分享，点击两次分享后分享提示框消失,"1.启动客户端，正常输入用户账号和密码登录成功；
2.进入到主页，点击立即投资，进入投标详情界面；
3.点击右上角的分享按钮，点击两次分享后分享提示框消失",审核通过,10,2016-05-28 14:39:20
13,点击主页上方的图片，显示出来一个“3”的界面！,点击主页上方的图片，显示出来一个“3”的界面！手机型号魅蓝2 。,审核通过,7,2016-05-28 14:39:31
14,点击主页上方的图片，显示出来一个“2”的界面！,点击主页上方的图片，显示出来一个“2”的界面！手机型号魅蓝2 。,审核不通过,7,2016-05-28 14:39:43
15,点击头像无反应，无法更改头像,点击头像无反应，无法更改头像..............,审核通过,17,2016-05-28 14:39:47
16,投资详情页微信分享失败,投资详情页微信分享失败............,审核通过,10,2016-05-28 14:39:50
17,绑定的手机号无法显示,绑定的手机号无法显示........................,审核通过,11,2016-05-28 14:39:53
18,手势密码无需验证即可修改。,手势密码无需验证即可修改。................,审核通过,0,2016-05-28 14:39:57
19,注册-输入电话号码显示非法，无法注册哦,注册-输入电话号码显示非法，无法注册哦.................,审核通过,4,2016-05-28 14:40:00
20,注册-注册协议，打开是白板，看不到协议,注册-注册协议，打开是白板，看不到协议.................,审核通过,2,2016-05-28 14:40:03
21,关于我们-看到的app的联系电话号码88888888，但是是空号，打不通,关于我们-看到的app的联系电话号码88888888，但是是空号，打不通,审核通过,4,2016-05-28 14:40:06
22,1.注册 - 用户名为空，提示是请输入账号 不准确。,1.注册 - 用户名为空，提示是请输入账号 不准确。,审核不通过,3,2016-05-30 10:39:50
23,3.注册 - 验证码随意输入 - 都可以成功提交注册。（已经注册成功不能再进入注册界面截图了）,3.注册 - 验证码随意输入 - 都可以成功提交注册。（已经注册成功不能再进入注册界面截图了）,审核通过,9,2016-05-30 10:40:06
24,4.登录页，使用找回密码功能，输入刚注册账号使用的两个手机号后，均提示找不到我填写的用户。,4.登录页，使用找回密码功能，输入刚注册账号使用的两个手机号后，均提示找不到我填写的用户。,审核通过,3,2016-05-30 10:40:37
25,2.输入其他信息，输入信息如图所示，提交时弹出如图提示，不知道到底是指哪里输入有问题,2.输入其他信息，输入信息如图所示，提交时弹出如图提示，不知道到底是指哪里输入有问题,审核不通过,20,2016-05-30 11:07:40
26,6.登录 - 账户 - 充值 - 进入后 左上角的返回按钮点击无响应,6.登录 - 账户 - 充值 - 进入后 左上角的返回按钮点击无响应,审核通过,21,2016-05-30 11:07:50
27,8. 账户信息 - vip申请 - 提交申请后提示等待审核，但是返回上页后该项仍然显示未申请。但上面的实名认证在提交审核后显示变成了审核中,8. 账户信息 - vip申请 - 提交申请后提示等待审核，但是返回上页后该项仍然显示未申请。但上面的实名认证在提交审核后显示变成了审核中,审核通过,16,2016-05-30 11:08:00
28,7.登录 - 账户 - 账户信息  - 头像处点击无响应 无法更改头像,7.登录 - 账户 - 账户信息  - 头像处点击无响应 无法更改头像,审核不通过,17,2016-05-30 11:08:06
29,9.已登录状态下退出应用后，再进入，在选择了记住密码的情况下 也不能自动登录。需要自己点一下登录键,9.已登录状态下退出应用后，再进入，在选择了记住密码的情况下 也不能自动登录。需要自己点一下登录键,审核不通过,21,2016-05-30 11:08:12
30,10.账户信息 - 修改手势密码 - 修改登录密码和交易密码时，都需要输入原密码，但是修改手势密码时为何可以直接设置新密码,10.账户信息 - 修改手势密码 - 修改登录密码和交易密码时，都需要输入原密码，但是修改手势密码时为何可以直接设置新密码,审核不通过,0,2016-05-30 11:08:31
31,11. 账户 - 交易记录 交易记录为空时 提示信息有错别字,11. 账户 - 交易记录 交易记录为空时 提示信息有错别字,审核通过,21,2016-05-30 11:08:46
32,12.主页- 点立即投资 - 点右上分享 - 分享为微信好友和朋友圈时，弹出一个提示，然后就无响应了,12.主页- 点立即投资 - 点右上分享 - 分享为微信好友和朋友圈时，弹出一个提示，然后就无响应了,审核通过,14,2016-05-30 11:08:54
33,13.主页- 点立即投资 - 点右上分享 - 分享为qq空间时，在发表分享页点左上的取消按钮，返回到qq的好友列表页去了。应该返回到之前的分享页,13.主页- 点立即投资 - 点右上分享 - 分享为qq空间时，在发表分享页点左上的取消按钮，返回到qq的好友列表页去了。应该返回到之前的分享页,审核不通过,14,2016-05-30 11:09:08
