id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,打开软件，看到首页上的京东金融的图标显示不完全,点击打开软件，看到首页上的京东金融的图标显示不完全,审核通过,10,2015-12-18 10:05:25
2,进入首页登陆后，右上角有签到，签完到以后，再次进入首页，页面还是显示签到，不能变成已签到。,进入首页登陆后，右上角有签到，签完到以后，再次进入首页，页面还是显示签到，不能变成已签到。,审核不通过,2,2015-12-18 10:07:23
3,网络实名卡无法绑定手机和注册登录,机型;小米2s  在测试中发现小米2s使用的网络卡170号段无法注册软件，这个是一个需要注意的问题，现在用网络卡越来越多,审核通过,4,2015-12-18 10:08:59
4,进入首页登陆后，右上角有签到，签完到以后，再次进入首页，页面还是显示签到，不能变成已签到。,进入首页登陆后，右上角有签到，签完到以后，再次进入首页，页面还是显示签到，不能变成已签到。,审核不通过,2,2015-12-18 10:09:25
5,下载京东金融没有返金币,按照天天红包的步骤下载京东金融，用未使用的手机号码注册，但是没有金币返还。,审核不通过,16,2015-12-18 10:10:39
6,点击我的，进入我的界面，点击设置，点击关于我们，点击分众专享微信公众号，点击前往微信，无反应，无任何提示（未安装微信情况下）,点击我的，进入我的界面，点击设置，点击关于我们，点击分众专享微信公众号，点击前往微信，无反应，无任何提示（未安装微信情况下）,审核通过,12,2015-12-18 10:12:25
7,选择定位城市，进入选择城市界面，搜索框内容显示不全,选择定位城市，进入选择城市界面，搜索框内容显示不全,审核通过,6,2015-12-18 10:12:34
8,注册来电被多人标记为诈骗号码,注册来电被多人标记为诈骗号码，估计很难让人相信,审核不通过,19,2015-12-18 10:13:05
9,按要求下载注册没有给奖励！,按要求下载的京东金融，用新手机号注册很长时间也没有给金元！不好使！,审核不通过,16,2015-12-18 10:14:38
10,下载注册后金元没给，再下载显示手机归属和app地址不一样,最主要我注册的时候用的卡就是本地卡，地址也是这，现在下载不了应用，之前下载注册的也没返还金元！,审核通过,20,2015-12-18 10:15:06
11,该app有毫无底线令人极其极端极度（我已经出离得愤怒）让人恶心和不耻的后台强制安装“qq音乐”“搞笑话”等一大摊子垃圾软件，虽然通知栏可以看见其正在下载，却无法手动终止，只有断网才能中断其下载！！！无底线弹广告！！！我在百度微任务手机端其中一个测试功能点的bug截图里把这种流氓病毒行为给我强制安装的“搞笑话”以及谈的广告截图上传了，你们自己看！这种病毒也放上来，真是砸了百度自己的招牌！！！！！！！！！！,该app有毫无底线令人极其极端极度（我已经出离得愤怒）让人恶心和不耻的后台强制安装“qq音乐”“搞笑话”等一大摊子垃圾软件，虽然通知栏可以看见其正在下载，却无法手动终止，只有断网才能中断其下载！！！无底线弹广告！！！我在百度微任务手机端其中一个测试功能点的bug截图里把这种流氓病毒行为给我强制安装的“搞笑话”以及谈的广告截图上传了，你们自己看！这种病毒也放上来，真是砸了百度自己的招牌！！！！！！！！！！,审核不通过,17,2015-12-18 10:15:46
12,下载app失败，显示手机号码和app不在一个星球,下载app失败，显示手机号码和app不在一个星球，红米note，wifi，江西联通,审核通过,13,2015-12-18 10:16:03
13,未过期的优惠券无法删除,未过期的优惠券无法删除，点击优惠券进入详情页只能分享不能删除,审核不通过,18,2015-12-18 10:16:51
14,未登录用户无法索取优惠券,未登录用户无法索取优惠券，直接跳转到登录页面,审核不通过,0,2015-12-18 10:17:20
15,未登录用户无法为优惠券点赞,未登录用户无法为优惠券点赞，出现请先登录账号提示框,审核不通过,5,2015-12-18 10:17:38
16,优惠券不按照上架时间，又近及远显示,优惠券不按照上架时间，又近及远显示，领取中免等几张优惠券，只按照领取先后显示,审核不通过,9,2015-12-18 10:18:25
17,微信无法成功登陆软件,微信无法成功登陆软件，点击下载拆红包出现登陆界面，然后点击微信登陆，一直停留在唤醒微信的界面,审核不通过,12,2015-12-18 10:18:40
18,无法下载app，显示下载错误,用手机注册后，登陆成功后点击下载app，显示下载错误，无法下载,审核通过,20,2015-12-18 10:18:52
19,使用微信登陆，一直加载，提示网络繁忙，登陆失败。,打开应用，使用微信登陆，一直在加载，提示网络繁忙，登陆失败。,审核通过,4,2015-12-18 10:19:05
20,微信确认登录后，界面卡在登录页  登录失败，不跳转,进入app-点击我的-点击请登录-点击微信快捷登录-微信端确认登录-回到登录界面-页面不跳转，且返回我的界面后仍然显示未登录-----操作三次后成功一次-退出登录再次操作继续失败--多次尝试后找到原因了：只要从微信端返回时会弹出“正在登陆中”的对话框就能登陆成功，否则失败。。个人感觉应该是因为微信占内存过大把app的activity给kill掉了,审核通过,12,2015-12-18 10:19:37
21,无法获取奖励，测试app未主动打开下载试玩应用,限时赚钱-京东金融-去参与-下载-安装-直接返回应用详情页面-无奖励也无任务提示，右下角黄色的进度条变为重新下载，其他的没有变化，也没有得到金元奖励,审核通过,17,2015-12-18 10:20:06
22,打开app 点击微信登录 点击限时赚钱 在行 输入手机号得验证码  填写验证码显示手机归属地和app不在一个星球,打开app 登录 点击限时赚钱 点击在行 输入手机号得验证码  填写验证码显示手机归属地和app不在一个星球,审核通过,13,2015-12-18 10:20:26
23,不登录不能领取优惠卷和点赞,打开app 点击福利社  点酷能量30元优惠卷 领取需登录 点赞也要登录,审核不通过,5,2015-12-18 10:20:37
24,福利社页面的排版显示字体重合,福利社页面的排版显示字体重合，小子重合模糊，且并未领取这些优惠券却显示已经领取。,审核不通过,9,2015-12-18 10:21:00
25,首页，点左上角城市，进入选择城市页面，这个页面中搜索输入框太小，框中“输入城市名称”这几个字的上半部分都没显示,首页，点左上角城市，进入选择城市页面，这个页面中搜索输入框太小，框中“输入城市名称”这几个字的上半部分都没显示,审核通过,6,2015-12-18 10:21:11
26,首页，点左上角城市，进入选择城市页面，右侧的26个字母显示太小，很难点中,首页，点左上角城市，进入选择城市页面，右侧的26个字母显示太小，很难点中,审核不通过,6,2015-12-18 10:21:24
27,首页内容并不多，但是在平板手机中都没有显示全，首页还能上下滑动的。。。。,首页内容并不多，但是在平板手机中都没有显示全，首页还能上下滑动的。。。。,审核不通过,8,2015-12-18 10:21:48
