id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,下载app 打开app 登录以后在发现页面 点击右上角分享符号 点击分享到微信好友 无响应 无报错 无法完成分享,下载app 打开app 登录以后在发现页面 点击右上角分享符号 点击分享到微信好友 无响应 无报错 无法完成分享,审核通过,23,2016-03-13 22:49:40
2,下载app 打开app 登录以后在发现页面 点击右上角分享符号 点击分享到微信朋友圈 无响应 无报错 无法完成分享,下载app 打开app 登录以后在发现页面 点击右上角分享符号 点击分享到微信朋友圈 无响应 无报错 无法完成分享,审核通过,23,2016-03-13 22:49:50
3,下载app 打开app 登录以后在发现页面 点击搜索框 输入天 出现很多自动匹配的 不管他 再次点击搜索 搜索不到任何内容了,下载app 打开app 登录以后在发现页面 点击搜索框 输入天 出现很多自动匹配的 不管他 再次点击搜索 搜索不到任何内容了,审核通过,29,2016-03-13 22:50:09
4,下载app 打开app 登录以后在发现页面 点击主播 发现有些超长的片名 显示不完全,下载app 打开app 登录以后在发现页面 点击主播 发现有些超长的片名 显示不完全,审核通过,45,2016-03-13 22:50:16
5,下载app 打开app 我的页面 点击左上角设置符号进入 特色闹铃 点击进入铃声 点击在线铃声中的新闻铃声 没有任何反应 听不到铃声,下载app 打开app 我的页面 点击左上角设置符号进入 特色闹铃 点击进入铃声 点击在线铃声中的新闻铃声 没有任何反应 听不到铃声,审核通过,1,2016-03-13 22:50:23
6,下载app 打开app 我的页面 点击左上角设置符号进入 特色闹铃 点击进入铃声 点击在线铃声中的音乐铃声 没有任何反应 听不到铃声,下载app 打开app 我的页面 点击左上角设置符号进入 特色闹铃 点击进入铃声 点击在线铃声中的音乐铃声 没有任何反应 听不到铃声,审核通过,1,2016-03-13 22:50:26
7,下载app 打开app 我的页面 点击左上角设置符号进入 特色闹铃 点击进入铃声 点击在线铃声中的相声铃声 没有任何反应 听不到铃声,下载app 打开app 我的页面 点击左上角设置符号进入 特色闹铃 点击进入铃声 点击在线铃声中的相声铃声 没有任何反应 听不到铃声,审核通过,1,2016-03-13 22:50:30
8,下载app 打开app 我的页面 点击左上角设置符号进入 特色闹铃 点击重复 任意勾选周一到周日任意几天 后 在页面找不到确定按键或者保存按键,下载app 打开app 我的页面 点击左上角设置符号进入 特色闹铃 点击重复 任意勾选周一到周日任意几天 后 在页面找不到确定按键或者保存按键,审核通过,31,2016-03-13 22:50:33
9,下载app 打开app 我的页面 点击左上角设置符号进入  检查更新点击 升级新版 无响应,下载app 打开app 我的页面 点击左上角设置符号进入  检查更新点击 升级新版 无响应,审核通过,18,2016-03-13 22:50:36
10,下载app 打开app 登录以后在我的页面 查看我的积分显示有300 点击我的积分 无法查看积分的来源,下载app 打开app 登录以后在我的页面 查看我的积分显示有300 点击我的积分 无法查看积分的来源,审核通过,14,2016-03-13 22:50:40
11,下载app 打开app 登录以后在我的页面 查看我的积分显示有300 点击我的积分 在积分商城看到的积分为0,下载app 打开app 登录以后在我的页面 查看我的积分显示有300 点击我的积分 在积分商城看到的积分为0,审核通过,14,2016-03-13 22:50:42
12,下载app 打开app 登录以后在我的页面 点击智能硬件设备 点击听书宝香槟色版 点击未购买 立即去购买 页面没任何反应,下载app 打开app 登录以后在我的页面 点击智能硬件设备 点击听书宝香槟色版 点击未购买 立即去购买 页面没任何反应,审核通过,13,2016-03-13 22:50:46
13,下载app 打开app 登录以后在我的页面 点击智能硬件设备 点击舒克智能通话故事机wifi版 页面没任何反应,下载app 打开app 登录以后在我的页面 点击智能硬件设备 点击舒克智能通话故事机wifi版 页面没任何反应,审核通过,9,2016-03-13 22:50:49
14,下载app 打开app 登录以后在我的页面 点击智能硬件设备 点击听书宝 点击未购买 立即去购买 页面没任何反应,下载app 打开app 登录以后在我的页面 点击智能硬件设备 点击听书宝 点击未购买 立即去购买 页面没任何反应,审核通过,13,2016-03-13 22:50:53
15,下载app 打开app 登录以后在我的页面 点击智能硬件设备 点击立即体验喜马拉雅新声活以后无任何反应,下载app 打开app 登录以后在我的页面 点击智能硬件设备 点击立即体验喜马拉雅新声活以后无任何反应,审核通过,44,2016-03-13 22:50:56
16,下载app 打开app 使用腾讯qq登录 登录以后无法正确读取qq头像 头像是错误的,下载app 打开app 使用腾讯qq登录 登录以后无法正确读取qq头像 头像是错误的,审核通过,44,2016-03-13 22:51:00
17,下载app 打开app 使用腾讯qq登录 登录以后无法正确读取qq昵称 昵称是错误的,下载app 打开app 使用腾讯qq登录 登录以后无法正确读取qq昵称 昵称是错误的,审核通过,44,2016-03-13 22:51:04
