id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,理财界面，按日计息和新手体验标项目文字显示不全,理财界面，按日计息和新手体验标项目文字显示不全...........,审核通过,18,2016-04-07 23:20:30
2,理财界面，点击进入产品详情，点击马上投资，点击全投，程序白屏，然后返回首页,理财界面，点击进入产品详情，点击马上投资，点击全投，程序白屏，然后返回首页,审核通过,18,2016-04-07 23:20:59
3,理财界面，点击进入产品详情，点击马上投资，输入金额，点击确定投资，程序返回首页（未登录情况下）,理财界面，点击进入产品详情，点击马上投资，输入金额，点击确定投资，程序返回首页（未登录情况下）,审核不通过,18,2016-04-07 23:21:23
4,收益计算器界面，输入金额后点击计算，结果显示后，在计算按钮旁边会显示爱钱帮的计算结果数字,收益计算器界面，输入金额后点击计算，结果显示后，在计算按钮旁边会显示爱钱帮的计算结果数字,审核通过,3,2016-04-07 23:23:04
5,进入app的“更多”界面有一定几率出现app退出,"在app内测试时，从其他几个界面随机点击进入“更多”界面时，有时候会出现app直接退出的现象，app并无停止运行之类的报错，直接退出，出现几率不高，在5%左右，在多次测试中共出现3次。
手机：红米note3 双网高配版 网络：wifi",审核通过,9,2016-04-07 23:26:34
6,安装的时候出现了卡顿，手机卡死现象。,安装的时候出现了卡顿，手机卡死现象。后来重启手机在安装就好了，小米手机3.,审核通过,1,2016-04-07 23:26:40
7,打开app点开各页面查看，app出现了闪退。,打开app点开各页面查看，app出现了闪退。小米手机3.,审核不通过,17,2016-04-07 23:26:53
8,更多——个人账号——用户名——修改用户名，反应明显迟钝。,更多——个人账号——用户名——修改用户名，点击后，反应明显迟钝。,审核通过,14,2016-04-07 23:29:16
9,更多——个人账号——用户名——手机号码，更改手机号码，点击后，反应明显迟钝。,更多——个人账号——用户名——手机号码，更改手机号码，点击后，反应明显迟钝。,审核不通过,14,2016-04-07 23:29:40
10,更多——个人账户——个人信息下方的头像，点击后，无法设置。,更多——个人账户——个人信息下方的头像，点击后，无法设置。,审核通过,5,2016-04-07 23:29:49
11,更多——设置——修改登录密码，点击后，手机反映明显迟钝，无法进行操作。,更多——设置——修改登录密码，点击后，手机反映明显迟钝，无法进行操作。,审核不通过,19,2016-04-07 23:30:00
12,注册时没有直接注册的地方，要点击登录进去才看到注册或登录,注册时没有直接注册的地方，要点击登录进去才看到注册或登录,审核不通过,23,2016-04-07 23:30:20
13,注册后要绘制手势图，绘制完后出现黑屏，然后就显示无响应，等待，再次打开手机发现已经退出app,注册后要绘制手势图，绘制完后出现黑屏，然后就显示无响应，等待，再次打开手机发现已经退出app,审核通过,17,2016-04-07 23:30:29
