id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,无法连接网络，提示网络有问题,无法连接网络，提示网络有问题，但我的网络一切正常，刷新不出任何东西， 一直转圈圈，请检查软件是否有问题。,审核不通过,20,2015-12-03 20:22:15
2,wifi状态下，打开软件，提示“连接网络失败，请稍后重试”、“请求服务器失败，请检查网络稍后重视”,wifi状态下，打开软件，提示“连接网络失败，请稍后重试”、“请求服务器失败，请检查网络稍后重视”,审核不通过,3,2015-12-03 20:32:42
3,手机wifi状态下，提示网络网络有问题,手机wifi状态下，提示网络网络有问题，重新打开app 依然提示，但肯定是有网的，并未限制 手机型号 青橙n1y,审核不通过,20,2015-12-03 20:38:49
4,显示网络连接失败，请稍候再试,网络没有问题，进入软件后显示连接网络失败，请稍候再试！无法正常使用软件。,审核不通过,20,2015-12-03 20:41:09
5,网络良好的情况下，进入装修需求页面，一直在加载中，提示请求服务器失败，请检查网络再重试,网络良好的情况下，进入装修需求页面，一直在加载中，提示请求服务器失败，请检查网络再重试,审核不通过,4,2015-12-03 20:57:42
6,网络是好的，但是一直显示说获取数据失败,下载安装app，打开首页，网络是好的，但是一直显示说获取数据失败，无法正常测试,审核不通过,14,2015-12-03 21:00:59
7,无法收到注册使用的验证码，发了三次，都没收到,无法收到注册使用的验证码，发了三次，都没收到，应该是服务器不好使,审核不通过,15,2015-12-03 21:10:24
8,进入软件后填写手机号码后没有收到软件发来的验证码无法完成注册,点击进入软件app后注册手机号码时分别用了两个手机号码都无法收到来自软件发来的验证码,审核不通过,15,2015-12-03 21:12:05
9,请求服务器失败，请检查网络再试,"启动后，下拉刷新不了，每次都提示请求服务器失败，请检查网络再试。
手机网络没问题",审核不通过,3,2015-12-03 21:20:21
10,注册时收不到验证码，无法完成注册流程。,打开app，点击“个人中心”，点击“游客”，点击“注册”，输入手机号，点击“获取验证码”，无法收到验证码。无法完成注册。,审核不通过,9,2015-12-03 21:22:59
11,打开app，“装修需求”页面提示“请求服务器失败，请检查网络后重试”，但是网络并没有问题，多次刷新依然有此问题。“我的工程”页面右上角小铃铛，也会提示这个。,打开app，“装修需求”页面提示“请求服务器失败，请检查网络后重试”，但是网络并没有问题，多次刷新依然有此问题。“我的工程”页面右上角小铃铛，也会提示这个。,审核不通过,4,2015-12-03 21:22:59
12,wifi网络下，软件无法联网,"小米2s电信版 安卓4.4.4  wifi
网络正常，但是软件无法联网",审核不通过,18,2015-12-03 21:24:59
13,在wifi情况下，无法联网，测试时网络正常，手机华为c8818,华为手机c8818，wifi情况下软件无法联网，无法完成测试。见截图。,审核不通过,18,2015-12-03 21:26:36
14,首页数据无法刷新，无法连接网络,在wifi网络连接正常情况下，首页数据无法刷新，无法连接网络，注册时填写手机号获取短信无法获取，可能是网络连接问题无法发出指令。手机：红米note3.,审核不通过,20,2015-12-03 21:30:09
15,无法完成注册，无法获取验证码,无法完成注册，无法获取验证码，多次获取验证码，还是收不到,审核不通过,9,2015-12-03 21:34:44
16,主界面没有注册入口，无法完成注册,机型：联想a789 系统：安卓4.04 主界面没有注册入口，只有登录，无法完成注册,审核不通过,12,2015-12-03 21:37:07
17,网络正常，但提示网络连接错误,为wifi网络，网络正常，但提示网络连接错误,审核不通过,20,2015-12-03 21:38:58
18,无法获取验证码，无法注册成功,"手机：小米2s，系统：安卓系统，网络环境：wifi
重现步骤：
1、安装成功
2、打开app，点击注册，输入手机号，点击发送验证码，一直接受不到验证码，无法注册，直接点击确认，提示注册失败，前检测网络后重试，但网络一直良好。",审核不通过,9,2015-12-03 21:46:10
