id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,微信登陆授权成功后，但是却显示没有登陆,微信登陆授权成功后，点击我的按钮，还是显示需要登陆,审核通过,32,2016-03-06 23:47:40
2,其他方式中qq登陆授权不成功,在登陆页面点击qq登陆，显示登录授权失败错误代码110406,审核通过,32,2016-03-06 23:48:00
3,qq登陆无法正常登陆,"在登陆界面选择qq登陆时，进入qq界面无法授权，导致无法登录，重复多次均无法登陆。
手机：红米note3 网络：wifi",审核通过,32,2016-03-06 23:48:15
4,注册时同时获取了多个验证码,点击我的，立即登录，注册，填入手机号码后，点击获取验证码，同时发来两条短信，输入后验证失败。,审核通过,26,2016-03-06 23:48:43
5,重新登录时个人资料变成了别人的,点击我的，进入系统设置，点击退出登录，再次重新登录后，我的个人资料就不是我的了。。。而是另外一个人，，好诡异,审核通过,44,2016-03-06 23:48:59
6,忘记密码后重新设置密码失败,立即登录，忘记密码，输入手机号之后，收到了验证码，重新设置密码时显示设置失败,审核通过,18,2016-03-06 23:49:14
7,方言拜年中拍摄的视频发布失败,登录后，进入视频--广场，上方滚动的板块中，点击方言拜年，进入任意一个方言，点击拍摄，完善好视频资料后选择发布，手机黑屏，app一直无反应。,审核通过,28,2016-03-06 23:49:32
8,观看视频、视频无法取消赞,进入app，点击任意一个视频。点击右下角的心号，点击之后无法取消,审核通过,35,2016-03-06 23:50:33
9,登陆 忘记密码重置失败,手机注册成功后点忘记密码输入手机号码验证码输入新密码提示重置密码失败,审核不通过,18,2016-03-09 08:13:25
10,无法使用腾讯qq授权登录 显示登录授权失败 错误码110406,无法使用腾讯qq授权登录 显示登录授权失败 错误码110406,审核通过,33,2016-03-09 08:32:30
11,使用微信帐号登录的时候 软件不能正确读取微信数据 性别有误,使用微信帐号登录的时候 软件不能正确读取微信数据 性别有误,审核通过,46,2016-03-09 08:32:39
12,在我的页面 点击系统设置  查看版本说明 显示无版本说明,在我的页面 点击系统设置  查看版本说明 显示无版本说明,审核通过,3,2016-03-09 08:32:43
