id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,无法签到和进入微店订单,"1.进入我的积分界面，无法签到获得积分，出现提示“系统错误，请稍后重试”
2.无法进入微店订单的界面，出现“系统发生错误”即无法加载控制器等对话框",审核通过,19,2016-05-25 02:24:56
2,注册时不输入手机号码点击发送验证码显示发送成功,"1、点击注册
2、点击发送验证码
3、显示可以重新发送",审核通过,18,2016-05-25 02:25:13
3,注册界面，密码格式提示框处内容显示不全,"1、点击注册
2、注册界面，密码格式提示框处内容显示不全",审核通过,23,2016-05-25 02:25:25
4,首页中间有大片空白，无法注意到下部有内容,"1、点击程序
2、首页中间有大片空白，无法注意到下部有内容",审核通过,25,2016-05-25 02:25:33
5,登录界面不登陆返回，出现空白界面截屏出现程序停止,"1、点击我的
2、显示登录界面
3、按返回键返回
4、界面卡，出现空白界面，此时点击截屏
5、程序停止运行",审核通过,22,2016-05-25 02:25:39
6,“我的”界面签到功能无法使用，一直提示“系统错误”,"1、打开app；
2、登陆账号；
3、进入“我的”页面，点击“签到”，进入签到界面，点击右上角签到按钮，一直提示“系统错误”，无法签到。",审核通过,5,2016-05-25 02:25:43
7,每次切换界面时屏幕下面都出现几行代码，极其影响体验。,"1、打开app；
2、随意切换界面，切换后界面下方总会出现几行代码，极其影响体验。",审核通过,35,2016-05-25 02:25:53
8,“百宝箱”界面的“课表”“考试”“成绩”中教务系统信息无法获取。,"1、打开app；
2、进入“百宝箱”界面；
3、点击“课表”，需要选择对应的学校，选择一个以后，进入到了登陆教务系统界面，总是提示“获取教务系统信息失败，点击重试”，重试仍失败。
4、“百宝箱”界面的“考试”“成绩”界面均是如此。",审核通过,1,2016-05-25 02:26:01
9,新注册完账号后自动跳转到个人信息界面，完善个人信息后点击“完成注册”，提示“用户未登录”，逻辑有问题。,"1、打开app；
2、新注册一个账号；
3、注册完后会自动跳转到完善个人信息界面，填入基本信息后点击“完成注册”，提示“用户未登录”，“完成注册”按钮无法起作用。必须点击左上角后退按钮。",审核通过,23,2016-05-25 02:26:13
10,界面切换之间非常卡顿，建议优化。,打开app后在各个界面之间切换，软件非常卡，建议进行优化。,审核通过,24,2016-05-25 02:26:22
11,登录进入指尖大学点击首页只能能看到商城中间这一栏！,打开软件，登录进入点击首页，只看到商城、微店、兼职二手市场,审核通过,43,2016-05-25 02:26:34
12,登录进入指间大学，点击我的，点击签到，点击签到显示系统错误，请稍后重试,登录进入指间大学，点击我的，点击签到，点击签到显示系统错误，请稍后重试,审核通过,5,2016-05-25 02:26:41
13,登录界面没输入手机号码点击登录提示 密码输入为空 而不是提示手机号码未输入,打开软件 点击 我的 跳转登录界面  不输入手机号 点击 登录,审核通过,18,2016-05-25 02:26:52
14,首页点击商二手市场会跳出网址信息提示。,打开软件 点击首页 点击商城 打开软件 点击首页 点击二手市场,审核通过,7,2016-05-25 02:27:14
15,首页点击微店会跳出网址信息提示,打开软件 点击首页 点击商城 打开软件 点击首页 点击微店,审核不通过,7,2016-05-25 02:27:40
16,首页点击兼职会调出网址信息提示。,打开软件 点击首页 点击商城 打开软件 点击首页 点击兼职,审核不通过,7,2016-05-25 02:27:47
17,注册界面不输入验证码可注册成功,打开软件 点击 我的 登录界面点击快速注册，输入手机号密码不输入验证码 点击注册,审核通过,23,2016-05-25 02:27:58
18,我的 界面点击去认证会跳出网址信息提示,"打开软件 点击 我的 点击去认证 
打开软件 点击 我的 点击去认证",审核不通过,7,2016-05-25 02:28:08
19,点击签到提示系统错误 请稍后再试,打开软件 点击 我的 点击签到 再次点击签到,审核通过,5,2016-05-25 02:28:14
20,整个软件任意点击一个功能都会出现闪屏黑屏1秒现象,整个软件任意点击一个功能都会出现闪屏黑屏1秒现象,审核通过,40,2016-05-25 02:28:27
21,我的模块界面点击任意功能都会跳出网址信息,"点击 我的 此界面任意点击 都会跳出网址信息
点击 我的 此界面任意点击 都会跳出网址信息",审核不通过,7,2016-05-25 02:28:35
22,打开app，进入校园兼职板块，选择日结选项，但网页仍然显示有月结任务,"1.打开app，进入校园兼职板块
2、选择日结选项，但网页仍然显示有月结任务",审核通过,45,2016-05-25 02:28:48
23,打开app，进入商品分类、指尖商城，点击左边任一商品后，网页显示的大小和手机不匹配，不能正常显示全部商品的信息,"1、打开app，进入商品分类、指尖商城
2.点击左边任一商品后，网页显示的大小和手机不匹配，不能正常显示全部商品的信息",审核通过,43,2016-05-25 02:28:58
