id,bug详情,复现步骤,审核状态,重复情况,提交时间
1,首次打开app时提示程序出现错误，然后app退了。,首次打开app时提示程序出现错误，然后app退了。后来未出现这种情况。小米手机3.,审核通过,12,2016-03-31 16:42:20
2,在进入到app欢迎界面显示“获取appld失败”,"在进入到app欢迎界面显示“获取appld失败”，可能app对于手机的信息获取存在问题。
手机：红米note3 双网高配版 网络：wifi",审核通过,17,2016-03-31 16:42:33
3,在购物车出现-101错误,"在选好商品进入购物车结算时，出现“（-101）服务器太忙了，请稍后重试”的错误，重新刷新后，正常加载了商品信息和优惠信息。
手机：红米note3 双网高配版 网络：wifi",审核通过,12,2016-03-31 16:42:45
4,我的海捣-联系我们-弹出页空白，提示：null,"我的海捣-联系我们-弹出页空白，提示：null
我的海捣-联系我们-弹出页空白，提示：null",审核通过,6,2016-03-31 16:42:56
5,首页-全部-进口汽车-点击任一汽车里的详情文字太小，不利用户了解商品详情,首页-全部-进口汽车-点击任一汽车里的详情文字太小，不利用户了解商品详情,审核通过,9,2016-03-31 16:43:07
6,频繁收到-101服务器太忙了，请稍后再试,"打开app,进行正常操作，易收到-101错误提示",审核通过,10,2016-03-31 16:43:38
7,购物车多项结算时，无法合并结算，点击结算，只会结算单项商品,"打开app,选择喜爱的多项商品加入购物车，勾选多项商品，点击某商品的结算按钮，无法合并结算",审核通过,15,2016-03-31 16:43:48
8,点击我的海捣，个人资料设置中姓名无中文限制，qq号码无位数限制，邮箱随便乱写都可以更改个人信息成功！,点击我的海捣，个人资料设置中姓名无中文限制，qq号码无位数限制，邮箱随便乱写都可以更改个人信息成功！,审核通过,8,2016-03-31 16:43:55
9,"点击我的海捣中的联系我们无内容出现：null,
点击检查更新内容空白无说明..","点击我的海捣中的联系我们无内容出现：null,
点击检查更新内容空白无说明..",审核通过,4,2016-03-31 16:44:01
10,在测试过程中，随意切换，首页或具体内容图片加载缓慢！,在测试过程中，随意切换，首页或具体内容图片加载缓慢！,审核通过,16,2016-03-31 16:44:08
11,进入我的海捣，选择关于海捣，段落错后一个半字，标准文件是两字,进入我的海捣，选择关于海捣，段落错后一个半字，标准文件是两字,审核通过,2,2016-03-31 16:44:27
12,进入我的海捣，选择检查更新，软件升级里面没有任何提示，点更新，没有提示目前版本最新，直接返回上一页,进入我的海捣，选择检查更新，软件升级里面没有任何提示，点更新，没有提示目前版本最新，直接返回上一页,审核通过,4,2016-03-31 16:44:39
